"u71-scratch, x","u71-scratch, y","u32-scratch, x; u70-scratch, x","u32-scratch, y","u70-scratch, y","clg-opsview, x","clg-opsview, y","ioa-ful01, x; ioa-bxb200, x","ioa-ful01, y","ioa-bxb200, y","ioa-blr11, x","ioa-blr11, y","ioa-rtp6, x","ioa-rtp6, y","ioa-clg5, x","ioa-clg5, y","ioa-sjc19, x","ioa-sjc19, y","ioa-prg5, x","ioa-prg5, y","u45-scratch, x","u45-scratch, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y","prg5-opsview, y"
9ef2cd,4f86e5,11d287,d789c8,2d8bfe,f3ebad,828454,2f0a71,5e0a70,a225bd,e21450,0a6fb9,59faf4,2fdc72,baeabc,ea69ce,fb085e,630152,85a839,30492b,8f4316,b1a34b,64737a,963529,2249b0
2018-01-09 06:00:00,50.96,2018-01-09 06:00:00,10.88,14.7,2018-01-09 06:00:00,48.22,2018-01-09 09:00:00,28.0,56.03,2018-01-09 09:00:00,2.69,2018-01-09 09:00:00,0.0,2018-01-09 09:00:00,61.69,2018-01-09 09:00:00,12.98,2018-01-09 10:00:00,0.0,2018-01-09 10:00:00,34.25,2018-01-10 02:00:00,0.0,23.3
2018-01-09 10:00:00,94.25,2018-01-09 10:00:00,20.52,51.97,2018-01-09 10:00:00,65.7,2018-01-09 13:00:00,25.48,84.25,2018-01-09 13:00:00,2.32,2018-01-09 13:00:00,0.0,2018-01-09 14:00:00,19.51,2018-01-09 14:00:00,8.27,2018-01-09 14:00:00,0.0,2018-01-09 14:00:00,51.43,,,
2018-01-09 14:00:00,85.78,2018-01-09 14:00:00,28.93,52.99,2018-01-09 14:00:00,66.07,2018-01-09 17:00:00,8.07,13.11,2018-01-09 18:00:00,1.72,2018-01-09 18:00:00,0.0,2018-01-09 18:00:00,5.9,2018-01-09 19:00:00,8.69,2018-01-09 19:00:00,0.0,2018-01-09 19:00:00,21.3,,,
2018-01-09 19:00:00,26.5,2018-01-09 19:00:00,21.72,58.18,2018-01-09 19:00:00,56.59,2018-01-09 21:00:00,32.2,83.82,2018-01-09 21:00:00,2.05,2018-01-09 22:00:00,0.0,2018-01-09 22:00:00,52.13,2018-01-09 22:00:00,8.55,2018-01-09 22:00:00,0.0,2018-01-09 22:00:00,14.88,,,
2018-01-09 22:00:00,23.27,2018-01-09 22:00:00,11.92,29.01,2018-01-09 22:00:00,8.02,2018-01-10 01:00:00,30.22,27.27,2018-01-10 01:00:00,3.09,2018-01-10 01:00:00,0.0,2018-01-10 01:00:00,37.9,2018-01-10 01:00:00,15.32,2018-01-10 01:00:00,0.0,2018-01-10 01:00:00,66.57,,,
2018-01-10 02:00:00,56.79,2018-01-10 02:00:00,27.78,47.51,2018-01-10 02:00:00,47.53,2018-01-10 05:00:00,30.25,31.48,2018-01-10 05:00:00,3.47,2018-01-10 05:00:00,0.0,2018-01-10 05:00:00,40.96,2018-01-10 05:00:00,18.53,2018-01-10 05:00:00,0.0,2018-01-10 05:00:00,57.47,,,
2018-01-10 05:00:00,53.29,2018-01-10 06:00:00,28.68,32.93,2018-01-10 06:00:00,40.17,2018-01-10 09:00:00,21.02,30.66,2018-01-10 09:00:00,3.23,2018-01-10 09:00:00,0.0,2018-01-10 09:00:00,23.95,2018-01-10 10:00:00,9.26,2018-01-10 10:00:00,0.0,2018-01-10 10:00:00,63.19,,,
2018-01-10 10:00:00,57.07,2018-01-10 10:00:00,24.19,29.83,2018-01-10 10:00:00,44.43,2018-01-10 13:00:00,20.33,35.84,2018-01-10 13:00:00,2.71,2018-01-10 13:00:00,0.0,2018-01-10 13:00:00,26.78,2018-01-10 14:00:00,10.23,2018-01-10 14:00:00,0.0,2018-01-10 14:00:00,59.79,,,
2018-01-10 14:00:00,52.38,2018-01-10 14:00:00,25.73,28.16,2018-01-10 14:00:00,41.62,2018-01-10 17:00:00,6.94,18.72,2018-01-10 18:00:00,1.78,2018-01-10 18:00:00,7.82,2018-01-10 18:00:00,11.0,2018-01-10 19:00:00,8.49,2018-01-10 19:00:00,0.0,2018-01-10 19:00:00,24.8,,,
