"pH, x; Upper Limit, x; Lower Limit, x; FC, x; Upper Limit (1), x; Lower Limit (1), x","pH, y","Upper Limit, y","Lower Limit, y","FC, y","Upper Limit (1), y","Lower Limit (1), y"
0fdcc9,7de096,1b316f,6cef81,b57dbc,3cd179,e8e332
2017-12-05 14:52:06,3.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:03,4.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:14,4.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:24,4.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:34,4.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:45,4.8,7.6,7.2,0.0,3,1
2017-12-05 14:55:55,4.8,7.6,7.2,0.0,3,1
2017-12-05 15:40:09,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:40:20,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:40:30,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:40:40,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:40:51,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:02,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:12,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:23,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:33,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:44,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:45:54,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:05,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:16,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:26,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:37,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:47,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:50:58,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:55:19,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:55:30,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:55:40,7.6,7.6,7.2,0.00,3,1
2017-12-05 15:55:51,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:02,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:12,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:23,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:33,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:44,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:00:54,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:05:05,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:05:15,7.6,7.6,7.2,0.00,3,1
2017-12-05 16:05:26,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:05:36,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:05:47,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:05:57,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:10:08,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:10:19,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:10:29,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:10:40,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:10:50,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:11:01,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:15:01,7.7,7.6,7.2,0.00,3,1
2017-12-05 16:15:12,7.7,7.6,7.2,0.00,3,1
