1day<br>6time<br>WetterCom<br>Temperature<br>Mean:2.31<br>STD:2.03,1day<br>6time<br>WetterCom<br>Rain<br>Mean:0.25<br>STD:3.91,1day<br>6time<br>WetterCom<br>Wind<br>Mean:7.65<br>STD:5.23,1day<br>11time<br>WetterCom<br>Temperature<br>Mean:1.12<br>STD:1.86,1day<br>11time<br>WetterCom<br>Rain<br>Mean:0.26<br>STD:3.77,1day<br>11time<br>WetterCom<br>Wind<br>Mean:9.55<br>STD:5.02,1day<br>17time<br>WetterCom<br>Temperature<br>Mean:-1.45<br>STD:2.15,1day<br>17time<br>WetterCom<br>Rain<br>Mean:0.23<br>STD:3.26,1day<br>17time<br>WetterCom<br>Wind<br>Mean:7.21<br>STD:4.54,1day<br>23time<br>WetterCom<br>Temperature<br>Mean:-0.59<br>STD:1.64,1day<br>23time<br>WetterCom<br>Rain<br>Mean:0.21<br>STD:3.13,1day<br>23time<br>WetterCom<br>Wind<br>Mean:5.39<br>STD:4.37
8ce806,4d2651,26a6fc,9a338f,61ffeb,8ed918,61ce3b,8a4d47,84a309,0f89e8,f0ecd1,62a4ce
3.5,30.0,6,2.0,20.0,9,-3.5,10.0,6,-1.0,10.0,2
5.0,10.0,3,0.5,20.0,12,-8.0,70.0,11,-2.0,70.0,10
0.5,90.0,12,1.0,85.0,17,-2.0,30.0,13,-2.0,30.0,8
1.0,30.0,8,1.0,20.0,11,-1.5,30.0,9,-2.5,20.0,0
4.5,10.0,7,0.5,30.0,6,-6.0,10.0,3,-3.5,10.0,1
5.0,0.0,8,1.0,-1.0,6,2.0,0.0,3,-1.0,0.0,8
4.0,0.0,2,6.0,0.0,7,1.5,0.0,2,2.0,0.0,3
3.0,0.0,4,1.5,0.0,11,1.0,0.0,8,1.0,0.0,3
1.5,0.0,18,3.0,0.0,21,1.5,-1.0,12,0.5,0.0,9
2.5,0.0,8,1.5,0.0,11,0.0,0.0,12,0.5,0.0,8
1.5,0.0,15,1.5,0.0,20,1.0,0.0,16,1.0,0.0,12
1.0,0.0,10,2.0,0.0,12,2.0,0.0,9,1.0,0.0,11
1.5,0.0,2,1.0,0.0,6,0.5,0.0,3,1.5,0.0,8
0.5,0.0,4,2.0,0.0,6,-0.5,0.0,2,-1.5,0.0,2
0.0,0.0,14,2.0,0.0,12,3.5,0.0,8,0.5,0.0,11
3.5,0.0,6,3.5,0.0,9,0.0,0.0,4,3.0,0.0,6
1.5,0.0,7,2.0,0.0,13,1.5,0.0,9,-1.0,0.0,2
1.0,0.0,7,-0.5,0.0,9,-0.5,0.0,6,1.5,0.0,6
2.0,0.0,8,3.0,0.0,12,2.0,0.0,6,0.0,0.0,3
2.0,0.0,12,2.0,0.0,15,2.0,-1.0,17,-1.5,0.0,8
-0.5,0.0,19,2.5,0.0,20,2.0,0.0,14,2.5,-1.0,15
0.5,0.0,8,2.0,0.0,16,3.5,0.0,15,1.5,0.0,10
5.0,0.0,10,1.5,0.0,7,1.5,0.0,7,2.5,0.0,12
2.5,0.0,3,1.0,0.0,4,1.5,0.0,6,0.5,0.0,4
2.0,0.0,6,2.0,0.0,9,1.5,0.0,5,-1.0,0.0,4
3.0,0.0,3,-0.5,0.0,6,1.0,0.0,6,-0.5,0.0,2
2.5,0.0,8,1.0,0.0,12,-1.0,0.0,9,0.0,0.0,6
3.5,0.0,11,1.5,0.0,15,2.5,0.0,11,1.0,0.0,8
1.5,0.0,9,1.5,0.0,12,2.0,0.0,7,1.5,0.0,6
2.0,0.0,4,2.0,0.0,12,-1.5,0.0,7,1.0,0.0,4
0.5,0.0,12,1.5,0.0,18,2.0,0.0,9,2.5,0.0,6
2.5,0.0,9,2.0,0.0,10,1.5,0.0,11,1.5,0.0,4
3.0,0.0,3,1.5,0.0,7,1.0,0.0,4,0.5,0.0,5
0.5,0.0,4,0.5,0.0,3,2.0,0.0,4,-0.5,-1.0,3
3.0,0.0,10,1.5,0.0,15,2.0,0.0,9,0.5,0.0,4
1.0,0.0,4,0.5,0.0,5,0.5,0.0,2,0.0,0.0,6
3.5,0.0,3,4.0,0.0,6,2.0,0.0,4,-1.0,0.0,1
5.0,0.0,4,3.0,0.0,11,2.0,0.0,6,-1.0,0.0,2
4.5,0.0,5,1.0,0.0,7,0.5,0.0,3,1.0,0.0,3
