0day<br>OWM<br>Temperature<br>Mean:-0.68<br>STD:2.14,0day<br>OWM<br>Rain<br>Mean:0.01<br>STD:0.24,0day<br>OWM<br>Wind<br>Mean:0.07<br>STD:1.68,1day<br>OWM<br>Temperature<br>Mean:-0.70<br>STD:2.34,1day<br>OWM<br>Rain<br>Mean:0.01<br>STD:0.20,1day<br>OWM<br>Wind<br>Mean:0.10<br>STD:1.89,2day<br>OWM<br>Temperature<br>Mean:-0.59<br>STD:2.54,2day<br>OWM<br>Rain<br>Mean:0.01<br>STD:0.24,2day<br>OWM<br>Wind<br>Mean:0.12<br>STD:2.04
e110c5,c9e635,503a97,4733ba,c81768,895661,82a81e,7095cf,d90107
0.5,0,2,5.0,0.0,0,0.0,0.0,1
-0.5,0,1,5.0,0.0,3,1.0,0.0,1
-3.0,0,0,-7.0,0.0,3,-1.0,0.0,4
0.0,0,1,2.0,0.0,2,1.0,0.0,3
5.5,0,0,-1.0,0.0,1,2.0,0.0,2
4.0,0,1,1.0,0.0,3,2.0,0.0,0
-15.0,0,-1,-1.0,0.0,2,0.0,0.0,1
-5.0,0,2,0.0,0.0,2,0.0,0.0,1
1.5,0,1,1.0,0.0,2,2.0,0.0,1
2.0,0,3,-3.0,0.0,0,0.0,0.0,-3
0.0,0,4,-2.0,0.0,2,-5.0,0.0,-3
2.0,0,4,-1.0,0.0,0,-3.0,0.0,0
-0.5,0,3,3.0,0.0,1,3.0,0.0,1
-3.0,0,-1,0.0,0.0,-3,1.0,0.0,0
-1.0,0,2,-5.0,0.0,-3,-3.0,0.0,1
-1.0,0,1,-2.0,0.0,-1,0.0,0.0,3
3.0,0,1,5.0,0,-1,3.0,0,-1
1.0,0,-2,3.0,0,2,0.0,0,3
-4.0,0,-3,-3.0,0,2,-4.0,0,1
-1.0,0,-1,1.0,0,5,1.0,0,1
-0.5,0,0,0.0,0.0,0,0.0,0.0,-1
-0.5,0,0,0.0,-1.0,0,5.0,0.0,1
-0.5,-2,0,2.0,0.0,1,1.0,0.0,1
1.5,0,1,3.0,0.0,0,2.0,0.0,1
2.5,0,0,-0.5,0.0,-1,3.0,0.0,2
0.0,0,0,4.5,0.0,1,2.0,0.0,1
5.0,0,1,0.5,0.0,1,1.0,0.0,2
0.0,0,1,1.5,0.0,1,1.0,0.0,1
1.0,0,1,3.0,0.0,1,0.0,0.0,-1
0.0,0,0,1.0,0.0,1,1.0,0.0,0
0.0,0,0,1.0,0.0,1,-1.0,-1.0,-2
0.0,0,1,1.0,0.0,0,0.0,0.0,-1
0.0,0,0,0.0,0.0,0,1.0,0.0,-1
0.0,0,0,2.0,0.0,2,0.0,0.0,-1
1.0,0,1,0.0,-1.0,0,-2.0,0.0,-2
-1.0,-1,0,1.0,0.0,1,1.0,0.0,3
-0.5,0,0,1.0,0.0,-1,-1.0,1.0,-4
1.0,0,-1,0.0,0.0,-3,1.0,0.0,-4
0.0,0,0,-3.0,0.0,-4,0.0,0.0,-3
-3.5,0,-3,0.0,0.0,1,0.0,0.0,-2
-1.0,0,2,-1.0,0.0,-1,0.0,0.0,-2
0.0,0,0,-1.0,0.0,-3,4.0,0.0,-2
0.0,0,0,-1.0,0.0,-5,2.0,0.0,3
0.0,0,-1,-1.5,0.0,-4,5.0,0.0,5
0.0,0,0,-1.0,0.0,-2,1.0,0.0,1
0.0,0,0,3.0,0.0,0,1.0,0.0,2
2.0,0,1,2.0,0.0,1,1.0,0.0,-1
0.0,0,1,2.0,0.0,2,1.0,0.0,0
