0day<br>WetterCom<br>Temperature<br>Mean:0.36<br>STD:2.42,0day<br>WetterCom<br>Rain<br>Mean:0.24<br>STD:3.53,0day<br>WetterCom<br>Wind<br>Mean:7.45<br>STD:5.02,1day<br>WetterCom<br>Temperature<br>Mean:0.44<br>STD:2.48,1day<br>WetterCom<br>Rain<br>Mean:0.18<br>STD:2.43,1day<br>WetterCom<br>Wind<br>Mean:7.36<br>STD:4.92,2day<br>WetterCom<br>Temperature<br>Mean:0.51<br>STD:2.54,2day<br>WetterCom<br>Rain<br>Mean:0.14<br>STD:1.70,2day<br>WetterCom<br>Wind<br>Mean:7.58<br>STD:4.83
1c1f19,0d603f,1f29fc,4feef7,1d8c50,4ddecc,5ebc20,5fe3ce,753cf0
3.5,30.0,6,6.0,10.0,5,1.0,30.0,8
2.0,20.0,9,1.0,20.0,11,1.5,20.0,15
-3.5,10.0,6,-8.5,60.0,3,-0.5,20.0,12
-1.0,10.0,2,-3.0,60.0,8,-1.5,20.0,6
5.0,10.0,3,0.5,20.0,9,1.5,30.0,8
0.5,20.0,12,0.5,30.0,17,2.0,20.0,13
-8.0,70.0,11,-2.0,30.0,13,0.0,20.0,12
-2.0,70.0,10,-2.0,30.0,7,-0.5,20.0,4
0.5,90.0,12,1.0,30.0,9,5.0,10.0,6
1.0,85.0,17,1.5,20.0,15,2.0,10.0,6
-2.0,30.0,13,-1.5,30.0,10,-4.0,10.0,4
-2.0,30.0,8,-2.5,20.0,1,-1.0,10.0,2
1.0,30.0,8,4.5,10.0,6,4.5,10.0,3
1.0,20.0,11,1.0,10.0,6,-0.5,20.0,7
-1.5,30.0,9,-5.5,10.0,3,-6.5,20.0,5
-2.5,20.0,0,-3.5,10.0,1,-3.0,20.0,7
4.5,10.0,7,5.0,20.0,3,3.5,20.0,3
0.5,30.0,6,0.0,10.0,10,-1.0,20.0,11
-6.0,10.0,3,-6.0,30.0,6,-3.0,20.0,8
-3.5,10.0,1,-3.5,10.0,6,-1.5,20.0,5
-1.0,0.0,8,5.0,0.0,8,4.5,0.0,3
5.0,0.0,8,1.0,-1.0,6,5.5,0.0,4
1.0,-1.0,6,2.0,0.0,3,1.5,0.0,2
2.0,0.0,3,2.0,0.0,3,1.5,0.0,3
2.0,0.0,3,4.5,0.0,3,4.0,0.0,7
4.0,0.0,2,5.5,0.0,4,3.0,0.0,15
6.0,0.0,7,1.5,0.0,2,2.5,0.0,14
1.5,0.0,2,1.5,0.0,3,2.0,0.0,18
1.0,0.0,3,2.5,0.0,5,0.5,0.0,10
3.0,0.0,4,0.5,0.0,8,3.5,0.0,19
1.5,0.0,11,1.5,0.0,6,2.0,-1.0,17
1.0,0.0,8,0.5,0.0,6,2.0,0.0,15
0.5,0.0,9,1.0,0.0,14,2.0,0.0,11
1.5,0.0,18,2.5,0.0,17,0.5,0.0,8
3.0,0.0,21,1.0,-1.0,12,-2.0,0.0,3
1.5,-1.0,12,1.0,0.0,9,0.5,0.0,9
0.5,0.0,8,1.5,0.0,8,1.5,0.0,7
