2day<br>6time<br>OWM<br>Temperature<br>Mean:0.03<br>STD:2.11,2day<br>6time<br>OWM<br>Rain<br>Mean:0.03<br>STD:0.24,2day<br>6time<br>OWM<br>Wind<br>Mean:0.15<br>STD:1.59,2day<br>12time<br>OWM<br>Temperature<br>Mean:0.27<br>STD:1.95,2day<br>12time<br>OWM<br>Rain<br>Mean:0.00<br>STD:0.19,2day<br>12time<br>OWM<br>Wind<br>Mean:0.24<br>STD:1.98,2day<br>18time<br>OWM<br>Temperature<br>Mean:-2.51<br>STD:2.43,2day<br>18time<br>OWM<br>Rain<br>Mean:0.01<br>STD:0.18,2day<br>18time<br>OWM<br>Wind<br>Mean:-0.16<br>STD:2.00,2day<br>21time<br>OWM<br>Temperature<br>Mean:-0.63<br>STD:1.77,2day<br>21time<br>OWM<br>Rain<br>Mean:0.01<br>STD:0.18,2day<br>21time<br>OWM<br>Wind<br>Mean:0.17<br>STD:1.93
628e5d,7a856a,104644,372fbf,e53ea3,bb5c02,877b4c,a22d6f,1e5492,2b0cf5,c1f4fc,017bcc
5.0,0.0,0,5.0,0.0,3,-7.0,0.0,3,2.0,0.0,2
-1.0,0.0,1,1.0,0.0,3,-1.0,0.0,2,0.0,0.0,2
1.0,0.0,2,-3.0,0.0,0,-2.0,0.0,2,-1.0,0.0,0
3.0,0.0,1,0.0,0.0,-3,-5.0,0.0,-3,-2.0,0.0,-1
5.0,0,-1,3.0,0,2,-3.0,0,2,1.0,0,5
0.0,0.0,0,0.0,-1.0,0,2.0,0.0,1,3.0,0.0,0
-0.5,0.0,-1,4.5,0.0,1,0.5,0.0,1,1.5,0.0,1
3.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0
0.0,0.0,0,2.0,0.0,2,0.0,-1.0,0,1.0,0.0,1
1.0,0.0,-1,0.0,0.0,-3,-3.0,0.0,-4,0.0,0.0,1
-1.0,0.0,-1,-1.0,0.0,-3,-1.0,0.0,-5,-1.5,0.0,-4
-1.0,0.0,-2,3.0,0.0,0,2.0,0.0,1,2.0,0.0,2
0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,1
-3.0,0.0,2,-2.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0
0.5,0.0,0,2.0,0.0,2,-3.0,0.0,0,-3.0,0.0,-1
0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0
1.0,0.0,-1,1.0,0.0,0,0.0,0.0,1,1.0,0.0,0
2.0,0,0,0.0,0,0,2.0,0,1,3.0,0,2
0.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0,0.0,0.0,0
-1.0,0.0,1,-1.0,0.0,-1,-1.0,0.0,0,0.0,0.0,0
-1.0,0.0,0,0.0,0.0,0,1.0,0.0,-3,1.0,0.0,-4
6.0,0.0,3,7.0,0.0,4,5.5,0.0,3,6.0,1.0,1
