2day<br>6time<br>ForecastIO<br>Temperature<br>Mean:0.29<br>STD:2.15,2day<br>6time<br>ForecastIO<br>Rain<br>Mean:0.02<br>STD:0.21,2day<br>6time<br>ForecastIO<br>Wind<br>Mean:-0.17<br>STD:1.43,2day<br>11time<br>ForecastIO<br>Temperature<br>Mean:1.72<br>STD:1.95,2day<br>11time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.12,2day<br>11time<br>ForecastIO<br>Wind<br>Mean:-0.28<br>STD:1.61,2day<br>17time<br>ForecastIO<br>Temperature<br>Mean:-1.43<br>STD:2.25,2day<br>17time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.10,2day<br>17time<br>ForecastIO<br>Wind<br>Mean:-0.42<br>STD:1.55,2day<br>23time<br>ForecastIO<br>Temperature<br>Mean:1.00<br>STD:0.00,2day<br>23time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.00,2day<br>23time<br>ForecastIO<br>Wind<br>Mean:2.00<br>STD:0.00
f58599,9c5f71,59d9fe,fdad3c,f6f31c,c9da20,04c166,4dc965,592dc0,8b4f09,1e7c01,a02b37
-2.0,0.0,1,1.0,0.0,1,1.0,0.0,3,1.0,0.0,2
0.0,0.0,1,2.0,0.0,1,3.0,0.0,2,,,
4.0,0.0,1,1.0,0.0,-3,-1.0,0.0,-2,,,
3.0,0,0,0.0,0,0,1.0,0,1,,,
1.0,0.0,0,0.0,-1.0,0,3.0,0.0,0,,,
-1.0,0.0,-1,5.0,0.0,-1,1.0,0.0,-1,,,
1.0,0.0,1,1.0,0.0,0,-1.0,0.0,0,,,
-2.0,0.0,-1,3.0,0.0,0,0.0,-1.0,-2,,,
-1.0,0.0,-2,0.0,0.0,-4,-2.0,0.0,-3,,,
-1.0,0.0,1,-2.0,0.0,1,0.0,0.0,0,,,
-1.0,0.0,-1,4.0,0.0,1,0.0,0.0,1,,,
-1.0,0.0,-1,2.0,0.0,-1,-1.0,0.0,-1,,,
0.0,0.0,1,5.0,0.0,1,0.0,0.0,-4,,,
-4.0,0.0,-2,1.0,0.0,-3,0.0,0.0,2,,,
1.0,0.0,-2,4.0,0.0,-1,0.0,0.0,-3,,,
0.0,0.0,-1,3.0,0.0,0,-1.0,0.0,-1,,,
0.0,0.0,-1,1.0,0.0,0,0.0,0.0,1,,,
3.0,0,0,1.0,0,-2,2.0,0,-1,,,
1.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0,,,
-2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,
-2.0,0.0,1,0.0,0.0,1,-1.0,0.0,1,,,
3.0,0.0,4,3.0,0.0,1,3.0,1.0,-1,,,
0.0,0.0,1,2.0,0.0,1,0.0,0.0,-1,,,
0.0,0.0,-1,1.0,0.0,-2,-1.0,0.0,-1,,,
