StandardID,Cu_Batch_No,Cu_ppm
43d77f,c0491a,5f6989
GBM900-6,RM15042505,4680
GBM900-6,RM14126671,4760
GBM307-15,RM14126671,10600
GBM307-15,RM14087917,9990
GBM900-6,RM14126670,4620
GBM900-6,RM14196570,4690
GBM900-6,RM14196570,4760
GBM900-6,RM14196570,4760
GBM900-6,RM15002541,4450
GBM900-6,RM15002541,4800
GBM900-6,RM14103791,55.6
GBM307-15,RM14103791,10750
GBM307-15,RM14103791,11050
GBM900-6,RM14103791,4110
GBM307-15,RM14103792,11000
GBM900-6,RM14103792,4610
GBM307-15,RM14103792,11000
GBM307-15,RM14103792,10700
GBM307-15,RM14115108,10500
GBM900-6,RM14115108,4580
GBM900-6,RM15002541,4780
GBM900-6,RM15002541,4640
GBM900-6,RM14115109,4560
GBM900-6,RM14115109,4790
GBM900-6,RM14162645,4510
GBM900-6,RM14162645,4930
GBM900-6,RM14162646,4620
GBM900-6,RM14162646,4510
GBM900-6,RM14162646,4300
GBM900-6,RM14162646,4480
GBM900-6,RM14162646,4410
GBM900-6,RM14162646,4540
GBM900-6,RM14162646,4520
GBM900-6,RM14162646,4540
GBM900-6,RM14164972,4380
GBM900-6,RM14164972,4580
GBM900-6,RM14182083,4510
GBM900-6,RM14182083,4590
GBM900-6,RM14182083,4550
GBM900-6,RM14182083,4620
GBM900-6,RM14182083,4520
GBM900-6,RM14182083,4850
GBM900-6,RM14182083,4740
GBM900-6,RM14196570,4410
GBM900-6,RM15061622,4530
GBM900-6,RM15061622,4420
GBM307-15,RM14087917,10850
GBM900-6,RM15002541,4650
GBM900-6,RM15002542,4580
GBM900-6,RM15002542,4380
GBM900-6,RM15002542,4470
GBM900-6,RM15002542,4380
GBM900-6,RM15031181,4540
GBM900-6,RM15031181,4600
GBM900-6,RM15061622,4530
GBM900-6,RM14188651,4570
GBM900-6,RM14188651,4280
GBM900-6,RM14188651,4320
GBM900-6,RM14188651,4310
GBM900-6,RM15097268,4420
GBM900-6,RM15097268,4570
GBM307-15,RM14115108,10950
GBM900-6,RM17086285,4570
GBM900-6,RM15191091,4440
GBM307-15,RM15191091,10350
GBM900-6,RM15195285,4460
GBM307-15,RM15195285,10500
GBM900-6,RM15195285,4600
GBM307-15,RM16002311,10900
