"South Africa, x; Netherlands, x; Australia, x; Austria, x; Canada, x","South Africa, y","Netherlands, y","Australia, y","Austria, y","Canada, y"
c47ad7,50dfc7,b4129c,85f505,3a822d,5f72e9
2017-12-10 00:18:27,3.1606217617,4.1968911917,4.2487046632,3.6787564767,2.6943005181
2017-12-10 00:19:01,3.1410916581,4.2224510814,4.2739443872,3.6560247168,2.7291452111
2017-12-10 00:52:10,3.5152636448,4.625346901,4.394079556,3.7002775208,2.8214616096
2017-12-10 00:57:05,3.421686747,4.8192771084,4.3373493976,3.8072289157,2.7469879518
2017-12-10 01:09:05,3.2850241546,4.8309178744,4.2512077295,3.7198067633,2.8019323671
2017-12-10 01:15:05,3.1888390633,4.9825610364,4.2351768809,3.7867463876,2.7902341804
2017-12-10 01:30:06,3.3821302373,5.047955578,4.3917213529,3.8869257951,2.8268551237
2017-12-10 01:45:07,3.6231884058,5.1759834369,4.6066252588,4.347826087,3.0020703934
2017-12-10 02:15:05,3.5897435897,5.1282051282,4.7692307692,4.5128205128,2.9743589744
2017-12-10 02:30:05,3.4192825112,5.6053811659,4.932735426,4.2040358744,3.0829596413
2017-12-10 02:45:05,3.9915966387,5.2521008403,4.8844537815,4.2016806723,3.0987394958
2017-12-10 03:00:07,3.8888888889,5.5555555556,4.6111111111,4.1111111111,3.1111111111
2017-12-10 03:15:04,4.2063937185,5.6085249579,4.7111609647,4.0381379697,3.3090297252
2017-12-10 12:15:06,3.8060715904,2.6280018124,4.5310376076,2.5373810603,3.8966923425
2017-12-10 12:26:57,3.8309114927,2.5979744606,4.4033465434,2.5099075297,3.7428445619
2017-12-10 15:12:34,4.2654028436,2.9620853081,5.9241706161,2.6066350711,3.672985782
2017-12-10 15:15:49,4.2715038034,2.9842012873,5.8513750731,2.6331187829,3.5693387946
2017-12-10 15:32:32,4.2915931805,2.9394473839,5.8788947678,2.5279247501,3.7624926514
2017-12-10 15:45:05,4.2477876106,2.8908554572,5.8997050147,2.5958702065,3.8348082596
2017-12-10 16:00:05,4.4264339152,2.9925187032,6.2344139651,2.680798005,4.114713217
2017-12-10 16:15:04,4.4080604534,3.0226700252,6.2972292191,2.644836272,4.0931989924
2017-12-10 16:30:04,4.4685172647,3.0467163169,6.7704807041,2.7081922817,4.2654028436
2017-12-10 16:45:04,4.3537414966,3.0612244898,6.8027210884,2.7210884354,4.2176870748
2017-12-10 17:00:05,4.262086514,2.989821883,6.3613231552,2.4809160305,3.8804071247
2017-12-10 17:15:05,4.1556728232,2.9683377309,6.5963060686,2.3746701847,3.8258575198
2017-12-10 17:30:05,4.0660736976,2.9860228717,6.3532401525,2.4142312579,3.74841169
2017-12-10 17:45:06,3.9021164021,2.9761904762,6.6137566138,2.380952381,3.6375661376
2017-12-10 18:00:06,3.8997214485,3.2729805014,6.9637883008,2.3676880223,3.6211699164
2017-12-10 18:15:05,3.8514442916,4.401650619,6.8775790922,2.4071526823,3.5763411279
2017-12-10 18:21:20,3.979739508,4.486251809,7.2358900145,2.3154848046,3.5455861071
2017-12-10 18:21:55,3.8904899135,4.3948126801,7.204610951,2.3054755043,3.530259366
2017-12-10 18:30:05,3.8842345773,4.569687738,7.61614623,2.4371667936,3.5795887281
2017-12-10 18:37:00,3.7350246653,4.4397463002,7.0472163495,2.2551092319,3.4531360113
2017-12-10 18:42:44,3.8220986796,4.447533009,6.9492703266,2.2932592078,3.5441278666
2017-12-10 18:43:42,3.7267080745,4.347826087,6.9013112491,2.2084195997,3.4506556246
2017-12-10 18:45:06,3.8848920863,4.3884892086,7.1942446043,2.2302158273,3.5251798561
2017-12-10 19:00:04,3.8924274593,4.1755130927,7.0771408351,2.3354564756,3.5385704176
2017-12-10 19:15:04,3.9009752438,4.0510127532,7.5018754689,2.40060015,3.375843961
2017-12-10 19:30:03,4.0511727079,3.9800995025,7.1073205402,2.2743425729,3.3404406539
2017-12-10 19:45:06,4.0927694407,4.0245566166,6.8212824011,2.3874488404,3.2742155525
