"Companies in game, x; Players in game, x","Companies in game, y","Players in game, y"
e05c69,4cf66c,3eeac2
2017-10-11 04:40:00+00:00,3,0
2017-10-13 10:27:00+00:00,3,1
2017-10-13 10:33:00+00:00,4,1
2017-10-13 10:38:00+00:00,4,0
2017-10-15 20:53:00+00:00,5,1
2017-10-15 21:18:00+00:00,5,0
2017-10-16 23:52:00+00:00,5,1
2017-10-17 00:08:00+00:00,5,0
2017-10-17 16:55:00+00:00,6,1
2017-10-17 17:00:00+00:00,6,0
2017-10-21 00:13:00+00:00,6,1
2017-10-21 00:18:00+00:00,6,0
2017-10-21 13:48:00+00:00,6,1
2017-10-21 15:04:00+00:00,6,0
2017-10-21 18:01:00+00:00,6,1
2017-10-21 19:12:00+00:00,5,1
2017-10-21 19:16:00+00:00,5,0
2017-10-22 06:08:00+00:00,1,0
2017-10-22 06:14:00+00:00,1,1
2017-10-22 13:23:00+00:00,1,0
2017-10-22 13:28:00+00:00,1,1
2017-10-22 14:04:00+00:00,1,2
2017-10-22 14:09:00+00:00,1,1
2017-10-23 02:02:00+00:00,1,0
2017-10-23 04:18:00+00:00,1,1
2017-10-23 05:29:00+00:00,1,0
2018-01-02 09:04:00+00:00,5,0
2018-01-02 09:18:00+00:00,1,0
2018-01-02 16:23:00+00:00,1,1
2018-01-02 17:34:00+00:00,1,2
2018-01-02 17:59:00+00:00,1,0
2018-01-02 18:09:00+00:00,1,2
2018-01-02 19:45:00+00:00,2,2
2018-01-02 19:55:00+00:00,3,2
2018-01-02 20:05:00+00:00,5,2
2018-01-02 20:15:00+00:00,7,2
2018-01-02 20:20:00+00:00,5,2
2018-01-02 20:25:00+00:00,6,2
2018-01-02 20:30:00+00:00,7,2
2018-01-02 20:35:00+00:00,5,2
2018-01-02 20:40:00+00:00,4,2
2018-01-02 20:56:00+00:00,6,2
2018-01-02 21:01:00+00:00,8,2
2018-01-02 21:11:00+00:00,5,2
2018-01-02 21:16:00+00:00,4,2
2018-01-02 21:21:00+00:00,3,2
2018-01-02 21:26:00+00:00,3,3
2018-01-02 21:46:00+00:00,4,3
2018-01-02 22:27:00+00:00,3,3
2018-01-02 22:57:00+00:00,4,3
2018-01-02 23:12:00+00:00,3,3
2018-01-03 00:03:00+00:00,3,2
2018-01-03 00:13:00+00:00,2,2
2018-01-03 00:18:00+00:00,2,0
2018-01-03 01:14:00+00:00,2,3
2018-01-03 01:24:00+00:00,3,3
2018-01-03 02:19:00+00:00,4,3
2018-01-03 02:34:00+00:00,3,3
2018-01-03 04:41:00+00:00,3,2
2018-01-03 06:58:00+00:00,3,3
2018-01-03 07:13:00+00:00,2,3
2018-01-03 08:49:00+00:00,3,3
2018-01-03 10:50:00+00:00,4,3
2018-01-03 11:56:00+00:00,4,2
2018-01-03 12:21:00+00:00,3,2
2018-01-03 12:26:00+00:00,3,3
2018-01-03 14:02:00+00:00,1,3
2018-01-03 14:07:00+00:00,1,1
2018-01-03 14:23:00+00:00,0,0
2018-01-03 20:06:00+00:00,0,1
2018-01-03 21:32:00+00:00,0,0
2018-01-06 14:31:00+00:00,1,0
2018-01-06 19:35:00+00:00,1,1
2018-01-06 19:40:00+00:00,1,0
