"Trace 0, x; Trace 1, x","Trace 0, y; Trace 1, y","Trace 0, z[0]","Trace 0, z[1]","Trace 0, z[2]","Trace 0, z[3]","Trace 0, z[4]","Trace 0, z[5]","Trace 0, z[6]","Trace 0, z[7]","Trace 0, z[8]","Trace 0, z[9]","Trace 0, z[10]","Trace 0, z[11]","Trace 1, z[0]","Trace 1, z[1]","Trace 1, z[2]","Trace 1, z[3]","Trace 1, z[4]","Trace 1, z[5]","Trace 1, z[6]","Trace 1, z[7]","Trace 1, z[8]","Trace 1, z[9]","Trace 1, z[10]","Trace 1, z[11]"
9f806f,2a2a4d,a7753c,e18019,fd91e1,9fd521,cb8f92,8ce6a0,56ac43,702cfa,fbfe79,c741f4,5a4f8f,cb001d,9c711b,491eb0,4bbcd7,cf0a70,e9d66f,b5a944,5b2228,4ca4ff,ad75d8,5e4638,444365,5188fd
0:45 GMT,Monday,0,0,0,0,0,0,0,0,0,0,0,0,1115,985,489,0,249,1187,1240,1791,1093,1143,1057,1203
2:45 GMT,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,1824,1532,1430,420,1566,1863,2289,2572,2780,2217,2269,1656
4:45 GMT,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1929,1382,675,1234,1355,1793,1979,2818,2926,2996,2760,2517
6:45 GMT,Friday,1709,1364,1360,0,0,0,1871,0,0,0,0,0,1415,1365,763,580,1039,1483,2006,1599,2417,2963,2370,2183
8:45 GMT,Thursday,1563,1621,0,0,0,2264,2281,0,2193,2126,2089,1662,1554,1485,486,0,1417,1547,1661,1379,2562,2491,2546,2019
10:45 GMT,Wednesday,1672,1137,0,0,0,0,1932,1704,2518,1756,1709,1828,1297,1089,794,0,1048,1343,1905,2037,2467,2734,2392,1966
12:45 GMT,Tuesday,1300,1509,0,0,0,1742,0,2436,1953,1940,1904,1861,1535,1099,850,237,940,1391,1043,2039,1933,2315,2307,1914
14:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
16:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
18:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
20:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
22:45 GMT,,,,,,,,,,,,,,,,,,,,,,,,,
