"Balance, x; Moving Average, x","Balance, y","Moving Average, y"
3a4c73,741fbd,5a7c28
14 Oct 2017,4392.86,2948.85
15 Oct 2017,4392.86,2892.30
16 Oct 2017,4392.86,2835.76
17 Oct 2017,2798.25,2822.82
18 Oct 2017,2584.04,2800.82
20 Oct 2017,1893.79,2730.39
21 Oct 2017,932.68,2593.86
22 Oct 2017,932.68,2473.50
23 Oct 2017,932.68,2353.14
24 Oct 2017,1215.24,2252.96
25 Oct 2017,979.26,2135.93
26 Oct 2017,973.63,2091.80
27 Oct 2017,896.58,2048.31
28 Oct 2017,4130.13,2246.25
29 Oct 2017,4130.13,2227.49
30 Oct 2017,4130.13,2208.72
31 Oct 2017,1994.30,2037.39
01 Nov 2017,1771.62,1964.06
02 Nov 2017,1541.94,1889.63
03 Nov 2017,1454.45,1858.25
04 Nov 2017,1344.23,1887.64
05 Nov 2017,1344.23,1917.04
06 Nov 2017,1344.23,1946.44
07 Nov 2017,947.01,1927.28
08 Nov 2017,1745.45,1982.00
09 Nov 2017,1019.25,1985.26
10 Nov 2017,840.51,1981.26
11 Nov 2017,3986.39,1970.99
12 Nov 2017,3986.39,1960.72
13 Nov 2017,3986.39,1950.46
14 Nov 2017,3986.39,2092.75
15 Nov 2017,1318.43,2060.38
16 Nov 2017,1349.74,2046.65
17 Nov 2017,1414.78,2043.82
18 Nov 2017,1413.26,2048.75
19 Nov 2017,1413.26,2053.68
20 Nov 2017,1413.26,2058.61
21 Nov 2017,1148.47,2073.00
22 Nov 2017,743.78,2001.45
23 Nov 2017,996.89,1999.85
24 Nov 2017,-581.04,1898.31
25 Nov 2017,2651.54,1802.97
26 Nov 2017,2661.22,1708.31
27 Nov 2017,2661.22,1613.66
28 Nov 2017,2614.90,1515.69
29 Nov 2017,2852.66,1625.28
30 Nov 2017,2756.00,1725.73
01 Dec 2017,2265.98,1786.53
02 Dec 2017,2074.02,1833.73
03 Dec 2017,2074.02,1880.92
04 Dec 2017,2074.02,1928.12
05 Dec 2017,2061.30,1993.32
06 Dec 2017,1930.61,2078.10
07 Dec 2017,1739.35,2131.13
08 Dec 2017,1689.95,2293.34
09 Dec 2017,4705.25,2440.04
10 Dec 2017,4705.25,2586.04
11 Dec 2017,4705.25,2732.04
12 Dec 2017,2445.90,2719.97
13 Dec 2017,2506.27,2695.23
14 Dec 2017,2483.18,2675.74
15 Dec 2017,2297.54,2677.99
16 Dec 2017,1992.79,2672.19
17 Dec 2017,1992.79,2666.39
18 Dec 2017,1992.79,2660.59
19 Dec 2017,1512.18,2621.36
20 Dec 2017,1365.23,2580.98
21 Dec 2017,1765.23,2582.83
22 Dec 2017,1193.77,2547.39
23 Dec 2017,3426.38,2456.04
24 Dec 2017,3426.38,2364.69
25 Dec 2017,3426.38,2273.34
26 Dec 2017,3426.38,2343.38
27 Dec 2017,3426.38,2409.10
28 Dec 2017,3498.09,2481.59
29 Dec 2017,3078.64,2537.39
30 Dec 2017,1841.22,2526.56
31 Dec 2017,1841.22,2515.73
01 Jan 2018,1841.22,2504.91
02 Jan 2018,1841.22,2528.41
03 Jan 2018,2593.06,2616.11
04 Jan 2018,2159.99,2644.31
05 Jan 2018,1996.37,2701.64
06 Jan 2018,1670.19,2576.20
07 Jan 2018,1670.19,2450.75
08 Jan 2018,1670.19,2325.31
09 Jan 2018,528.66,2118.33
10 Jan 2018,3278.76,2107.79
11 Jan 2018,3278.76,2092.12
12 Jan 2018,2733.03,2067.43
