"Weekly Expenses, x; C, x","Weekly Expenses, y","C, y"
2dca89,2f8004,4c57ef
May 01 2016,1407.04,900.00
May 08 2016,820.44,900.00
May 15 2016,1647.66,900.00
May 22 2016,1402.79,900.00
May 29 2016,716.97,900.00
Jun 05 2016,1051.84,900.00
Jun 12 2016,1181.72,900.00
Jun 19 2016,1024.10,900.00
Jun 26 2016,825.20,900.00
Jul 03 2016,1236.63,900.00
Jul 10 2016,1528.85,900.00
Jul 17 2016,1556.05,900.00
Jul 24 2016,1514.68,900.00
Jul 31 2016,563.55,900.00
Aug 07 2016,665.10,900.00
Aug 14 2016,1331.67,900.00
Aug 21 2016,810.08,900.00
Aug 28 2016,698.09,900.00
Sep 04 2016,972.77,900.00
Sep 11 2016,1236.37,900.00
Sep 18 2016,989.16,900.00
Sep 25 2016,539.28,900.00
Oct 02 2016,655.18,900.00
Oct 09 2016,653.98,900.00
Oct 16 2016,976.42,900.00
Oct 23 2016,881.27,900.00
Oct 30 2016,838.39,900.00
Nov 06 2016,558.57,900.00
Nov 13 2016,1286.30,900.00
Nov 20 2016,1437.57,900.00
Nov 27 2016,778.25,900.00
Dec 04 2016,1273.25,900.00
Dec 11 2016,1736.40,900.00
Dec 18 2016,1803.29,900.00
Dec 25 2016,1103.78,900.00
Jan 01 2017,836.62,900.00
Jan 08 2017,620.34,900.00
Jan 15 2017,661.55,900.00
Jan 22 2017,681.56,900.00
Jan 29 2017,494.06,900.00
Feb 05 2017,552.11,900.00
Feb 12 2017,733.65,900.00
Feb 19 2017,701.52,900.00
Feb 26 2017,681.44,900.00
Mar 05 2017,695.95,900.00
Mar 12 2017,1141.10,900.00
Mar 19 2017,837.44,900.00
Mar 26 2017,803.91,900.00
Apr 02 2017,939.91,900.00
Apr 09 2017,686.10,900.00
Apr 16 2017,888.56,900.00
Apr 23 2017,807.35,900.00
Apr 30 2017,891.26,900.00
May 07 2017,873.91,900.00
May 14 2017,867.39,900.00
May 21 2017,793.31,900.00
May 28 2017,839.43,900.00
Jun 04 2017,898.37,900.00
Jun 11 2017,956.83,900.00
Jun 18 2017,835.52,900.00
Jun 25 2017,905.77,900.00
Jul 02 2017,1076.93,900.00
Jul 09 2017,1242.97,900.00
Jul 16 2017,1049.49,900.00
Jul 23 2017,595.08,900.00
Jul 30 2017,868.80,900.00
Aug 06 2017,754.04,900.00
Aug 13 2017,952.93,900.00
Aug 20 2017,698.46,900.00
Aug 27 2017,1209.35,900.00
Sep 03 2017,800.75,900.00
Sep 10 2017,868.07,900.00
Sep 17 2017,665.13,900.00
Sep 24 2017,1148.69,900.00
Oct 01 2017,510.07,900.00
Oct 08 2017,782.75,900.00
Oct 15 2017,1373.96,900.00
Oct 22 2017,800.42,900.00
Oct 29 2017,856.08,900.00
Nov 05 2017,775.86,900.00
Nov 12 2017,1062.80,900.00
Nov 19 2017,737.63,900.00
Nov 26 2017,969.76,900.00
Dec 03 2017,872.91,900.00
Dec 10 2017,748.86,900.00
Dec 17 2017,777.62,900.00
Dec 24 2017,1080.52,900.00
Dec 31 2017,949.12,900.00
Jan 07 2018,747.75,900.00
