"Gerbosari,x","Gerbosari,y","Gerbosari,z","Ngargosari,x","Ngargosari,y","Ngargosari,z","Pagerharjo,x","Pagerharjo,y","Pagerharjo,z","Sidoharjo,x","Sidoharjo,y","Sidoharjo,z"
5b45e7,d4992a,109a2f,789855,8803fa,e1707d,2cdbba,2c133f,9cf7fa,e7ce34,547347,113f9e
2.96,1.99,2.97,1,1,1.98,3,2,3,2.98,1.98,2
1,1,2,1.98,2,2.94,2.97,2.97,2.96,2.97,1.97,1.98
1.96,1.96,2.99,2.98,2.97,2.95,1.97,1,1.96,2.96,1.96,2.97
2.97,1.97,1.96,1.99,1.97,2.96,2.98,2.98,2,1,1,2.98
3,3,3,2,3,2.97,2,2.96,2.97,3,2,3
1.97,2,1.97,1.96,1.98,2.98,1,0.98,1,2.95,1.95,2.96
0.99,1.98,1.98,3,1.96,2.99,2.96,2.95,1.97,,,
2.98,1.99,2.98,1.97,1.95,2,0.98,1.97,1.95,,,
1.98,0.99,1,1.96,1.99,2.93,2.99,3,2.99,,,
1.99,0.98,0.98,0.98,0.98,1,1.98,1.98,2.98,,,
