A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
daa332,81df3c,4c777f,93807f,834a9e,8eefdf,4412df,008ede,8aa257,9cebfb,e8085b,386e2e,421233,546aad,8f565a,bf3407,4d503a,4bd069,1bb03e,30b020,b77add,e1d292,070a4c,566e05,a73912,f85ce8,7b9ade,318d36,97c45f,dbb0ad
2.96,1.99,2.97,1,1,2,1.96,1.96,2.99,2.97,1.97,1.96,3,3,3,1.97,2,1.97,0.99,1.98,1.98,2.98,1.99,2.98,1.98,0.99,1,1.99,0.98,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,Kali Manggis,,,,,,,,,,,,,,,,,,,,,,,,,,
1.97,2,1.97,Kali Pancur,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99,1.98,1.98,Krasak,,,,,,,,,,,,,,,,,,,,,,,,,,
2.98,1.99,2.98,Dersono,,,,,,,,,,,,,,,,,,,,,,,,,,
1.98,0.99,1,Nggenting,,,,,,,,,,,,,,,,,,,,,,,,,,
1.99,0.98,0.98,Tuk Kuping,,,,,,,,,,,,,,,,,,,,,,,,,,
