"Exchange Deposit Amount(Token), x; Exchange Withdraw Amount(Token), x; Exchange Remain Amount(Token), x","Exchange Deposit Amount(Token), y","Exchange Withdraw Amount(Token), y","Exchange Remain Amount(Token), y","Price(USD), x; Trading Volume(Token), x","Price(USD), y","Trading Volume(Token), y"
8ce4c4,eed672,ba60b5,479d8e,27940c,f8e8e8,720552
2017-12-19 19:00:00,0,0,0,2017-12-21 19:04:48,1.10111,65278128.43403474
2017-12-19 20:00:00,4545000.0,0,4545000.0,2017-12-21 19:19:50,1.07921,65682953.271374434
2017-12-19 21:00:00,4545000.0,0,4545000.0,2017-12-21 19:34:48,1.12253,65466758.126731575
2017-12-19 22:00:00,4545000.0,0,4545000.0,2017-12-21 19:49:49,1.08759,66284629.31803345
2017-12-19 23:00:00,4545000.0,0,4545000.0,2017-12-21 20:04:50,1.1063,66401970.53240531
2017-12-20,4545000.0,0,4545000.0,2017-12-21 20:19:48,1.06618,67259280.79686357
2017-12-20 01:00:00,4545000.0,0,4545000.0,2017-12-21 20:34:48,1.08354,67128486.25800617
2017-12-20 02:00:00,4545000.0,0,4545000.0,2017-12-21 20:49:45,1.06459,67416939.85477978
2017-12-20 03:00:00,4545000.0,0,4545000.0,2017-12-21 21:04:49,1.04783,69133542.65481997
2017-12-20 04:00:00,4545000.0,0,4545000.0,2017-12-21 21:19:47,1.0587,70277226.78756966
2017-12-20 05:00:00,4545000.0,0,4545000.0,2017-12-21 21:34:47,1.06271,70922452.97400042
2017-12-20 06:00:00,4545000.0,0,4545000.0,2017-12-21 21:49:45,1.07541,70635385.57387415
2017-12-20 07:00:00,4545000.0,0,4545000.0,2017-12-21 22:04:48,1.08199,71555652.0855091
2017-12-20 08:00:00,4545000.0,0,4545000.0,2017-12-21 22:19:48,1.10391,71221295.21428378
2017-12-20 09:00:00,4545000.0,0,4545000.0,2017-12-21 22:34:46,1.10563,72152709.31505115
2017-12-20 10:00:00,4545000.0,0,4545000.0,2017-12-21 22:49:45,1.13674,71664848.60214296
2017-12-20 11:00:00,4545000.0,0,4545000.0,2017-12-21 23:04:46,1.129,72138706.82019486
2017-12-20 12:00:00,4545000.0,0,4545000.0,2017-12-21 23:19:47,1.11264,74141141.78889847
2017-12-20 13:00:00,4545000.0,0,4545000.0,2017-12-21 23:34:44,1.12653,74058036.62574454
2017-12-20 14:00:00,4545000.0,0,4545000.0,2017-12-21 23:49:40,1.11231,74731774.41540578
2017-12-20 15:00:00,4545000.0,0,4545000.0,2017-12-22 00:04:43,1.12291,75003072.37445565
2017-12-20 16:00:00,4545000.0,0,4545000.0,2017-12-22 00:19:43,1.14208,75247881.05912021
2017-12-20 17:00:00,4545000.0,0,4545000.0,2017-12-22 00:34:43,1.09789,76825820.43738444
2017-12-20 18:00:00,4545000.0,0,4545000.0,2017-12-22 00:49:41,1.11255,76197474.27081929
2017-12-20 19:00:00,4545000.0,0,4545000.0,2017-12-22 01:04:42,1.07876,77000259.55726947
2017-12-20 20:00:00,4545000.0,0,4545000.0,2017-12-22 01:19:40,1.04177,77479674.01633757
