"Top 50 Token MA, x","Top 50 Token MA, y","Price(USD), x","Price(USD), y"
cb8892,6cd68f,1f7b15,ee303a
2017-12-19 19:00:00,145440.2,2017-12-21 19:04:48,1.10111
2017-12-19 20:00:00,254520.2,2017-12-21 19:19:50,1.07921
2017-12-19 21:00:00,254520.2,2017-12-21 19:34:48,1.12253
2017-12-19 22:00:00,254520.2,2017-12-21 19:49:49,1.08759
2017-12-19 23:00:00,254520.2,2017-12-21 20:04:50,1.1063
2017-12-20,254520.2,2017-12-21 20:19:48,1.06618
2017-12-20 01:00:00,254520.2,2017-12-21 20:34:48,1.08354
2017-12-20 02:00:00,254520.2,2017-12-21 20:49:45,1.06459
2017-12-20 03:00:00,254520.2,2017-12-21 21:04:49,1.04783
2017-12-20 04:00:00,254520.2,2017-12-21 21:19:47,1.0587
2017-12-20 05:00:00,254520.2,2017-12-21 21:34:47,1.06271
2017-12-20 06:00:00,255883.7,2017-12-21 21:49:45,1.07541
2017-12-20 07:00:00,255883.7,2017-12-21 22:04:48,1.08199
2017-12-20 08:00:00,255883.7,2017-12-21 22:19:48,1.10391
2017-12-20 09:00:00,255883.7,2017-12-21 22:34:46,1.10563
2017-12-20 10:00:00,255883.7,2017-12-21 22:49:45,1.13674
2017-12-20 11:00:00,255883.7,2017-12-21 23:04:46,1.129
2017-12-20 12:00:00,710383.7,2017-12-21 23:19:47,1.11264
2017-12-20 13:00:00,710383.7,2017-12-21 23:34:44,1.12653
2017-12-20 14:00:00,892183.7,2017-12-21 23:49:40,1.11231
2017-12-20 15:00:00,892183.7,2017-12-22 00:04:43,1.12291
2017-12-20 16:00:00,995355.2,2017-12-22 00:19:43,1.14208
2017-12-20 17:00:00,995355.2,2017-12-22 00:34:43,1.09789
2017-12-20 18:00:00,995355.2,2017-12-22 00:49:41,1.11255
2017-12-20 19:00:00,995355.2,2017-12-22 01:04:42,1.07876
2017-12-20 20:00:00,995355.2,2017-12-22 01:19:40,1.04177
2017-12-20 21:00:00,995355.2,2017-12-22 01:34:41,1.06304
2017-12-20 22:00:00,995355.2,2017-12-22 01:49:40,1.0708
2017-12-20 23:00:00,995355.2,2017-12-22 02:04:40,1.02757
2017-12-21,995355.2,2017-12-22 02:19:39,0.998482
2017-12-21 01:00:00,995355.2,2017-12-22 02:34:40,1.01352
2017-12-21 02:00:00,1040805.2,2017-12-22 02:49:40,1.00364
2017-12-21 03:00:00,975300.545,2017-12-22 03:04:42,0.934736
2017-12-21 04:00:00,946827.345,2017-12-22 03:19:41,0.897164
2017-12-21 05:00:00,1100134.645,2017-12-22 03:34:41,0.862336
2017-12-21 06:00:00,1100989.105,2017-12-22 03:49:41,0.822916
