labels,values
9f9c7a,c51fbe
01-01,476
01-02,5221
01-03,2763
01-05,1492
01-06,1148
01-07,339
01-08,639
01-09,1519
01-10,15545
01-11,1623
01-12,1176
01-13,1096
01-14,440
01-15,578
01-16,1759
01-17,1531
01-18,1384
01-19,1494
01-20,1503
01-21,336
01-22,675
01-23,1842
01-24,1765
01-25,1501
01-26,1850
01-27,1035
01-28,928
01-29,1140
01-30,1341
01-31,1855
02-01,1664
02-02,1738
02-03,1654
02-04,8
02-05,712
02-06,1555
02-07,1523
02-08,1595
02-09,1525
02-10,2645
02-11,3346
02-14,99
02-16,8639
02-17,15101
02-18,389
02-19,1041
02-20,1884
02-21,2161
02-22,2422
02-23,1724
02-24,954
02-25,918
02-26,2583
02-27,3372
02-28,2066
03-01,2286
03-02,2207
03-03,1757
03-04,694
03-05,1031
03-06,2383
03-07,2849
03-08,2187
03-09,2968
03-10,2194
03-11,817
03-12,9856
03-13,21797
03-14,80
03-15,56
03-16,1016
03-17,1228
03-18,641
03-19,387
03-20,5019
03-21,1583
03-22,1165
03-23,1810
03-24,804
03-25,851
03-26,1032
03-27,1970
03-28,2094
03-29,1520
03-30,824
03-31,1344
04-01,922
04-02,1353
04-03,2463
04-04,1719
04-05,1043
04-06,1239
04-07,1462
04-08,3765
04-09,921
04-10,2224
04-11,1344
04-12,1512
04-13,1700
04-14,1591
04-15,75
04-16,1878
04-17,6874
04-18,2047
04-19,1991
04-20,2103
04-21,1826
04-22,993
04-23,2456
04-24,3559
04-25,3640
04-26,6102
04-27,4681
04-28,5826
04-29,3277
04-30,13928
05-01,8487
05-02,1664
05-03,5846
05-08,136
05-11,5
05-13,68
05-16,155
05-17,244
11-27,4268
11-28,4351
11-29,1946
12-01,17306
12-02,1006
12-03,1867
12-05,229
12-06,1142
12-07,59
12-08,2418
12-09,946
12-10,273
12-11,468
12-12,1114
12-13,885
12-14,873
12-15,941
12-16,799
12-17,283
12-18,272
12-19,1111
12-20,903
12-21,952
12-22,666
12-23,588
12-24,230
12-25,220
12-26,916
12-27,1130
12-28,1363
12-29,1064
12-30,500
12-31,161
