"Daily Avg., x; 7 Day Avg., x; 30 Day Avg., x","Daily Avg., y","Daily Avg., text","7 Day Avg., y","7 Day Avg., text","30 Day Avg., y","30 Day Avg., text"
ac2622,88b4cb,7a1396,5343c1,038d28,b34e00,4148ce
2017-01-01,4.15736,total number = 197<br>5☆ = 110<br>4☆ = 55<br>3☆ = 6<br>2☆ = 5<br>1☆ = 21,4.11218,total number = 197<br>5☆ = 642<br>4☆ = 265<br>3☆ = 71<br>2☆ = 46<br>1☆ = 117,4.04909,total number = 6417<br>5☆ = 3542<br>4☆ = 1465<br>3☆ = 381<br>2☆ = 241<br>1☆ = 788
2017-01-02,4.16327,total number = 147<br>5☆ = 83<br>4☆ = 38<br>3☆ = 7<br>2☆ = 5<br>1☆ = 14,4.10642,total number = 147<br>5☆ = 635<br>4☆ = 268<br>3☆ = 70<br>2☆ = 48<br>1☆ = 116,4.05537,total number = 6249<br>5☆ = 3458<br>4☆ = 1429<br>3☆ = 372<br>2☆ = 230<br>1☆ = 760
2017-01-03,4.13514,total number = 148<br>5☆ = 83<br>4☆ = 38<br>3☆ = 7<br>2☆ = 4<br>1☆ = 16,4.10545,total number = 148<br>5☆ = 623<br>4☆ = 270<br>3☆ = 64<br>2☆ = 45<br>1☆ = 117,4.06289,total number = 6042<br>5☆ = 3357<br>4☆ = 1378<br>3☆ = 362<br>2☆ = 220<br>1☆ = 725
2017-01-04,4.18978,total number = 137<br>5☆ = 85<br>4☆ = 27<br>3☆ = 6<br>2☆ = 4<br>1☆ = 15,4.14092,total number = 137<br>5☆ = 632<br>4☆ = 263<br>3☆ = 60<br>2☆ = 40<br>1☆ = 112,4.05599,total number = 5858<br>5☆ = 3247<br>4☆ = 1330<br>3☆ = 354<br>2☆ = 216<br>1☆ = 711
2017-01-05,4.03546,total number = 141<br>5☆ = 73<br>4☆ = 36<br>3☆ = 9<br>2☆ = 10<br>1☆ = 13,4.12891,total number = 141<br>5☆ = 595<br>4☆ = 255<br>3☆ = 57<br>2☆ = 42<br>1☆ = 106,4.0461,total number = 5662<br>5☆ = 3125<br>4☆ = 1282<br>3☆ = 341<br>2☆ = 219<br>1☆ = 695
2017-01-06,4.19601,total number = 301<br>5☆ = 178<br>4☆ = 70<br>3☆ = 16<br>2☆ = 8<br>1☆ = 29,4.1525,total number = 301<br>5☆ = 685<br>4☆ = 293<br>3☆ = 61<br>2☆ = 42<br>1☆ = 119,4.04613,total number = 5636<br>5☆ = 3114<br>4☆ = 1277<br>3☆ = 333<br>2☆ = 215<br>1☆ = 697
2017-01-07,4.12042,total number = 191<br>5☆ = 109<br>4☆ = 45<br>3☆ = 9<br>2☆ = 7<br>1☆ = 21,4.14897,total number = 191<br>5☆ = 721<br>4☆ = 309<br>3☆ = 60<br>2☆ = 43<br>1☆ = 129,4.04258,total number = 5613<br>5☆ = 3105<br>4☆ = 1259<br>3☆ = 331<br>2☆ = 219<br>1☆ = 699
2017-01-08,4.05844,total number = 154<br>5☆ = 87<br>4☆ = 29<br>3☆ = 15<br>2☆ = 6<br>1☆ = 17,4.13618,total number = 154<br>5☆ = 698<br>4☆ = 283<br>3☆ = 69<br>2☆ = 44<br>1☆ = 125,4.04275,total number = 5497<br>5☆ = 3039<br>4☆ = 1231<br>3☆ = 331<br>2☆ = 215<br>1☆ = 681
2017-01-09,3.93125,total number = 160<br>5☆ = 85<br>4☆ = 33<br>3☆ = 13<br>2☆ = 4<br>1☆ = 25,4.10633,total number = 160<br>5☆ = 700<br>4☆ = 278<br>3☆ = 75<br>2☆ = 43<br>1☆ = 136,4.04854,total number = 5439<br>5☆ = 3018<br>4☆ = 1217<br>3☆ = 328<br>2☆ = 202<br>1☆ = 674
2017-01-10,4.23894,total number = 226<br>5☆ = 142<br>4☆ = 45<br>3☆ = 12<br>2☆ = 5<br>1☆ = 22,4.12595,total number = 226<br>5☆ = 759<br>4☆ = 285<br>3☆ = 80<br>2☆ = 44<br>1☆ = 142,4.06005,total number = 5429<br>5☆ = 3029<br>4☆ = 1213<br>3☆ = 333<br>2☆ = 192<br>1☆ = 662
2017-01-11,3.66797,total number = 256<br>5☆ = 121<br>4☆ = 53<br>3☆ = 16<br>2☆ = 8<br>1☆ = 58,4.03779,total number = 256<br>5☆ = 795<br>4☆ = 311<br>3☆ = 90<br>2☆ = 48<br>1☆ = 185,4.05722,total number = 5470<br>5☆ = 3053<br>4☆ = 1217<br>3☆ = 336<br>2☆ = 188<br>1☆ = 676
2017-01-12,3.49645,total number = 282<br>5☆ = 135<br>4☆ = 40<br>3☆ = 17<br>2☆ = 10<br>1☆ = 80,3.94076,total number = 282<br>5☆ = 857<br>4☆ = 315<br>3☆ = 98<br>2☆ = 48<br>1☆ = 252,4.05402,total number = 5461<br>5☆ = 3047<br>4☆ = 1209<br>3☆ = 341<br>2☆ = 181<br>1☆ = 683
