"Sensitive Receptor, x","Sensitive Receptor, y","Sensitive Receptor, text","Construction, x","Construction, y","Construction, text","Ambient, x","Ambient, y","Ambient, text"
562a82,27a72d,e9e0f5,be70c2,d57dc8,18553d,9dcea3,41b7a4,4cb541
,,KHG_161018_2221,2016-08-19 12:00:00,70.0,CCGS_160819_01,2016-10-18 23:01:08,,KHG_161018_2300
2016-10-19 22:49:41,,KHG_161019_2248,,,KHG_161017_2229,2016-10-19 23:13:21,,KHG_161019_1112
2016-10-21 23:36:14,,WOFH_161021_2335,2016-10-19 22:57:40,,KHG_161019_2256,2016-10-22 00:36:03,,WOFH_161022_0034
2017-05-02 21:18:00,89.3,AGS_170502_2118,2016-10-21 23:37:49,,WOFH_161021_2346,2017-04-24 19:32:00,60.7,AGS_170424_1944
2017-05-03 21:17:00,75.8,AGS_170503_2117,2017-04-19 21:28:00,79.1,AGS_170419_2128,2017-05-01 19:38:00,58.1,AGS_170501_1938
2017-05-05 04:00:00,57.1,AGS_170505_0400,2017-04-24 20:54:00,80.7,AGS_170424_2054,2017-05-05 21:39:00,66.1,AGS_170505_2139
2017-05-10 09:34:00,96.4,AGS_170510_0934,2017-04-25 21:11:00,76.0,AGS_170425_2111,2017-05-31 21:20:00,57.3,AGS_170531_2120
2017-05-10 09:55:00,82.2,AGS_170510_0955,2017-04-26 21:25:00,84.8,AGS_170426_2125,2017-06-05 19:55:00,68.5,AGS_170605_1955
2017-05-30 20:50:00,82.9,AGS_170530_2050,2017-04-28 03:50:00,88.6,AGS_170428_0350,2017-06-26 19:25:00,59.0,AGS_170626_1925
2017-06-26 20:48:00,61.3,AGS_170627_2048,2017-05-01 20:48:00,90.7,AGS_170501_2048,2017-07-05 21:25:00,62.5,AGS_170705_2125
2016-11-19 09:40:00,71.0,ASU_161119_0940,2017-05-05 22:27:00,90.2,AGS_170505_2227,2017-07-05 21:56:00,66.6,AGS_170705_2156
2016-12-10 19:48:00,66.0,OC3_161210_1948,2017-05-31 23:14:00,85.6,AGS_170531_2314,2017-04-24 21:01:00,64.0,OC3_170424_2101
2016-12-10 23:50:00,73.1,OC3_161210_1150,2017-06-05 22:41:00,84.4,AGS_170605_2241,2017-03-27 23:47:00,65.1,OC3_170327_2357
2016-12-11 12:40:00,80.0,OC3_161210_2440,2017-06-06 22:34:00,83.7,AGS_170606_2234,2017-03-28 21:59:00,64.2,OC3_170328_2159
2017-06-21 21:24:00,67.7,OC3_170621_2124,2017-06-07 22:32:00,85.7,AGS_170607_2232,2017-04-03 21:57:00,63.5,OC3_170403_2157
2017-06-21 22:54:00,68.2,OC3_170621_2254,2017-06-08 22:37:00,85.4,AGS_170608_2237,2017-04-04 22:14:00,73.3,OC3_170404_2214
2017-04-25 03:17:00,70.0,OC3_170425_0317,2017-06-09 22:21:00,87.0,AGS_170609_2221,2017-04-05 22:01:00,72.1,OC3_170405_2201
2017-04-06 22:02:00,72.7,OC3_170407_0122,2017-07-27 23:08:00,71.4,AGS_170627_2308,2017-04-06 22:02:00,71.8,OC3_170406_2202
2017-04-07 01:22:00,74.2,OC3_170407_0122,2017-06-27 22:27:00,79.0,AGS_170627_2227,2017-04-17 22:26:00,68.8,OC3_170417_2226
2017-04-07 04:02:00,74.2,OC3_170407_0402,2017-06-27 00:42:00,80.9,AGS_170628_0042,2017-04-18 23:25:00,65.4,OC3_170418_2325
2017-04-17 23:50:00,74.3,OC3_170417_2350,2017-06-28 22:35:00,76.1,AGS_170628_2235,2017-04-19 21:27:00,64.2,OC3_170419_2127
2017-04-18 02:27:00,75.4,OC3_170418_0227,2017-06-29 00:44:00,61.8,AGS_170629_0044,2017-04-20 21:16:00,65.5,OC3_170420_2116
2017-04-19 01:50:00,72.8,OC3_170419_0150,2017-06-29 01:13:00,75.8,AGS_170629_0113,2017-05-30 18:19:00,74.9,OC3_170530_1819
2017-04-19 05:59:00,71.8,OC3_170419_0559,2017-06-29 11:49:00,65.6,AGS_170629_2349,2017-09-11 19:36:00,67.1,OC3_170911_1936
2017-04-19 23:29:00,72.6,OC3_170419_2329,2017-06-30 22:46:00,79.7,AGS_170630_2246,2017-09-10 19:51:00,66.7,OC3_170910_1951
2017-04-19 23:50:00,75.8,OC3_170419_2329,2017-06-30 23:50:00,73.4,AGS_170630_2350,2017-08-20 15:12:00,64.3,OC3_170820_1512
2017-04-20 03:40:00,70.5,OC3_170420_0340,2017-07-01 02:16:00,72.1,AGS_170701_0216,2017-09-03 19:46:00,67.2,OC3_170903_1946
2017-04-20 05:37:00,74.0,OC3_170420_0537,2017-07-05 22:35:00,89.1,AGS_170705_2235,2017-09-04 19:44:00,66.4,OC3_170904_1944
2017-04-21 05:55:00,64.0,OC3_170421_0555,2017-07-05 23:17:00,77.8,AGS_170705_2317,2017-09-14 15:33:15,67.6,OC3_170906_1954
2017-09-07 21:54:00,68.2,OC3_170907_2154,2017-07-06 22:37:00,90.4,AGS_170707_2237,2017-09-12 19:51:00,68.5,OC3_170912_1950
2017-09-08 01:58:00,69.0,OC3_170908_0158,2017-07-08 03:12:00,66.7,AGS_170708_0312,2017-09-14 00:10:00,68.2,OC3_170913_1906
2017-09-11 23:49:00,67.5,OC3_170911_2349,2017-07-11 03:18:00,61.5,AGS_170711_0318,2017-09-14 19:54:00,67.2,OC3_170914_1954
