"Sensitive Receptor; Sensitive Receptor (2), x","Construction; Construction (2), x","Ambient; Ambient (2), x","Sensitive Receptor (1), x","Sensitive Receptor (1), y","Construction (1), x","Construction (1), y","Ambient (1), x","Ambient (1), y","Sensitive Receptor (2), y","Construction (2), y","Ambient (2), y"
7714b8,4acc13,8e7755,60c654,5ba002,000cf7,ade7a7,67043f,7f0e70,d603a6,a41863,dd2789
89.3,70.0,60.7,56.0,0.0112821877,60.7,0.0099841514,57.3,0.0087858053,Sensitive Receptor,Construction,Ambient
75.8,79.1,58.1,56.0808,0.0114953575,60.7878,0.0101337078,57.3382,0.0089735472,Sensitive Receptor,Construction,Ambient
57.1,80.7,66.1,56.1616,0.011711217,60.8756,0.0102846881,57.3764,0.0091644559,Sensitive Receptor,Construction,Ambient
96.4,76.0,57.3,56.2424,0.0119297669,60.9634,0.0104370892,57.4146,0.0093585632,Sensitive Receptor,Construction,Ambient
82.2,84.8,68.5,56.3232,0.012151007,61.0512,0.0105909079,57.4528,0.0095559006,Sensitive Receptor,Construction,Ambient
82.9,88.6,59.0,56.404,0.0123749362,61.139,0.0107461405,57.491,0.0097564995,Sensitive Receptor,Construction,Ambient
61.3,90.7,62.5,56.4848,0.0126015525,61.2268,0.0109027828,57.5292,0.009960391,Sensitive Receptor,Construction,Ambient
71.0,90.2,66.6,56.5656,0.0128308527,61.3146,0.0110608304,57.5674,0.0101676058,Sensitive Receptor,Construction,Ambient
66.0,85.6,64.0,56.6464,0.0130628329,61.4024,0.0112202784,57.6056,0.0103781746,Sensitive Receptor,Construction,Ambient
73.1,84.4,65.1,56.7272,0.013297488,61.4902,0.0113811214,57.6438,0.0105921275,Sensitive Receptor,Construction,Ambient
80.0,83.7,64.2,56.808,0.013534812,61.578,0.0115433537,57.682,0.0108094945,Sensitive Receptor,Construction,Ambient
67.7,85.7,63.5,56.8888,0.0137747978,61.6658,0.0117069693,57.7202,0.011030305,Sensitive Receptor,Construction,Ambient
68.2,85.4,73.3,56.9696,0.0140174372,61.7536,0.0118719615,57.7584,0.0112545885,Sensitive Receptor,Construction,Ambient
70.0,87.0,72.1,57.0504,0.0142627212,61.8414,0.0120383233,57.7966,0.0114823736,Sensitive Receptor,Construction,Ambient
72.7,71.4,71.8,57.1312,0.0145106395,61.9292,0.0122060474,57.8348,0.0117136888,Sensitive Receptor,Construction,Ambient
74.2,79.0,68.8,57.212,0.0147611806,62.017,0.012375126,57.873,0.0119485621,Sensitive Receptor,Construction,Ambient
74.2,80.9,65.4,57.2928,0.0150143322,62.1048,0.0125455507,57.9112,0.0121870212,Sensitive Receptor,Construction,Ambient
74.3,76.1,64.2,57.3736,0.0152700806,62.1926,0.0127173129,57.9494,0.0124290932,Sensitive Receptor,Construction,Ambient
75.4,61.8,65.5,57.4544,0.0155284113,62.2804,0.0128904033,57.9876,0.0126748047,Sensitive Receptor,Construction,Ambient
72.8,75.8,74.9,57.5352,0.0157893083,62.3682,0.0130648126,58.0258,0.012924182,Sensitive Receptor,Construction,Ambient
71.8,65.6,67.1,57.616,0.0160527547,62.456,0.0132405305,58.064,0.0131772508,Sensitive Receptor,Construction,Ambient
72.6,79.7,66.7,57.6968,0.0163187322,62.5438,0.0134175466,58.1022,0.0134340362,Sensitive Receptor,Construction,Ambient
75.8,73.4,64.3,57.7776,0.0165872217,62.6316,0.01359585,58.1404,0.0136945628,Sensitive Receptor,Construction,Ambient
70.5,72.1,67.2,57.8584,0.0168582025,62.7194,0.0137754293,58.1786,0.0139588547,Sensitive Receptor,Construction,Ambient
74.0,89.1,66.4,57.9392,0.0171316529,62.8072,0.0139562727,58.2168,0.0142269354,Sensitive Receptor,Construction,Ambient
64.0,77.8,67.6,58.02,0.01740755,62.895,0.0141383678,58.255,0.0144988276,Sensitive Receptor,Construction,Ambient
68.2,90.4,68.5,58.1008,0.0176858697,62.9828,0.0143217019,58.2932,0.0147745536,Sensitive Receptor,Construction,Ambient
69.0,66.7,68.2,58.1816,0.0179665866,63.0706,0.0145062617,58.3314,0.0150541351,Sensitive Receptor,Construction,Ambient
67.5,61.5,67.2,58.2624,0.0182496742,63.1584,0.0146920336,58.3696,0.0153375928,Sensitive Receptor,Construction,Ambient
66.5,70.9,65.9,58.3432,0.0185351044,63.2462,0.0148790034,58.4078,0.0156249471,Sensitive Receptor,Construction,Ambient
72.7,62.9,69.5,58.424,0.0188228484,63.334,0.0150671565,58.446,0.0159162174,Sensitive Receptor,Construction,Ambient
64.6,74.0,68.8,58.5048,0.0191128757,63.4218,0.0152564777,58.4842,0.0162114226,Sensitive Receptor,Construction,Ambient
71.6,74.1,69.0,58.5856,0.0194051548,63.5096,0.0154469516,58.5224,0.0165105807,Sensitive Receptor,Construction,Ambient
67.5,70.1,71.3,58.6664,0.0196996528,63.5974,0.015638562,58.5606,0.016813709,Sensitive Receptor,Construction,Ambient
69.2,67.3,66.4,58.7472,0.0199963356,63.6852,0.0158312925,58.5988,0.0171208238,Sensitive Receptor,Construction,Ambient
64.1,67.8,71.3,58.828,0.0202951678,63.773,0.0160251261,58.637,0.017431941,Sensitive Receptor,Construction,Ambient
66.0,72.1,72.3,58.9088,0.0205961127,63.8608,0.0162200453,58.6752,0.0177470753,Sensitive Receptor,Construction,Ambient
69.2,73.1,66.1,58.9896,0.0208991324,63.9486,0.0164160322,58.7134,0.0180662408,Sensitive Receptor,Construction,Ambient
70.4,70.0,67.3,59.0704,0.0212041877,64.0364,0.0166130684,58.7516,0.0183894505,Sensitive Receptor,Construction,Ambient
65.3,77.6,71.0,59.1512,0.021511238,64.1242,0.016811135,58.7898,0.0187167167,Sensitive Receptor,Construction,Ambient
67.1,74.9,66.9,59.232,0.0218202417,64.212,0.0170102127,58.828,0.0190480506,Sensitive Receptor,Construction,Ambient
61.7,76.1,67.6,59.3128,0.0221311556,64.2998,0.0172102817,58.8662,0.0193834627,Sensitive Receptor,Construction,Ambient
65.2,72.8,70.9,59.3936,0.0224439354,64.3876,0.0174113216,58.9044,0.0197229624,Sensitive Receptor,Construction,Ambient
69.0,73.7,69.2,59.4744,0.0227585356,64.4754,0.0176133117,58.9426,0.020066558,Sensitive Receptor,Construction,Ambient
67.8,75.0,68.9,59.5552,0.0230749093,64.5632,0.0178162309,58.9808,0.0204142571,Sensitive Receptor,Construction,Ambient
64.5,70.9,66.7,59.636,0.0233930083,64.651,0.0180200573,59.019,0.0207660661,Sensitive Receptor,Construction,Ambient
69.3,74.8,65.9,59.7168,0.0237127833,64.7388,0.0182247688,59.0572,0.0211219903,Sensitive Receptor,Construction,Ambient
68.5,68.0,66.6,59.7976,0.0240341835,64.8266,0.0184303428,59.0954,0.0214820341,Sensitive Receptor,Construction,Ambient
73.6,75.5,64.3,59.8784,0.0243571572,64.9144,0.0186367562,59.1336,0.0218462009,Sensitive Receptor,Construction,Ambient
66.4,75.8,68.3,59.9592,0.0246816511,65.0022,0.0188439855,59.1718,0.0222144926,Sensitive Receptor,Construction,Ambient
69.2,80.8,68.9,60.04,0.0250076109,65.09,0.0190520066,59.21,0.0225869105,Sensitive Receptor,Construction,Ambient
66.1,72.5,60.2,60.1208,0.0253349809,65.1778,0.019260795,59.2482,0.0229634544,Sensitive Receptor,Construction,Ambient
67.1,64.2,65.8,60.2016,0.0256637044,65.2656,0.0194703259,59.2864,0.0233441231,Sensitive Receptor,Construction,Ambient
65.0,64.3,64.7,60.2824,0.0259937233,65.3534,0.0196805739,59.3246,0.0237289142,Sensitive Receptor,Construction,Ambient
64.9,91.3,65.6,60.3632,0.0263249784,65.4412,0.0198915132,59.3628,0.0241178241,Sensitive Receptor,Construction,Ambient
64.3,60.7,64.3,60.444,0.0266574093,65.529,0.0201031175,59.401,0.024510848,Sensitive Receptor,Construction,Ambient
67.7,83.1,64.3,60.5248,0.0269909543,65.6168,0.0203153601,59.4392,0.0249079799,Sensitive Receptor,Construction,Ambient
72.5,65.9,61.7,60.6056,0.0273255508,65.7046,0.0205282139,59.4774,0.0253092125,Sensitive Receptor,Construction,Ambient
65.8,68.3,61.5,60.6864,0.0276611348,65.7924,0.0207416513,59.5156,0.0257145373,Sensitive Receptor,Construction,Ambient
76.8,85.9,64.6,60.7672,0.0279976414,65.8802,0.0209556443,59.5538,0.0261239445,Sensitive Receptor,Construction,Ambient
72.7,82.0,61.9,60.848,0.0283350044,65.968,0.0211701645,59.592,0.026537423,Sensitive Receptor,Construction,Ambient
73.8,83.2,58.1,60.9288,0.0286731566,66.0558,0.0213851831,59.6302,0.0269549604,Sensitive Receptor,Construction,Ambient
81.5,67.2,65.6,61.0096,0.0290120297,66.1436,0.0216006708,59.6684,0.0273765429,Sensitive Receptor,Construction,Ambient
81.3,88.6,59.6,61.0904,0.0293515543,66.2314,0.021816598,59.7066,0.0278021555,Sensitive Receptor,Construction,Ambient
70.5,67.6,68.4,61.1712,0.02969166,66.3192,0.0220329346,59.7448,0.0282317817,Sensitive Receptor,Construction,Ambient
73.2,63.2,63.7,61.252,0.0300322755,66.407,0.0222496502,59.783,0.0286654037,Sensitive Receptor,Construction,Ambient
76.0,69.1,60.3,61.3328,0.0303733282,66.4948,0.0224667139,59.8212,0.0291030024,Sensitive Receptor,Construction,Ambient
77.7,89.0,66.7,61.4136,0.0307147448,66.5826,0.0226840944,59.8594,0.029544557,Sensitive Receptor,Construction,Ambient
74.2,76.1,59.4,61.4944,0.0310564509,66.6704,0.0229017603,59.8976,0.0299900457,Sensitive Receptor,Construction,Ambient
72.3,72.0,76.4,61.5752,0.0313983713,66.7582,0.0231196794,59.9358,0.0304394448,Sensitive Receptor,Construction,Ambient
65.5,87.3,60.9,61.656,0.0317404297,66.846,0.0233378194,59.974,0.0308927297,Sensitive Receptor,Construction,Ambient
72.8,60.9,,61.7368,0.0320825491,66.9338,0.0235561477,60.0122,0.0313498738,Sensitive Receptor,Construction,
79.7,89.2,,61.8176,0.0324246515,67.0216,0.0237746311,60.0504,0.0318108494,Sensitive Receptor,Construction,
75.9,67.3,,61.8984,0.0327666583,67.1094,0.0239932363,60.0886,0.0322756273,Sensitive Receptor,Construction,
60.6,66.4,,61.9792,0.0331084897,67.1972,0.0242119295,60.1268,0.0327441765,Sensitive Receptor,Construction,
84.7,77.8,,62.06,0.0334500656,67.285,0.0244306767,60.165,0.0332164649,Sensitive Receptor,Construction,
63.3,85.9,,62.1408,0.0337913047,67.3728,0.0246494434,60.2032,0.0336924587,Sensitive Receptor,Construction,
62.5,89.6,,62.2216,0.0341321254,67.4606,0.0248681949,60.2414,0.0341721225,Sensitive Receptor,Construction,
56.7,63.9,,62.3024,0.0344724451,67.5484,0.0250868962,60.2796,0.0346554196,Sensitive Receptor,Construction,
56.6,71.3,,62.3832,0.0348121807,67.6362,0.025305512,60.3178,0.0351423115,Sensitive Receptor,Construction,
57.9,83.6,,62.464,0.0351512484,67.724,0.0255240067,60.356,0.0356327584,Sensitive Receptor,Construction,
66.3,84.9,,62.5448,0.0354895639,67.8118,0.0257423445,60.3942,0.0361267187,Sensitive Receptor,Construction,
56.6,63.8,,62.6256,0.0358270423,67.8996,0.025960489,60.4324,0.0366241496,Sensitive Receptor,Construction,
