"quadx_usd, x; gemini, x; cexio, x","quadx_usd, y","gemini, y","cexio, y","quadx_fx, x; gemini_quadx, x; gemini_cexio, x; quadx_fx_reverse, x; bitfinex_cexio, x; bitfinex_quadx, x; quadx_cexio, x; quadx_bitfinex, x; exmo_quadx, x; exmo_cexio, x; quadx_cad_bitfinex, x; quadx_cad_gemini, x; cexio_bitfinex, x; cexio_exmo, x; cexio_gemini, x","quadx_fx, y","gemini_quadx, y","gemini_cexio, y","quadx_fx_reverse, y","bitfinex_cexio, y","bitfinex_quadx, y","quadx_cexio, y","quadx_bitfinex, y","exmo_quadx, y","exmo_cexio, y","quadx_cad_bitfinex, y","quadx_cad_gemini, y","cexio_bitfinex, y","cexio_exmo, y","cexio_gemini, y"
15e2b1,33ffd1,13a12a,14eb39,0b049b,13a1c0,1b35f5,626477,c6bfbe,2052f2,bdd1a3,47b981,d1be41,a15350,740052,cadbf8,64e4ba,6a36d9,7f064d,7d5281
2017-09-17 18:00:56,3795.0,3804.45,3919.8993,2017-09-26 05:28:00.445533,-290.73,-7.94,-22.95,,,,,,,,,,,,
2017-09-17 18:10:02,3795.0,3822.78,3930.0,2017-09-26 05:30:06.051802,-293.06,9.21,-11.89,,,,,,,,,,,,
2017-09-17 18:20:02,3795.0,3816.49,3915.5001,2017-09-26 05:40:06.787983,-293.31,11.43,-9.67,,,,,,,,,,,,
2017-09-17 18:30:02,3795.0,3780.61,3890.1988,2017-09-26 05:50:10.938476,-297.47,-0.84,-20.31,,,,,,,,,,,,
2017-09-17 18:40:01,3795.0,3765.69,3875.5605,2017-09-26 06:00:18.695120,-297.81,11.6,-16.99,,,,,,,,,,,,
2017-09-17 18:50:02,3795.0,3748.57,3882.1423,2017-09-26 06:10:07.168806,-297.5,5.25,-21.37,,,,,,,,,,,,
2017-09-17 19:00:02,3795.0,3765.78,3893.35,2017-09-26 06:20:06.921291,-203.46,-5.51,-30.52,,,,,,,,,,,,
2017-09-17 19:10:02,3795.0,3761.75,3893.6901,2017-09-26 06:30:06.659912,-221.72,-6.0,-29.6,,,,,,,,,,,,
2017-09-17 19:20:03,3795.0,3782.05,3900.94,2017-09-26 06:40:21.985769,-221.72,-6.0,-27.93,,,,,,,,,,,,
2017-09-17 19:30:01,3795.0,3769.74,3901.8503,2017-09-26 06:50:08.471329,-223.19,-16.12,-22.57,,,,,,,,,,,,
2017-09-17 19:40:02,3900.0,3778.07,3910.1001,2017-09-26 07:00:06.544546,-213.79,-16.25,-17.29,,,,,,,,,,,,
2017-09-17 19:50:03,3900.0,3770.34,3903.2001,2017-09-26 07:10:09.799186,-219.07,-17.33,-6.36,,,,,,,,,,,,
2017-09-17 20:00:02,3899.99,3766.82,3899.0,2017-09-26 07:20:07.352363,-216.37,-16.98,-8.61,,,,,,,,,,,,
2017-09-17 20:10:02,3899.99,3790.19,3905.6599,2017-09-26 07:30:06.150082,-208.95,-21.84,-5.4,,,,,,,,,,,,
2017-09-17 20:20:05,3899.99,3790.84,3917.1201,2017-09-26 07:40:24.728448,-204.09,-24.06,-5.99,,,,,,,,,,,,
2017-09-17 20:30:02,3899.99,3790.01,3899.9966,2017-09-26 07:50:12.315951,-177.76,-51.49,-14.78,,,,,,,,,,,,
2017-09-17 20:40:02,3899.99,3791.29,3906.1,2017-09-26 08:00:06.251439,-177.71,-50.77,-29.09,,,,,,,,,,,,
2017-09-17 20:50:02,3899.99,3790.59,3907.8322,2017-09-26 08:10:06.080703,-189.79,-46.08,-44.2,,,,,,,,,,,,
2017-09-17 21:00:02,3899.99,3760.57,3886.1473,2017-09-26 08:20:07.131384,-200.9,-40.3,-38.93,,,,,,,,,,,,
2017-09-17 21:10:02,3899.99,3745.02,3886.12,2017-09-26 08:30:11.237913,-193.15,-40.05,-41.42,,,,,,,,,,,,
2017-09-17 21:20:02,3899.99,3761.01,3898.369,2017-09-26 08:40:06.340528,-195.39,-40.05,-33.05,,,,,,,,,,,,
2017-09-17 21:30:02,3899.99,3755.03,3890.1412,2017-09-26 08:50:06.369930,-203.02,-47.05,-29.56,,,,,,,,,,,,
2017-09-17 21:40:02,3899.99,3747.93,3888.4989,2017-09-26 09:00:06.972737,-198.94,-53.28,-31.52,,,,,,,,,,,,
2017-09-17 21:50:01,3899.99,3740.72,3869.9912,2017-09-26 09:10:07.490707,-197.76,-42.92,-35.69,,,,,,,,,,,,
2017-09-17 22:00:02,3899.99,3745.86,3869.9999,2017-09-26 09:20:06.524061,-200.22,-20.84,-27.82,,,,,,,,,,,,
2017-09-17 22:10:02,3899.99,3762.42,3884.0,2017-09-26 09:30:10.810736,-206.06,-40.01,-37.64,,,,,,,,,,,,
2017-09-17 22:20:01,3899.99,3766.19,3880.0,2017-09-26 09:40:08.843773,-203.67,-35.01,-28.62,,,,,,,,,,,,
