"BITSTAMP, x; COINBASE, x; ITBIT, x; KRAKEN, x; avg_btc_price_usd, x","BITSTAMP, y","COINBASE, y","ITBIT, y","KRAKEN, y","avg_btc_price_usd, y"
4a7acf,c95223,05e88e,1e453f,48994e,a15efd
2011-09-13,5.9292306484,,,,5.9292306484
2011-09-14,5.5907975143,,,,5.5907975143
2011-09-15,5.0942719141,,,,5.0942719141
2011-09-16,4.8545150471,,,,4.8545150471
2011-09-17,4.87,,,,4.87
2011-09-18,4.8395755941,,,,4.8395755941
2011-09-19,4.9,,,,4.9
2011-09-20,5.3880536932,,,,5.3880536932
2011-09-21,5.706074879,,,,5.706074879
2011-09-22,5.6969604559,,,,5.6969604559
2011-09-23,5.7070988747,,,,5.7070988747
2011-09-24,5.7224940188,,,,5.7224940188
2011-09-25,6.05,,,,6.05
2011-09-26,5.983073481,,,,5.983073481
2011-09-27,4.8954016712,,,,4.8954016712
2011-09-28,4.8624977027,,,,4.8624977027
2011-09-29,4.8163448136,,,,4.8163448136
2011-09-30,0.0,,,,0.0
2011-10-01,0.0,,,,0.0
2011-10-02,0.0,,,,0.0
2011-10-03,4.847771909,,,,4.847771909
2011-10-04,4.9247368135,,,,4.9247368135
2011-10-05,5.0294187478,,,,5.0294187478
2011-10-06,4.9088461066,,,,4.9088461066
2011-10-07,4.6876289095,,,,4.6876289095
2011-10-08,4.4555357143,,,,4.4555357143
2011-10-09,3.89,,,,3.89
2011-10-10,4.4983018984,,,,4.4983018984
2011-10-11,3.9989645236,,,,3.9989645236
2011-10-12,3.9439641118,,,,3.9439641118
2011-10-13,3.9529227932,,,,3.9529227932
2011-10-14,4.05,,,,4.05
2011-10-15,0.0,,,,0.0
2011-10-16,0.0,,,,0.0
2011-10-17,3.92,,,,3.92
2011-10-18,0.0,,,,0.0
2011-10-19,0.0,,,,0.0
2011-10-20,2.2475502148,,,,2.2475502148
2011-10-21,2.2403599062,,,,2.2403599062
2011-10-22,0.0,,,,0.0
2011-10-23,0.0,,,,0.0
2011-10-24,2.9298806941,,,,2.9298806941
2011-10-25,2.6914691075,,,,2.6914691075
2011-10-26,2.6834156401,,,,2.6834156401
2011-10-27,0.0,,,,0.0
2011-10-28,3.7623545352,,,,3.7623545352
2011-10-29,3.8712683526,,,,3.8712683526
2011-10-30,3.6705732669,,,,3.6705732669
2011-10-31,3.2886050567,,,,3.2886050567
2011-11-01,3.3224608758,,,,3.3224608758
2011-11-02,0.0,,,,0.0
2011-11-03,0.0,,,,0.0
2011-11-04,3.327357776,,,,3.327357776
2011-11-05,3.131411817,,,,3.131411817
2011-11-06,2.95,,,,2.95
2011-11-07,0.0,,,,0.0
2011-11-08,3.08,,,,3.08
2011-11-09,3.1994189408,,,,3.1994189408
2011-11-10,3.1893896602,,,,3.1893896602
2011-11-11,3.3,,,,3.3
2011-11-12,3.35,,,,3.35
2011-11-13,3.35,,,,3.35
2011-11-14,2.7583097056,,,,2.7583097056
2011-11-15,2.6346829211,,,,2.6346829211
2011-11-16,2.9808071217,,,,2.9808071217
2011-11-17,2.7826087879,,,,2.7826087879
2011-11-18,2.5360696517,,,,2.5360696517
2011-11-19,2.4461278034,,,,2.4461278034
2011-11-20,2.37,,,,2.37
2011-11-21,2.4352977383,,,,2.4352977383
2011-11-22,2.4692679433,,,,2.4692679433
2011-11-23,0.0,,,,0.0
2011-11-24,2.8708966953,,,,2.8708966953
2011-11-25,3.1530542326,,,,3.1530542326
2011-11-26,2.77,,,,2.77
2011-11-27,0.0,,,,0.0
2011-11-28,2.6992165855,,,,2.6992165855
2011-11-29,2.7738232709,,,,2.7738232709
2011-11-30,3.19,,,,3.19
2011-12-01,3.4467898372,,,,3.4467898372
2011-12-02,3.1470743624,,,,3.1470743624
2011-12-03,2.93,,,,2.93
2011-12-04,0.0,,,,0.0
2011-12-05,2.9517113939,,,,2.9517113939
2011-12-06,3.0527512161,,,,3.0527512161
2011-12-07,3.1993526729,,,,3.1993526729
2011-12-08,3.1677466838,,,,3.1677466838
2011-12-09,0.0,,,,0.0
2011-12-10,3.1185957772,,,,3.1185957772
2011-12-11,3.277610015,,,,3.277610015
2011-12-12,3.5088522874,,,,3.5088522874
2011-12-13,3.4501600058,,,,3.4501600058
2011-12-14,3.4417001627,,,,3.4417001627
2011-12-15,3.4354003273,,,,3.4354003273
2011-12-16,3.4406013936,,,,3.4406013936
2011-12-17,0.0,,,,0.0
2011-12-18,3.397928749,,,,3.397928749
2011-12-19,3.8096681176,,,,3.8096681176
2011-12-20,4.5700303458,,,,4.5700303458
2011-12-21,4.38,,,,4.38
2011-12-22,4.1838188448,,,,4.1838188448
2011-12-23,4.1862570165,,,,4.1862570165
2011-12-24,4.33,,,,4.33
2011-12-25,4.3039759647,,,,4.3039759647
2011-12-26,4.2960007856,,,,4.2960007856
2011-12-27,4.3106649296,,,,4.3106649296
2011-12-28,4.2678958757,,,,4.2678958757
2011-12-29,4.3483211206,,,,4.3483211206
2011-12-30,4.2323475307,,,,4.2323475307
2011-12-31,4.4621255323,,,,4.4621255323
2012-01-01,4.8967299324,,,,4.8967299324
2012-01-02,5.0,,,,5.0
2012-01-03,5.2796406778,,,,5.2796406778
2012-01-04,5.2975746169,,,,5.2975746169
2012-01-05,6.1996141983,,,,6.1996141983
2012-01-06,6.5757720574,,,,6.5757720574
2012-01-07,6.8,,,,6.8
2012-01-08,6.92,,,,6.92
2012-01-09,6.6255302208,,,,6.6255302208
2012-01-10,6.6335562032,,,,6.6335562032
2012-01-11,7.052193742,,,,7.052193742
2012-01-12,7.2667044125,,,,7.2667044125
2012-01-13,7.0438295775,,,,7.0438295775
2012-01-14,6.4437396056,,,,6.4437396056
2012-01-15,7.15,,,,7.15
2012-01-16,6.8580892995,,,,6.8580892995
2012-01-17,6.1281980534,,,,6.1281980534
2012-01-18,6.1517607921,,,,6.1517607921
2012-01-19,6.2510026044,,,,6.2510026044
2012-01-20,6.7539263708,,,,6.7539263708
2012-01-21,6.2920812355,,,,6.2920812355
2012-01-22,6.1695611403,,,,6.1695611403
2012-01-23,6.4104489542,,,,6.4104489542
2012-01-24,6.4442350075,,,,6.4442350075
2012-01-25,6.2373145681,,,,6.2373145681
2012-01-26,6.1473175172,,,,6.1473175172
2012-01-27,5.7389001201,,,,5.7389001201
2012-01-28,4.91,,,,4.91
2012-01-29,5.5220853758,,,,5.5220853758
2012-01-30,5.5356728232,,,,5.5356728232
2012-01-31,5.7833416592,,,,5.7833416592
2012-02-01,5.904622589,,,,5.904622589
2012-02-02,6.1428135092,,,,6.1428135092
2012-02-03,6.1120840461,,,,6.1120840461
2012-02-04,6.0304588253,,,,6.0304588253
2012-02-05,5.8592227866,,,,5.8592227866
2012-02-06,5.5468778751,,,,5.5468778751
2012-02-07,5.6656832208,,,,5.6656832208
2012-02-08,5.7116248911,,,,5.7116248911
2012-02-09,5.7762130456,,,,5.7762130456
2012-02-10,5.8793433478,,,,5.8793433478
2012-02-11,5.520054633,,,,5.520054633
2012-02-12,5.7259748284,,,,5.7259748284
2012-02-13,5.7254569334,,,,5.7254569334
2012-02-14,5.1620833482,,,,5.1620833482
2012-02-15,4.9522204301,,,,4.9522204301
2012-02-16,4.6283442126,,,,4.6283442126
2012-02-17,4.7052867477,,,,4.7052867477
2012-02-18,4.407721816,,,,4.407721816
2012-02-19,4.3288275746,,,,4.3288275746
2012-02-20,4.5575429613,,,,4.5575429613
2012-02-21,4.4501611552,,,,4.4501611552
2012-02-22,4.5327663026,,,,4.5327663026
2012-02-23,4.9187669212,,,,4.9187669212
2012-02-24,5.1479332518,,,,5.1479332518
2012-02-25,5.0124616039,,,,5.0124616039
