"DASH, x; ETC, x; ETH, x; FCT, x; GAS, x; OMG, x; STEEM, x; STORJ, x; XMR, x; XRP, x; BTC, x","DASH, y","ETC, y","ETH, y","FCT, y","GAS, y","OMG, y","STEEM, y","STORJ, y","XMR, y","XRP, y","BTC, y"
e071f3,b73d6b,0a5115,2c65cb,b1923c,58944f,207d25,2fa260,e0bbc9,affc7e,2ce9d9,80b01b
2017-10-27,281.4814142946,10.2115267684,295.8446366166,14.8706872854,18.7140342517,7.7612972087,0.97739588,0.5813710127,86.7121895739,0.2004527277,5810.223992105
2017-10-28,278.1340740193,10.2838795043,294.3457551705,15.3902719876,17.9221456152,7.3510142916,0.9591153178,0.5266858085,86.0872666858,0.1994900089,5747.33531788
2017-10-29,283.8715184107,11.0413005973,308.1180923171,15.0852028015,17.1276918581,7.4252975051,0.9990527121,0.4637428042,89.0779502406,0.1994256437,6014.0423315525
2017-10-30,284.6985510939,10.8027853077,306.8693264428,15.2937607429,18.3577395817,7.2604480284,0.9696306003,0.4235210348,88.8524486072,0.2014173014,6120.24616744
2017-10-31,280.3012666763,10.7590481866,306.6070252068,14.8145255901,17.9092466321,7.1325675776,0.9802762509,0.3994021236,88.6847133977,0.2013696975,6296.738508085
2017-11-01,274.5259475889,10.4053181882,296.4541626166,13.0539422541,16.607581656,6.4742397037,0.914317028,0.4207378042,86.053883678,0.1946804848,6550.4873767425
2017-11-02,261.2961471277,9.9280742595,283.8397445446,12.0024774483,14.3846597328,6.1862202419,0.8559190091,0.5928062674,83.4416347093,0.1882268075,6979.11781709
2017-11-03,269.9577643564,11.2614264106,298.9031930516,14.3971141066,16.6203050801,6.5386775392,0.9124967224,0.488627745,86.6552806166,0.2119707478,7251.821683555
2017-11-04,273.3249278922,11.9724159748,299.1222295176,14.1049591724,17.7073066911,6.5689310511,0.9122020783,0.5014712047,86.984204875,0.2038749105,7270.8598621625
2017-11-05,269.2445636179,13.1475653115,296.3046749706,14.0235025711,16.9465766153,6.3103448421,0.8827274708,0.4921783937,87.0231243496,0.1999754541,7461.7706749375
2017-11-06,274.0555167189,14.2044862937,298.5374544169,15.2363643998,17.2657509844,6.8755040595,0.8729454863,0.4813182905,94.5805508914,0.2029171326,7175.2875743675
2017-11-07,288.9037920252,13.8952130755,294.8787123371,16.0145509525,17.7755868267,6.275754765,0.8783513608,0.5250928636,99.4213470508,0.2027347176,7103.5289993075
2017-11-08,307.5400352308,13.925036123,308.4765333732,16.7502712627,22.478702618,7.6718153543,0.9150402844,0.5455047849,105.2967534807,0.2176970232,7424.8643655275
2017-11-09,326.14276051,14.1242375466,320.0552083424,20.6139963967,23.5774685394,8.1782748583,1.0171591508,0.5689611971,116.9665048874,0.2186754779,7231.3319406925
2017-11-10,328.4681466608,14.425449646,307.2957806318,19.2732168136,20.9975000931,7.3453935123,0.9197361017,0.5118976655,110.7997273538,0.209210944,6828.03342009
2017-11-11,337.5915138951,17.3154925657,311.4204732624,18.2327938963,20.7179029967,7.1704358573,0.8993986695,0.4791062329,117.2832410474,0.2086274005,6463.054538085
2017-11-12,419.0724712826,17.8818530153,305.2155822376,17.7259298447,18.8712684195,6.7192315466,0.8544541699,0.4233229994,119.684787829,0.1892580549,6006.2854622375
2017-11-13,447.6791463223,15.3935314834,317.5361959738,17.4914368616,20.1701543606,7.4986093155,0.8964583959,0.5026344647,127.7068707666,0.1999433441,6381.84947574
2017-11-14,424.3734480373,17.3557909852,328.9294109024,17.4685346727,20.3171786325,7.6040234281,0.9346431875,0.5731632804,121.0898906118,0.2055409229,6604.7854390125
2017-11-15,427.1066157403,17.2896502249,334.3152794891,18.7406735469,19.3048545575,7.7331464184,0.9487921523,0.7490427224,120.5031652224,0.2078635889,7055.790527715
2017-11-16,417.1869287292,16.7526211269,325.813726207,20.3381757867,19.452820177,7.403067067,0.9379226577,0.7810499344,121.0101727839,0.2454384087,7531.09569375
2017-11-17,419.4959415657,17.0362744067,329.1179683881,18.1209324845,23.7713804848,7.4081483197,0.8983263879,0.6382270201,122.7807183966,0.2249719021,7806.10347487
2017-11-18,450.760919323,17.5213714973,334.3614219229,18.400106164,28.9004360785,8.0509060117,0.907546899,0.607054525,129.1673115749,0.2241975831,7683.26192842
2017-11-19,443.0732996662,18.0528340883,359.2549806123,19.1293256722,24.4885068189,7.9784099182,0.9138697886,0.6418866111,130.3785723952,0.2305584115,7890.4316058375
2017-11-20,455.6568559961,18.5780543106,362.1907030975,19.0920741973,23.5420294164,8.0459781132,0.9165263539,0.6564640359,135.958544933,0.240852707,8139.665665045
2017-11-21,486.3057129302,17.924039757,363.4025545027,19.513601247,21.6930729773,7.7500350128,0.8984125288,0.6914734443,137.7165411343,0.233222214,8112.0770097825
2017-11-22,553.9246254144,17.8215172399,367.5711070346,21.4113111241,21.5626810665,7.7414094325,1.065814768,0.7489044285,157.0367318088,0.235901209,8191.0142020225
2017-11-23,563.9048953562,18.3072903265,400.8228737168,22.9098030405,20.80619134,7.8609764671,0.9703075271,0.7078151813,162.786146405,0.2437195723,8162.0754296625
2017-11-24,556.366962442,19.0881742968,436.9342769718,21.6975430872,20.6067507231,7.5606395567,0.9323477914,0.6827120977,157.8795134422,0.2399466371,8142.0643735725
2017-11-25,611.9086959747,21.5709911702,472.3017959998,22.9333981564,22.3146779348,8.3966989889,1.0456609452,0.7223779315,165.1708778217,0.2495086074,8489.57493868
2017-11-26,625.408685899,21.5332853278,459.6734886579,22.7303381808,22.1105383057,8.5313361909,1.0605747973,0.7304035865,163.1389254432,0.2501793998,9110.6846262325
2017-11-27,622.3825200992,23.543759804,473.6930350627,22.5804042258,22.1254172218,8.9261064774,1.1446424522,0.7504032925,164.0361124948,0.2473920085,9566.5896547775
2017-11-28,615.6041930888,30.0583773713,468.886236423,24.0393903122,22.0004015698,9.4202498494,1.1719173295,0.7701732588,183.5153746201,0.262882923,9827.3989895025
2017-11-29,681.57098721,28.113607156,467.703173497,22.4233394938,20.0845952616,8.7186628483,1.0837224181,0.722895879,187.2500210529,0.2600560963,10356.6744848
2017-11-30,733.3604096373,24.98199158,427.562100351,21.4764478787,18.973371323,8.0488837868,0.9850969366,0.6516281788,172.6529095924,0.2334673852,9813.6773922275
