x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
677d98,a1eb69,645c56,0c6e9f,a11f67,83b0c0,d202b7,e445a3,106e9a,5bfe66,100f16,16954b,de662a
DASH,DASH,1.0,0.3037467302,0.5150491228,0.4680409953,0.4088460728,0.4026487797,0.3594427867,0.1186482644,0.6294308131,0.0457960349,0.1289606103
ETC,ETC,0.3037467302,1.0,0.557572834,0.4669233323,0.3413823075,0.5412494861,0.3726344314,0.0511582163,0.4732155866,0.1136224258,0.1985359311
ETH,ETH,0.5150491228,0.557572834,1.0,0.5547018839,0.5061227322,0.6460993409,0.4347250877,0.1892783124,0.5282567288,0.390696195,0.3023720478
FCT,FCT,0.4680409953,0.4669233323,0.5547018839,1.0,0.5585321656,0.6332494758,0.4379675004,0.2613182871,0.5625875864,0.2637600116,0.2035100156
GAS,GAS,0.4088460728,0.3413823075,0.5061227322,0.5585321656,1.0,0.6413080641,0.356033473,0.1075625604,0.41142914,0.2269753311,0.2062106846
OMG,OMG,0.4026487797,0.5412494861,0.6460993409,0.6332494758,0.6413080641,1.0,0.3776544123,0.3449334338,0.5211247712,0.2326357021,0.3131507517
STEEM,STEEM,0.3594427867,0.3726344314,0.4347250877,0.4379675004,0.356033473,0.3776544123,1.0,0.1927282362,0.4650202111,0.1725992232,0.3516478738
STORJ,STORJ,0.1186482644,0.0511582163,0.1892783124,0.2613182871,0.1075625604,0.3449334338,0.1927282362,1.0,0.1789606527,0.1641670416,0.2066354313
XMR,XMR,0.6294308131,0.4732155866,0.5282567288,0.5625875864,0.41142914,0.5211247712,0.4650202111,0.1789606527,1.0,0.1348319393,0.369345311
XRP,XRP,0.0457960349,0.1136224258,0.390696195,0.2637600116,0.2269753311,0.2326357021,0.1725992232,0.1641670416,0.1348319393,1.0,-0.0370489928
BTC,BTC,0.1289606103,0.1985359311,0.3023720478,0.2035100156,0.2062106846,0.3131507517,0.3516478738,0.2066354313,0.369345311,-0.0370489928,1.0
