"Weight, x","Weight, y","Weigth 7 day average, x","Weigth 7 day average, y"
289bf0,bf48c0,114be8,ed3b8e
2017-08-25,91.2,2017-08-28,91.8285714286
2017-08-26,91.3,2017-08-29,91.8142857143
2017-08-27,91.8,2017-08-30,91.7285714286
2017-08-28,93.5,2017-08-31,91.7857142857
2017-08-29,92.3,2017-09-01,91.6571428571
2017-08-30,92.0,2017-09-02,91.4714285714
2017-08-31,90.7,2017-09-03,91.4285714286
2017-09-01,91.1,2017-09-04,91.2857142857
2017-09-02,90.7,2017-09-05,91.2714285714
2017-09-03,92.2,2017-09-06,91.5
2017-09-04,92.6,2017-09-07,91.6142857143
2017-09-05,91.0,2017-09-08,91.5428571429
2017-09-06,91.7,2017-09-09,91.6428571429
2017-09-07,89.7,2017-09-10,91.6142857143
2017-09-08,91.0,2017-09-11,92.0
2017-09-09,92.3,2017-09-12,92.0142857143
2017-09-10,93.0,2017-09-13,92.0285714286
2017-09-11,92.1,2017-09-14,91.8
2017-09-12,91.7,2017-09-15,91.9142857143
2017-09-13,91.5,2017-09-16,91.9428571429
2017-09-14,92.4,2017-09-17,91.9285714286
2017-09-15,91.1,2017-09-18,91.7428571429
2017-09-16,92.4,2017-09-19,91.7
2017-09-17,91.4,2017-09-20,91.4571428571
2017-09-18,92.9,2017-09-21,91.4857142857
2017-09-19,91.9,2017-09-22,91.0857142857
2017-09-20,91.4,2017-09-23,90.9142857143
2017-09-21,91.1,2017-09-24,90.8571428571
2017-09-22,90.8,2017-09-25,90.9142857143
2017-09-23,90.7,2017-09-26,90.9571428571
2017-09-24,91.6,2017-09-27,90.9857142857
2017-09-25,90.1,2017-09-28,90.8
2017-09-26,90.7,2017-09-29,91.0428571429
2017-09-27,91.0,2017-09-30,91.0
2017-09-28,91.5,2017-10-01,90.7857142857
2017-09-29,91.1,2017-10-02,90.5
2017-09-30,90.9,2017-10-03,90.2285714286
2017-10-01,90.3,2017-10-04,89.9142857143
2017-10-02,91.8,2017-10-05,89.7857142857
2017-10-03,90.4,2017-10-06,89.6571428571
2017-10-04,89.5,2017-10-07,89.5857142857
2017-10-05,89.5,2017-10-08,89.6857142857
2017-10-06,89.2,2017-10-09,89.9
2017-10-07,88.7,2017-10-10,90.1
2017-10-08,89.4,2017-10-11,90.4476190476
2017-10-09,90.9,2017-10-12,90.7714285714
2017-10-10,89.9,2017-10-13,90.9571428571
2017-10-11,90.2,2017-10-14,91.2428571429
2017-10-12,91.0,2017-10-15,91.3142857143
2017-10-13,90.6,2017-10-16,91.2714285714
2017-10-14,91.1333333333,2017-10-17,91.3428571429
2017-10-15,91.6666666667,2017-10-18,91.0952380952
2017-10-16,92.2,2017-10-19,91.0285714286
2017-10-17,91.9,2017-10-20,91.0142857143
2017-10-18,90.7,2017-10-21,90.9428571429
2017-10-19,90.7,2017-10-22,91.0857142857
2017-10-20,91.1,2017-10-23,91.2285714286
2017-10-21,89.4,2017-10-24,91.3428571429
2017-10-22,91.2,2017-10-25,91.5857142857
2017-10-23,92.1,2017-10-26,91.7428571429
2017-10-24,91.4,2017-10-27,92.0
2017-10-25,91.7,2017-10-28,92.1285714286
2017-10-26,91.7,2017-10-29,92.1142857143
2017-10-27,91.9,2017-10-30,92.1571428571
2017-10-28,91.1,2017-10-31,92.1428571429
2017-10-29,92.3,2017-11-01,92.1428571429
2017-10-30,93.9,2017-11-02,92.2857142857
2017-10-31,92.3,2017-11-03,92.0714285714
2017-11-01,91.6,2017-11-04,91.9571428571
2017-11-02,92.0,2017-11-05,91.8285714286
2017-11-03,91.8,2017-11-06,91.7
2017-11-04,91.1,2017-11-07,91.7428571429
2017-11-05,93.3,2017-11-08,91.9
2017-11-06,92.4,2017-11-09,91.7714285714
2017-11-07,91.5,2017-11-10,91.9
2017-11-08,90.7,2017-11-11,91.9428571429
2017-11-09,91.1,2017-11-12,91.8714285714
2017-11-10,92.1,2017-11-13,91.8285714286
2017-11-11,92.2,2017-11-14,91.7571428571
2017-11-12,92.4,2017-11-15,91.5285714286
2017-11-13,93.3,2017-11-16,91.5285714286
2017-11-14,91.8,2017-11-17,91.4
2017-11-15,90.2,2017-11-18,91.2285714286
2017-11-16,90.8,2017-11-19,91.2571428571
2017-11-17,91.6,2017-11-20,91.2571428571
2017-11-18,90.6,2017-11-21,91.0714285714
2017-11-19,92.4,2017-11-22,91.0571428571
2017-11-20,92.4,2017-11-23,90.9714285714
2017-11-21,90.6,2017-11-24,90.9
2017-11-22,90.4,2017-11-25,90.8857142857
2017-11-23,90.8,2017-11-26,90.8571428571
2017-11-24,90.3,2017-11-27,90.9428571429
2017-11-25,90.5,2017-11-28,90.8142857143
2017-11-26,91.8,2017-11-29,90.8285714286
2017-11-27,91.9,2017-11-30,90.5571428571
2017-11-28,90.5,2017-12-01,90.3857142857
2017-11-29,90.2,2017-12-02,90.2142857143
2017-11-30,91.4,2017-12-03,90.1714285714
2017-12-01,89.4,2017-12-04,90.0571428571
2017-12-02,90.6,2017-12-05,90.1571428571
2017-12-03,89.9,2017-12-06,89.8571428571
2017-12-04,90.7,2017-12-07,89.9428571429
2017-12-05,89.3,2017-12-08,90.0571428571
2017-12-06,89.9,2017-12-09,90.1142857143
2017-12-07,90.6,2017-12-10,90.0857142857
2017-12-08,90.1,2017-12-11,89.9857142857
2017-12-09,88.5,2017-12-12,90.1857142857
