"Baring Global Umbrella Fund - Eastern Europe Fund - Class A EUR Inc, x; FTIF - Templeton Emerging Markets Fund  - A, x; FTIF - Templeton Emerging Markets Fund  - A (1), x; Man AHL Diversified Futures Ltd - B, x","Baring Global Umbrella Fund - Eastern Europe Fund - Class A EUR Inc, y","FTIF - Templeton Emerging Markets Fund  - A, y","FTIF - Templeton Emerging Markets Fund  - A (1), y","Man AHL Diversified Futures Ltd - B, y"
178c9f,23287e,8d0269,ce3342,fe3748
2017-09-01,,,,39.32
2017-09-04,73.18,8.57,40.61,
2017-09-05,,8.56,40.67,
2017-09-06,73.35,8.55,40.69,39.41
2017-09-07,73.92,8.53,40.91,40.37
2017-09-08,73.3,8.54,40.92,39.99
2017-09-11,74.04,8.62,41.15,39.84
2017-09-12,74.31,8.69,41.43,39.35
2017-09-13,74.14,8.71,41.45,38.67
2017-09-14,73.89,8.69,41.48,38.44
2017-09-15,73.81,8.7,41.57,38.23
2017-09-18,73.86,8.81,42.0,38.08
2017-09-19,73.29,8.77,41.86,38.24
2017-09-20,73.17,8.79,41.86,
2017-09-21,73.63,,,37.83
2017-09-22,73.64,8.7,41.56,37.76
2017-09-25,,8.63,41.05,37.64
2017-09-26,74.4,8.58,40.69,37.28
2017-09-27,73.91,,,36.9
2017-09-28,73.92,8.55,40.48,37.0
2017-09-29,74.03,8.62,40.83,37.02
2017-10-02,74.35,8.68,40.96,
2017-10-03,74.27,8.8,41.52,37.56
2017-10-04,74.74,8.82,41.66,37.61
2017-10-05,74.55,8.85,41.71,
2017-10-06,74.84,8.84,41.68,37.63
2017-10-09,73.66,8.81,41.53,
2017-10-10,73.96,8.84,41.9,
2017-10-11,74.54,,42.09,38.15
2017-10-12,74.65,8.91,42.36,38.19
2017-10-13,74.85,8.91,42.44,38.41
2017-10-16,75.38,8.94,42.5,38.86
2017-10-17,75.27,8.94,42.37,38.63
2017-10-18,75.09,8.94,42.36,38.72
2017-10-19,74.23,8.84,41.88,38.48
2017-10-20,74.15,8.9,42.03,38.6
2017-10-23,74.0,8.9,42.02,38.45
2017-10-24,73.55,8.89,41.93,38.57
2017-10-25,73.7,8.94,42.22,
2017-10-26,,,,38.7
2017-10-27,73.6,8.95,42.14,39.1
2017-10-30,,8.95,42.27,
2017-10-31,74.58,9.02,42.54,39.62
2017-11-01,75.18,9.11,43.0,40.12
2017-11-02,74.88,9.08,42.95,39.93
2017-11-03,74.54,9.08,42.77,40.07
2017-11-06,74.44,9.11,43.02,40.1
2017-11-07,76.2,9.15,43.12,
2017-11-08,,,,39.92
2017-11-09,75.46,9.13,43.16,39.29
2017-11-10,75.13,9.08,42.91,
2017-11-13,74.84,,42.81,38.91
2017-11-14,74.16,9.05,42.78,38.5
2017-11-15,72.53,8.99,42.59,38.2
2017-11-16,72.72,9.11,43.16,38.68
2017-11-17,73.08,9.2,43.63,38.93
2017-11-20,73.32,9.23,43.69,39.14
2017-11-21,,9.31,44.21,
2017-11-22,74.25,,,39.73
2017-11-23,74.19,9.24,44.15,
2017-11-24,74.07,9.25,44.2,40.05
2017-11-27,73.61,9.16,43.73,39.72
2017-11-28,73.28,9.19,43.89,39.86
2017-11-29,73.27,9.15,43.65,39.33
2017-11-30,72.9,8.96,42.7,39.39
2017-12-01,,8.93,42.6,39.28
2017-12-04,72.79,9.0,42.92,39.37
2017-12-05,72.81,8.95,42.69,39.08
2017-12-06,73.0,8.84,42.09,38.75
2017-12-07,72.66,8.85,42.1,39.38
2017-12-08,73.26,8.93,42.45,39.58
2017-12-11,73.49,9.01,42.84,39.86
2017-12-12,74.14,8.96,42.57,39.76
2017-12-13,73.83,8.92,42.58,39.37
2017-12-14,73.7,8.88,42.42,39.29
2017-12-15,74.06,8.87,42.27,39.66
2017-12-18,74.41,8.92,42.54,39.76
2017-12-19,74.25,8.93,42.64,39.55
2017-12-20,74.07,8.93,42.69,39.54
2017-12-21,73.96,8.95,42.8,39.75
2017-12-22,74.51,9.0,43.03,39.79
2017-12-26,,8.97,42.92,
2017-12-27,,8.98,43.08,
2017-12-28,75.14,9.06,43.5,39.75
2017-12-29,75.25,9.11,43.77,39.53
2018-01-02,75.98,9.19,44.45,
2018-01-03,76.66,9.26,44.79,40.06
2018-01-04,77.99,9.32,45.11,40.89
2018-01-05,78.56,9.35,45.3,41.12
2018-01-08,79.21,9.37,45.18,41.07
2018-01-09,,9.36,45.08,40.96
2018-01-10,78.53,9.29,44.74,40.63
2018-01-11,79.25,9.24,44.7,
