"Ozono ug/m3, x; Temperatura Media Cº, x","Ozono ug/m3, y","Temperatura Media Cº, y"
1090da,71aa28,4564f8
0,19.513875,7.2
1,20.574669,8.5
2,29.039155,12.3
3,40.470909,13.7
4,40.998379,16.8
5,46.078456,23.4
6,47.225107,24.2
7,47.03627,25.6
8,38.81828,20.4
9,22.20689,16.2
10,19.458345,8.1
11,9.356827,4.2
12,11.366606,7.2
13,19.160729,9.0
14,31.330933,11.3
15,42.875794,13.7
16,45.214922,15.6
17,48.610307,23.5
18,52.120472,24.8
19,50.54174,23.7
20,34.368898,19.7
21,22.015597,14.8
22,18.710315,9.9
23,17.64761,8.7
24,22.236065,6.1
25,22.686518,6.8
26,32.506143,12.3
27,45.967019,13.4
28,49.082497,18.7
29,51.943495,25.5
30,54.553478,25.9
31,60.478773,27.2
32,42.534726,21.8
33,26.100191,14.0
34,18.320585,10.4
35,14.376803,6.8
36,14.534478,7.6
37,18.525425,8.1
38,34.146387,9.4
39,47.872332,12.4
40,43.87444,15.1
41,50.136604,24.5
42,51.508079,25.6
43,46.711886,24.1
44,34.16058,22.3
45,25.102686,15.6
46,12.775775,9.2
47,17.919951,7.4
48,15.875146,5.8
49,28.933695,5.2
50,34.063313,10.9
51,48.014048,14.3
52,47.562347,19.2
53,50.269987,25.1
54,56.843934,26.6
55,46.223636,25.7
56,33.499309,20.6
57,20.340326,15.4
58,17.321387,8.6
59,16.402516,6.2
60,16.713971,5.6
61,19.557526,6.7
62,30.242064,11.3
63,39.287072,14.9
64,43.177187,19.7
65,54.889034,23.5
66,56.411327,27.3
67,57.154202,24.2
68,36.664386,22.0
69,24.734335,16.9
70,17.443774,11.9
71,16.399357,6.6
72,13.452008,6.5
73,24.54081,9.3
74,39.534368,10.1
75,43.582301,13.2
76,42.623092,16.4
77,44.985962,20.2
78,51.749252,24.7
79,54.954961,23.7
80,41.791398,21.2
81,25.03415,15.0
82,16.429202,9.1
83,13.078366,6.3
84,16.909609,8.0
85,22.516782,9.3
86,42.658611,10.9
87,47.82145,14.0
88,48.377974,15.5
89,58.209189,21.2
90,58.090259,25.0
91,58.869148,25.7
92,41.359064,19.8
93,28.325718,14.6
94,23.329804,7.9
95,18.944743,6.3
96,24.704293,5.2
97,27.308231,7.9
98,43.071685,12.4
99,53.353764,12.6
100,54.82486,19.3
101,61.149885,23.7
102,61.735846,26.3
103,65.686049,27.5
104,57.591462,21.5
105,29.779389,17.3
106,27.644935,11.5
107,25.600535,6.2
108,31.143794,5.4
109,40.575537,6.4
110,50.951391,9.3
111,62.623786,14.3
112,66.105097,16.2
113,59.985526,21.1
114,68.13846,27.5
115,63.678038,26.0
116,46.125156,21.3
117,32.728268,14.1
118,29.050703,8.7
119,19.639461,6.2
120,21.313364,6.4
121,29.420513,8.5
122,49.506912,10.0
123,59.988038,16.7
124,59.517483,19.1
125,65.604762,22.8
126,69.033175,25.1
127,63.131336,25.9
128,50.364286,22.7
129,33.979263,17.2
130,21.361905,11.2
131,16.431871,6.9
132,15.12212,6.7
133,34.129676,6.2
134,43.060046,11.9
135,56.354916,11.6
136,53.50463,19.2
137,57.372881,24.5
138,64.766744,26.2
139,53.705069,26.9
140,48.114286,21.2
141,26.258065,15.0
142,24.110843,9.9
143,17.704388,6.8
144,26.692671,6.5
145,35.705882,6.9
146,48.206497,9.4
147,58.866667,12.8
148,65.029954,15.0
149,74.03632,21.3
150,82.817972,27.3
151,73.947005,26.7
152,53.435714,22.4
153,29.037037,16.5
154,29.456938,9.2
155,21.60739,6.3
156,34.366589,8.0
157,41.063939,7.3
158,50.510393,11.6
159,53.591885,16.2
160,72.262673,18.1
161,76.133333,22.4
162,76.219114,24.9
163,71.631455,25.7
164,52.651551,21.9
165,34.909931,18.2
166,33.3125,11.2
167,21.771765,7.3
168,22.735023,6.2
169,47.64359,7.0
170,45.37037,11.8
171,64.716019,15.1
172,70.417051,20.3
173,82.297619,24.7
174,77.814988,29.8
175,69.262673,25.6
176,56.582126,20.7
177,32.215777,15.8
178,24.179177,12.1
179,14.510393,9.9
180,30.591224,8.4
181,43.054187,8.4
182,52.614319,9.6
183,54.083333,12.3
184,60.951049,16.3
185,66.646635,23.8
186,78.568129,28.1
187,71.230415,27.5
188,52.1,23.0
189,32.327103,17.0
190,24.236181,9.7
191,18.75,8.3
192,25.912941,6.0
193,37.164948,9.2
194,48.536866,12.2
195,68.854067,16.0
196,66.694836,20.1
197,72.213592,26.4
198,64.599078,26.8
199,65.675991,26.7
200,51.691388,21.5
201,33.525346,18.7
