"Temperatura Media Cº, x; Oxido de Nitrógeno, x","Temperatura Media Cº, y","Oxido de Nitrógeno, y"
c35d5b,b4ce8f,bba0aa
0,7.2,149.695937
1,8.5,172.279793
2,12.3,105.890226
3,13.7,95.567605
4,16.8,110.420909
5,23.4,116.20347
6,24.2,102.449261
7,25.6,97.01528
8,20.4,121.706092
9,16.2,143.802789
10,8.1,185.561857
11,4.2,270.561678
12,7.2,200.329548
13,9.0,167.446433
14,11.3,126.951554
15,13.7,117.250935
16,15.6,89.207598
17,23.5,88.934056
18,24.8,88.853579
19,23.7,79.708273
20,19.7,118.140138
21,14.8,134.265753
22,9.9,133.772066
23,8.7,135.193979
24,6.1,138.119952
25,6.8,126.915872
26,12.3,120.726084
27,13.4,86.38691
28,18.7,89.699329
29,25.5,93.721242
30,25.9,98.008156
31,27.2,84.187448
32,21.8,102.598139
33,14.0,108.448836
34,10.4,145.117485
35,6.8,186.635608
36,7.6,172.077474
37,8.1,160.166687
38,9.4,107.086067
39,12.4,86.949496
40,15.1,89.613167
41,24.5,90.529842
42,25.6,90.775529
43,24.1,78.902226
44,22.3,117.922975
45,15.6,125.946604
46,9.2,199.255644
47,7.4,155.592918
48,5.8,212.615358
49,5.2,126.143239
50,10.9,109.853786
51,14.3,85.490598
52,19.2,80.406316
53,25.1,81.235109
54,26.6,78.629492
55,25.7,82.629312
56,20.6,117.383181
57,15.4,131.221392
58,8.6,157.617675
59,6.2,167.225627
60,5.6,156.012616
61,6.7,170.20265
62,11.3,97.210345
63,14.9,83.005821
64,19.7,87.799462
65,23.5,88.08297
66,27.3,87.777278
67,24.2,70.039988
68,22.0,104.607908
69,16.9,121.526053
70,11.9,139.6199
71,6.6,164.9096
72,6.5,178.436835
73,9.3,112.779727
74,10.1,97.455576
75,13.2,92.182943
76,16.4,91.086231
77,20.2,84.105389
78,24.7,71.010088
79,23.7,60.315112
80,21.2,84.315951
81,15.0,110.823075
82,9.1,182.02724
83,6.3,174.486999
84,8.0,144.365576
85,9.3,122.013289
86,10.9,79.262053
87,14.0,76.226248
88,15.5,71.483375
89,21.2,70.645917
90,25.0,68.926169
91,25.7,63.265186
92,19.8,82.385103
93,14.6,101.978428
94,7.9,118.67543
95,6.3,148.943126
96,5.2,107.916731
97,7.9,119.725431
98,12.4,92.676214
99,12.6,74.823249
100,19.3,66.362016
101,23.7,66.16462
102,26.3,67.952177
103,27.5,66.803146
104,21.5,70.676613
105,17.3,116.286632
106,11.5,122.977202
107,6.2,99.787597
108,5.4,80.627221
109,6.4,69.216265
110,9.3,60.688944
111,14.3,51.33249
112,16.2,39.426904
113,21.1,46.567055
114,27.5,53.24116
115,26.0,45.162528
116,21.3,68.348317
117,14.1,97.509124
118,8.7,93.378365
119,6.2,108.801893
120,6.0,123.647849
121,9.2,79.500745
122,12.2,73.581427
123,16.0,44.202514
124,20.1,42.671177
125,26.4,42.86338
126,26.8,45.537212
127,26.7,37.261164
128,21.5,63.040503
129,18.7,99.897436
