"Arganzuela, x; Barajas, x; Centro, x; Chamartin, x; Chamberí, x; Moncloa-Aravaca, x; Retiro, x; Tetuan, x","Arganzuela, y","Barajas, y","Centro, y","Chamartin, y","Chamberí, y","Moncloa-Aravaca, y","Retiro, y","Tetuan, y"
9227f0,de4e98,d123f8,4d7225,daa924,deb495,4c26e1,e921bc,afdd66
2004,19.8363,17.0476,22.2661,18.6365,25.4292,14.5036,,25.1397
2005,18.8622,15.916,20.381,18.4641,23.6383,13.8965,,20.1983
2006,20.1704,16.9799,20.737,18.7007,21.9514,13.4775,,17.5677
2007,19.2618,15.8545,21.6685,17.3942,17.2159,12.7146,,17.7942
2008,14.9516,12.5405,19.9729,13.7407,14.9982,10.4381,,14.0365
2009,12.0464,11.0671,15.4743,,13.604,9.9563,15.6433,13.9469
2010,12.0901,,,11.2092,,9.0196,13.4916,13.8212
2011,12.8352,,,10.661,,10.157,14.7543,14.65
2012,12.5055,,,10.8577,,10.1034,14.0523,12.6071
2013,9.8658,,,9.6703,,8.0467,11.5829,10.8384
2014,10.7863,,,10.4637,,8.5069,11.8407,11.7452
2015,11.928,,,10.8877,,10.0111,13.494,11.7006
2016,11.2348,,,10.0425,,9.0922,11.3142,10.5813
2017,11.01,,,8.699,,9.9495,10.4503,9.2072
