x,y
36fd0a,63c52b
,0
2018-01-05 10:28:42,21.36
2018-01-05 10:53:20,23.18
2018-01-05 11:31:43,25.82
2018-01-05 11:35:42,25.94
2018-01-05 11:48:49,26.2
2018-01-05 11:52:52,26.77
2018-01-05 11:54:00,26.67
2018-01-05 11:55:08,26.54
2018-01-05 11:56:16,26.43
2018-01-05 11:57:24,26.39
2018-01-05 11:58:32,26.38
2018-01-05 11:59:40,26.42
2018-01-05 12:00:48,26.46
2018-01-05 12:01:56,26.48
2018-01-05 12:03:04,26.52
2018-01-05 12:04:12,26.58
2018-01-05 12:05:20,26.61
2018-01-05 12:06:28,26.64
2018-01-05 12:07:36,26.69
2018-01-05 12:08:44,26.75
2018-01-05 12:09:52,26.81
2018-01-05 12:11:00,26.82
2018-01-05 12:12:08,26.87
2018-01-05 12:13:16,26.93
2018-01-05 12:14:24,26.98
2018-01-05 12:15:32,27.02
2018-01-05 12:16:40,27.04
2018-01-05 12:17:48,27.09
2018-01-05 12:18:56,27.11
2018-01-05 12:20:04,27.11
2018-01-05 12:21:12,27.14
2018-01-05 12:22:20,27.17
2018-01-05 12:23:28,27.22
2018-01-05 12:24:36,27.2
2018-01-05 12:25:44,26.98
2018-01-05 12:26:52,26.69
2018-01-05 12:28:00,26.52
2018-01-05 12:29:08,26.41
2018-01-05 12:30:16,26.3
2018-01-05 12:31:24,26.16
2018-01-05 12:32:32,26.1
2018-01-05 12:33:40,26.02
2018-01-05 12:34:48,25.95
2018-01-05 12:35:56,25.87
2018-01-05 12:43:30,28.24
2018-01-05 12:53:39,28.36
2018-01-05 13:03:46,28.22
2018-01-05 13:13:54,28.31
2018-01-05 13:24:02,28.01
2018-01-05 13:34:10,27.6
2018-01-05 13:44:17,27.97
2018-01-05 13:54:26,27.88
2018-01-05 14:04:37,27.8
2018-01-05 14:14:42,27.0
2018-01-05 14:24:50,29.27
2018-01-05 14:34:58,29.92
2018-01-05 14:45:06,28.64
2018-01-05 14:55:13,29.69
2018-01-05 15:05:21,28.83
2018-01-05 15:15:29,28.4
2018-01-05 15:25:37,27.73
2018-01-05 15:35:45,26.74
2018-01-05 15:45:53,26.41
2018-01-05 15:56:01,27.41
2018-01-05 16:06:09,27.51
2018-01-05 16:16:17,27.81
2018-01-05 16:26:25,27.92
2018-01-05 16:36:32,27.62
2018-01-05 16:46:40,26.62
2018-01-05 16:56:48,26.59
2018-01-05 17:06:56,26.94
2018-01-05 17:17:04,26.76
2018-01-05 17:27:12,27.34
2018-01-05 17:37:20,27.25
2018-01-05 17:47:28,27.13
2018-01-05 17:57:36,27.27
2018-01-05 18:07:43,27.63
2018-01-05 18:17:51,27.01
2018-01-05 18:27:59,27.55
2018-01-05 18:38:07,26.62
2018-01-05 18:48:15,27.48
2018-01-05 18:58:23,27.62
2018-01-05 19:08:31,27.64
2018-01-05 19:18:39,28.14
2018-01-05 19:28:47,28.48
2018-01-05 19:38:55,29.12
2018-01-05 19:49:02,28.92
2018-01-05 19:59:10,28.79
2018-01-05 20:09:18,29.21
2018-01-05 20:19:26,29.3
2018-01-05 20:29:34,29.45
2018-01-05 20:39:42,29.48
2018-01-05 20:49:50,29.37
2018-01-05 20:59:58,29.38
2018-01-05 21:10:06,28.56
2018-01-05 21:20:14,28.99
2018-01-05 21:30:22,30.0
2018-01-05 21:40:29,30.17
2018-01-05 21:50:37,30.04
2018-01-05 22:00:45,30.13
2018-01-05 22:10:53,30.18
2018-01-05 22:21:01,30.31
2018-01-05 22:31:09,29.7
2018-01-05 22:41:17,28.65
2018-01-05 22:51:25,27.4
2018-01-05 23:01:33,26.22
2018-01-05 23:11:41,25.2
2018-01-05 23:21:48,24.36
2018-01-05 23:31:56,23.62
2018-01-05 23:42:04,22.96
2018-01-05 23:52:12,22.34
2018-01-06 00:02:20,21.89
2018-01-06 00:12:28,21.62
2018-01-06 00:22:36,21.33
2018-01-06 00:32:44,21.12
2018-01-06 00:42:52,20.85
2018-01-06 00:52:59,20.6
2018-01-06 01:03:07,20.5
2018-01-06 01:13:15,20.36
2018-01-06 01:23:23,20.41
2018-01-06 01:33:31,20.27
2018-01-06 01:43:39,20.11
2018-01-06 01:53:47,19.9
2018-01-06 02:03:54,19.73
2018-01-06 02:14:02,19.63
2018-01-06 02:24:10,19.43
2018-01-06 02:34:18,19.32
2018-01-06 02:44:26,19.14
2018-01-06 02:54:34,18.95
2018-01-06 03:04:42,18.85
2018-01-06 03:14:49,18.63
2018-01-06 03:25:00,18.54
2018-01-06 03:35:05,18.35
2018-01-06 03:45:13,18.26
2018-01-06 03:55:21,18.21
2018-01-06 04:05:29,18.05
2018-01-06 04:15:37,17.85
2018-01-06 04:25:44,17.72
2018-01-06 04:35:52,17.57
2018-01-06 04:46:00,17.38
2018-01-06 04:56:08,17.23
2018-01-06 05:06:16,17.08
2018-01-06 05:16:24,16.95
2018-01-06 05:26:31,16.83
2018-01-06 05:36:39,16.77
2018-01-06 05:46:47,16.69
2018-01-06 05:56:55,16.6
2018-01-06 06:07:03,16.45
2018-01-06 06:17:11,16.57
2018-01-06 06:27:19,16.73
2018-01-06 06:37:26,16.59
2018-01-06 06:47:34,16.36
2018-01-06 06:57:42,16.17
2018-01-06 07:07:50,16.57
2018-01-06 07:17:58,17.25
2018-01-06 07:28:06,17.01
2018-01-06 07:38:13,17.54
2018-01-06 07:48:21,17.65
2018-01-06 07:58:29,17.39
2018-01-06 08:08:37,18.03
2018-01-06 08:18:45,17.6
2018-01-06 08:28:53,17.82
2018-01-06 08:39:00,19.74
2018-01-06 08:49:08,20.81
2018-01-06 08:59:16,22.01
2018-01-06 09:09:24,24.47
2018-01-06 09:19:32,25.6
2018-01-06 09:29:40,27.06
2018-01-06 09:39:48,26.93
2018-01-06 09:49:56,26.05
2018-01-06 10:00:03,26.64
2018-01-06 10:10:11,28.12
2018-01-06 10:20:19,28.61
2018-01-06 10:30:27,26.6
2018-01-06 10:40:35,26.67
2018-01-06 10:50:43,26.37
2018-01-06 11:00:51,26.65
2018-01-06 11:10:59,26.05
2018-01-06 11:21:07,26.81
2018-01-06 11:31:15,26.13
2018-01-06 11:41:22,27.46
2018-01-06 11:51:30,28.42
2018-01-06 12:01:38,28.18
2018-01-06 12:11:46,27.69
2018-01-06 12:21:54,26.95
2018-01-06 12:32:02,27.34
