"total_calls, x; total_coSpace, x; total_Dual-Home, x; total_adHoc, x; total_active_conferences, x; total_Participants_Conference, x; cmsc1.customer.com_Calls, x; cmsc1.customer.com_coSpace, x; cmsc1.customer.com_Dual-Home, x; cmsc1.customer.com_adHoc, x; cmsc2.customer.com_Calls, x; cmsc2.customer.com_coSpace, x; cmsc2.customer.com_Dual-Home, x; cmsc2.customer.com_adHoc, x; cmsc3.customer.com_Calls, x; cmsc3.customer.com_coSpace, x; cmsc3.customer.com_Dual-Home, x; cmsc3.customer.com_adHoc, x; cmsc4.customer.com_Calls, x; cmsc4.customer.com_coSpace, x; cmsc4.customer.com_Dual-Home, x; cmsc4.customer.com_adHoc, x","total_calls, y","total_coSpace, y","total_Dual-Home, y","total_adHoc, y; cmsc1.customer.com_adHoc, y; cmsc2.customer.com_adHoc, y; cmsc3.customer.com_adHoc, y; cmsc4.customer.com_adHoc, y","total_active_conferences, y","total_Participants_Conference, y","cmsc1.customer.com_Calls, y","cmsc1.customer.com_coSpace, y","cmsc1.customer.com_Dual-Home, y","cmsc2.customer.com_Calls, y","cmsc2.customer.com_coSpace, y","cmsc2.customer.com_Dual-Home, y","cmsc3.customer.com_Calls, y","cmsc3.customer.com_coSpace, y","cmsc3.customer.com_Dual-Home, y","cmsc4.customer.com_Calls, y","cmsc4.customer.com_coSpace, y","cmsc4.customer.com_Dual-Home, y"
e4fd76,ee5c36,48c9c0,ca3240,d38d6b,946d37,bb54d8,1c542e,039781,b20310,b5208b,84a73c,e73421,669af0,b4f6f8,85922f,41acee,d8b2b2,49c9c6
2018-01-09 22:49:01,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:49:18,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:49:43,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:50:00,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:50:20,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:50:44,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:51:04,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:51:20,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:51:39,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:51:58,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:52:17,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:52:36,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:52:59,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:53:17,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:53:36,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:53:56,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:54:22,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:54:40,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:55:05,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:55:21,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:55:37,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:55:56,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:56:16,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:56:36,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:56:56,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:57:16,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:57:37,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:57:56,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:58:16,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
2018-01-09 22:58:36,10.0,3.0,0.0,0.0,3.0,3.3333333333,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
