x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48]
70902a,83c547,f93b20,03eb9a,90916d,ec2e56,9680fa,fd5150,73f0e8,45df27,a994e8,571257,fb88ae,ba8b15,c4b312,1a7be5,ef5ab9,cf7234,cc5e00,df77f5,60ebda,1614e5,2c8961,dd9393,cf6e86,94c55e,b6d098,41393d,dadf97,1b2051,bac2a8,32f5c9,bb49ea,d36757,57a3f0,7fc3ec,298e32,e65d04,80a440,a08932,9fc4eb,17393a,2fa6a3,afd0f4,805aab,4027a3,8d45dd,1d2748,dc984b,8303ab,8d0800
-3,-3,6.67128e-05,0.0001264961,0.0002307512,0.0004044623,0.0006801032,0.0010946591,0.0016813428,0.0024534088,0.0033779721,0.0043395488,0.0050964557,0.0052380697,0.0041562701,0.0010483279,-0.0050313531,-0.0150591169,-0.0298708014,-0.0499507252,-0.0752194436,-0.104872477,-0.1373238008,-0.1702932844,-0.2010473548,-0.2267636147,-0.2449540406,-0.2538596116,-0.2527300936,-0.24192747,-0.2228334469,-0.1975880569,-0.168723804,-0.1387777818,-0.1099593833,-0.0839276626,-0.0616993341,-0.0436764212,-0.0297599977,-0.0195071324,-0.0122911596,-0.007436624,-0.0043144326,-0.0023954397,-0.0012692955,-0.000639314,-0.0003042196,-0.0001354174,-5.53993e-05,-2.00869e-05,-5.8642e-06
-2.875,-2.875,0.0001038077,0.000196621,0.0003580881,0.0006262214,0.0010496895,0.001682333,0.0025689332,0.003718084,0.0050589016,0.0063813203,0.0072653623,0.0070127111,0.0046025571,-0.0013000183,-0.0122548558,-0.0298583538,-0.0554587183,-0.0898074926,-0.1327114037,-0.182770774,-0.2372929123,-0.2924443697,-0.3436562629,-0.3862331185,-0.4160561945,-0.4302366107,-0.4275755428,-0.408730173,-0.3760538426,-0.3331561604,-0.2842907634,-0.2337080345,-0.1851018174,-0.1412398039,-0.1038121541,-0.0734796863,-0.050065455,-0.0328180608,-0.0206801304,-0.0125141761,-0.0072617372,-0.0040328985,-0.0021376511,-0.0010771143,-0.0005128012,-0.0002284075,-9.35227e-05,-3.39563e-05,-9.9418e-06
-2.75,-2.75,0.0001561072,0.000295584,0.0005378531,0.0009391748,0.0015706379,0.002508784,0.0038123615,0.005478769,0.0073752004,0.009144321,0.0100932388,0.0090870766,0.0044820326,-0.0058573637,-0.0244122968,-0.053706398,-0.0958502884,-0.1519865366,-0.2217373849,-0.302792677,-0.3907785333,-0.4795079403,-0.5616349899,-0.6296327689,-0.6769200314,-0.6989051234,-0.6937189776,-0.6624755156,-0.6090095673,-0.5391662469,-0.4598149196,-0.3778082454,-0.2990934206,-0.2281194614,-0.1675958152,-0.1185720511,-0.0807480817,-0.0528995002,-0.0333108436,-0.0201398349,-0.0116738353,-0.0064738909,-0.003424926,-0.0017211941,-0.0008163528,-0.0003615458,-0.0001466581,-5.23166e-05,-1.46553e-05
-2.625,-2.625,0.000226631,0.0004294356,0.0007815848,0.0013642697,0.002279109,0.0036332207,0.0055031707,0.0078680835,0.0105044435,0.0128424623,0.0137975069,0.0116091902,0.0037414254,-0.0130882877,-0.0426824079,-0.0888961032,-0.15493723,-0.242514316,-0.3509896662,-0.4767486473,-0.6130011686,-0.7501710186,-0.8769066856,-0.9815906689,-1.0540779742,-1.0873067836,-1.0784290294,-1.0292108859,-0.9456256247,-0.8367526828,-0.7132504417,-0.5857438708,-0.4634478749,-0.3532494474,-0.2593345883,-0.1833132773,-0.1247021104,-0.0815854633,-0.0512887057,-0.0309439108,-0.0178878295,-0.0098850113,-0.0052049956,-0.0025989244,-0.0012213081,-0.0005333371,-0.0002113187,-7.19777e-05,-1.77145e-05
-2.5,-2.5,0.0003170166,0.0006020401,0.001097622,0.001918251,0.0032066737,0.00511178,0.0077356451,0.0110354924,0.0146695574,0.0177865166,0.0187780707,0.0150423395,0.0028363072,-0.0226821122,-0.0671218296,-0.1361709125,-0.2345640624,-0.3648232038,-0.5260024736,-0.7127497469,-0.9150056024,-1.1185726335,-1.3066079774,-1.4618595498,-1.5692481685,-1.6182655697,-1.6046632146,-1.5310572127,-1.4063305509,-1.2439992341,-1.0599391613,-0.8699820673,-0.6878600673,-0.5238333947,-0.3841313436,-0.2711378449,-0.1841124216,-0.1201786993,-0.0753311678,-0.0452809687,-0.0260503564,-0.0143051672,-0.0074687422,-0.0036854191,-0.001702245,-0.0007234955,-0.0002732953,-8.3832e-05,-1.36712e-05
-2.375,-2.375,0.0004258698,0.0008122328,0.0014864477,0.0026064812,0.0043700337,0.0069842242,0.0105922003,0.0151363939,0.0201423924,0.0244221446,0.0257231351,0.0203898978,0.0031480033,-0.032846644,-0.0955488684,-0.1930597832,-0.3321674721,-0.5165560062,-0.7450087364,-1.0100500125,-1.2974860395,-1.5871839647,-1.8551736681,-2.0768245574,-2.2305345636,-2.3011743406,-2.2825310385,-2.178207094,-2.0007944018,-1.7695546879,-1.5071707111,-1.2362973533,-0.9766040903,-0.7427941859,-0.5437920771,-0.3830035828,-0.2593492935,-0.1686855178,-0.1052528363,-0.0628930131,-0.0359033748,-0.0195131159,-0.0100444131,-0.0048569806,-0.002175431,-0.0008783309,-0.0002998116,-6.87632e-05,8.1534e-06
-2.25,-2.25,0.0005463514,0.0010495779,0.0019335714,0.003411588,0.0057539487,0.0092500524,0.0141130314,0.0202989812,0.0272177286,0.0333313412,0.035673936,0.0293804617,0.0073728527,-0.0396010758,-0.1223750761,-0.2520797487,-0.4381698968,-0.6859766456,-0.9942230612,-1.3531107813,-1.7436168439,-2.1384815118,-2.5050232593,-2.809459929,-3.0219749031,-3.1214887237,-3.0990863818,-2.9593322378,-2.7192043115,-2.4049489816,-2.0476256977,-1.6783478767,-1.3241821207,-1.0053870864,-0.7342669047,-0.5155141364,-0.3476302761,-0.2248891089,-0.1393417469,-0.0825013826,-0.0465245536,-0.0248668878,-0.0125010468,-0.0058346274,-0.0024667184,-0.0008930079,-0.0002299959,7.327e-06,6.61904e-05
-2.125,-2.125,0.0006629198,0.0012885159,0.0023994193,0.0042767334,0.0072847971,0.0118287946,0.0182398794,0.0265500632,0.0361242112,0.0451399467,0.0499538545,0.0444631801,0.0196538602,-0.0364080046,-0.1378699586,-0.2994754026,-0.5340193536,-0.8491363643,-1.24398301,-1.706612899,-2.2129012921,-2.7276838706,-3.2083287796,-3.6103555214,-3.8941189287,-4.0311864173,-4.0090000793,-3.8327713418,-3.524212651,-3.1174723383,-2.653276202,-2.1726118071,-1.7112478776,-1.2960153068,-0.9432351249,-0.6591402258,-0.4417471856,-0.2834640032,-0.1737604491,-0.1014128447,-0.056075307,-0.0291470271,-0.0140536187,-0.0061282765,-0.0022796051,-0.0005937787,3.47257e-05,0.0001985654,0.0001891986
-2,-2,0.0007473434,0.001481003,0.0028062183,0.0050830615,0.0087932018,0.0145003983,0.0227246474,0.0336807071,0.046835386,0.0602643445,0.0698465282,0.0684231959,0.0451548639,-0.0145987101,-0.1285201455,-0.3154225249,-0.5921284298,-0.9694284732,-1.4478030677,-2.0139127562,-2.6389682752,-3.2798766574,-3.8835115836,-4.3936844449,-4.7596121032,-4.9441427883,-4.9299140089,-4.7220400157,-4.3467536795,-3.8464113174,-3.2721103753,-2.6756270457,-2.1023512846,-1.5864415758,-1.1487276644,-0.7971882213,-0.5293149889,-0.3354438444,-0.2021789555,-0.1152731965,-0.0616397937,-0.0304542096,-0.0134996952,-0.0049986217,-0.0011729304,0.0002747,0.0006376341,0.0005828645,0.00041822
-1.875,-1.875,0.00075444,0.0015483899,0.0030229854,0.0056228047,0.0099673327,0.0168266486,0.0270012676,0.0410437729,0.0587596761,0.0784513831,0.0959340516,0.103458734,0.0888124601,0.0349896721,-0.0791132617,-0.2766028484,-0.5789637107,-1.0011898685,-1.5464555478,-2.2015388633,-2.9343921637,-3.6950400966,-4.4203469133,-5.0422482604,-5.4980496226,-5.7406758773,-5.7465811553,-5.5194973968,-5.0891983562,-4.5056834049,-3.8302654035,-3.1256630699,-2.447205133,-1.8367140424,-1.3197785941,-0.9062402039,-0.5930560676,-0.368396102,-0.215876139,-0.118122152,-0.0592520142,-0.0262208626,-0.0092231681,-0.0014573362,0.0014401716,0.0020505992,0.001767735,0.0012626392,0.000807037
-1.75,-1.75,0.0006185098,0.0013742537,0.0028515481,0.0055728247,0.0103043071,0.0180645419,0.0300358647,0.0473024171,0.0703307499,0.0981309279,0.1271039331,0.149703054,0.1532011417,0.119021775,0.0231917351,-0.1615770224,-0.4619285948,-0.8982572982,-1.4782925815,-2.1912754394,-3.0044196878,-3.8631803968,-4.6961484392,-5.4242735296,-5.972889288,-6.2840686737,-6.3265242192,-6.1007421229,-5.6381925796,-4.9949419746,-4.2413438401,-3.4503007308,-2.686665371,-1.999741426,-1.4198188262,-0.9585945352,-0.6125016899,-0.3675719157,-0.2044929124,-0.1028714964,-0.0441899902,-0.0133865505,0.0007044292,0.0056762214,0.0062615238,0.0051387679,0.0036515414,0.0023607574,0.0014202397
-1.625,-1.625,0.0002519833,0.0008010196,0.0020187118,0.0044775231,0.0090747925,0.0170963207,0.0301943193,0.0501894288,0.0785869298,0.1157080239,0.1594007479,0.2034271196,0.2358176189,0.2377007082,0.1832752944,0.0415956633,-0.2194084296,-0.626776884,-1.1950508571,-1.9190347859,-2.7687847264,-3.6887447253,-4.6022309517,-5.421194439,-6.0597108007,-6.4484228993,-6.5466445243,-6.3492542413,-5.8867835426,-5.2188433989,-4.4226869292,-3.5797665108,-2.763332718,-2.0294731501,-1.4128025042,-0.9267200631,-0.5671362635,-0.3180613544,-0.1574669302,-0.0622326452,-0.0115582264,0.011246755,0.0183134352,0.0176538741,0.0140401944,0.0099739686,0.0065336882,0.0040106126,0.0023282891
-1.5,-1.5,-0.0004517937,-0.0003659361,0.0001814753,0.0017536489,0.0053229214,0.0124140924,0.0251904611,0.0463798962,0.0789012043,0.1250423505,0.1850918511,0.2554589087,0.3265409898,0.3808735635,0.3923395305,0.3273005506,0.1483144176,-0.1794413993,-0.6797510297,-1.3565671063,-2.1871305458,-3.1193821043,-4.0753648004,-4.9609256425,-5.6802760019,-6.1524161322,-6.3256294755,-6.1865448345,-5.7616133374,-5.1108365226,-4.3155682901,-3.4635716727,-2.6348662293,-1.8912473332,-1.2710224237,-0.7889933486,-0.4404918549,-0.2076348046,-0.0659500938,0.0100248752,0.0429090193,0.0505160676,0.0454351112,0.0356220222,0.025471758,0.0169650323,0.0106468516,0.0063403859,0.0035995208
-1.375,-1.375,-0.0016097941,-0.0023430363,-0.0030476315,-0.0032696942,-0.0020741685,0.0022022525,0.0121895974,0.0316027402,0.0650669145,0.1174405762,0.1924496048,0.2905728033,0.4063664745,0.5257593563,0.6241978037,0.6667252212,0.610971558,0.4134955105,0.0389882596,-0.5292761887,-1.2802996179,-2.1704181986,-3.1248859702,-4.0468348277,-4.8324373801,-5.3891564338,-5.6527969256,-5.5991546123,-5.2474225527,-4.654744367,-3.9036545138,-3.0858591644,-2.2863909404,-1.5715517016,-0.9825851221,-0.5352731794,-0.2241971737,-0.0296075436,0.0752175754,0.1177489501,0.1219825425,0.1063473795,0.0833615254,0.0604171436,0.0410787951,0.0264270242,0.0161743615,0.0094530451,0.0052897644
-1.25,-1.25,-0.0033335588,-0.0053399577,-0.0080506213,-0.011266885,-0.0142697666,-0.0154495693,-0.011873079,0.0010960192,0.02991804,0.082457083,0.1667225392,0.2885804368,0.4485091277,0.637891042,0.8358091369,1.007677599,1.1070618703,1.0815564702,0.8825638272,0.4774553111,-0.1386787334,-0.9351423986,-1.844685802,-2.7710557274,-3.6042966015,-4.2406638629,-4.6023879415,-4.6523049304,-4.3996988726,-3.8961584865,-3.2230029245,-2.4739604498,-1.7376489009,-1.0838623769,-0.5560692247,-0.1705311435,0.0792600426,0.2151101221,0.2660253086,0.2613612,0.2262238178,0.1792806713,0.1325390325,0.0923739634,0.0610945403,0.0385128826,0.0232113111,0.0134049297,0.0074309322
-1.125,-1.125,-0.0057071614,-0.0095188554,-0.0151309786,-0.0227890156,-0.0322347524,-0.0422007754,-0.0497492359,-0.0495674644,-0.0334573323,0.0096189683,0.0925074214,0.2274869751,0.4224696173,0.676189274,0.973417716,1.2817980544,1.5520878214,1.7231994937,1.7323232525,1.5287965519,1.0887231923,0.426287769,-0.4021687431,-1.3037309649,-2.1639650533,-2.8683745558,-3.3250208745,-3.4824719908,-3.3384870832,-2.9375312227,-2.3584062989,-1.6958902092,-1.0414826613,-0.4679179823,-0.020379978,0.2849123721,0.4560856389,0.5174852877,0.5007739083,0.4374019949,0.3536159035,0.2681892964,0.1923665502,0.1311875724,0.0853729314,0.0531572616,0.0317309386,0.018186424,0.0100203361
-1,-1,-0.0087618925,-0.0149468705,-0.024427216,-0.0381112598,-0.0564961666,-0.0790254163,-0.1031771202,-0.1233845582,-0.130052953,-0.1091192427,-0.0427320505,0.0883953749,0.3006848924,0.6017437424,0.9838498444,1.4187286707,1.8558917154,2.2265172668,2.4536879544,2.4679077416,2.224729519,1.7198104083,0.996517565,0.1426935588,-0.7239061728,-1.4785533739,-2.0151487101,-2.2677283711,-2.222245918,-1.915922758,-1.4251339499,-0.8459334781,-0.2729165488,0.2181948877,0.5807177254,0.7989659563,0.8833775061,0.8616116129,0.7687127865,0.6388016991,0.4996362853,0.370259545,0.2611419966,0.1758571424,0.1133421111,0.070042741,0.0415621359,0.0237079766,0.013012486
-0.875,-0.875,-0.0124529127,-0.0215518096,-0.0358311528,-0.0570865067,-0.0868825699,-0.1257818019,-0.1721747179,-0.2207934657,-0.2611933542,-0.276732523,-0.2447836075,-0.138945004,0.0662510039,0.3882827844,0.8283419545,1.3639098084,1.9449752419,2.4965131331,2.9286274526,3.153595392,3.106502129,2.7641456158,2.1563443334,1.3652171084,0.5112146355,-0.2713007377,-0.8627168548,-1.1833465579,-1.208382512,-0.9690727399,-0.5407484998,-0.0220472642,0.4883157121,0.9110515372,1.1979145692,1.3341690772,1.3333384621,1.2273553338,1.0556187852,0.8557693605,0.6577233669,0.4812142553,0.336155848,0.2247158681,0.1440070541,0.088593239,0.0523815933,0.029793772,0.0163147723
-0.75,-0.75,-0.0166443687,-0.02909338,-0.0489338488,-0.0790465419,-0.1223483987,-0.1809088875,-0.2545293184,-0.3388390284,-0.4232059385,-0.489070034,-0.5095910844,-0.451602251,-0.280607943,0.0311505951,0.4946628181,1.0945060038,1.7828526782,2.480398158,3.0862294796,3.4962190557,3.6265197304,3.4362174584,2.9422823975,2.221333396,1.3962473744,0.6102506711,-0.0047940426,-0.357184505,-0.4134028409,-0.2009479849,0.2037118579,0.6974493629,1.1759948045,1.5556522348,1.7863914601,1.8547503125,1.7780619055,1.5934799907,1.3457585565,1.0769762614,0.8199606171,0.5956908083,0.4138899855,0.2755299953,0.1759958324,0.1079939709,0.0637215051,0.036184192,0.0197879387
-0.625,-0.625,-0.0211089125,-0.037161352,-0.0630203778,-0.1027891412,-0.1609449014,-0.24136523,-0.3456764873,-0.4709446,-0.6070102886,-0.7341467418,-0.8220811204,-0.8315927338,-0.7196720818,-0.4484515491,0.0031649886,0.6277411781,1.3811399967,2.1818471265,2.9204170447,3.4789840621,3.7573323467,3.6990013952,3.3096230669,2.6609925353,1.878183621,1.1121941809,0.5053275679,0.1589964492,0.1128928499,0.3407640349,0.7627676647,1.2694877853,1.7498381491,2.1150120711,2.3130037704,2.3318511427,2.1932190257,1.9401732885,1.6235700472,1.290642549,0.9777585764,0.7076568875,0.4902638817,0.3256404214,0.207638727,0.1272343812,0.0749921986,0.0425474014,0.0232518414
