x,y,color,size,symbol
1c494f,88971a,39e14b,df2bff,eb36d9
146.7108011676,-91.7656085575,"rgb(49.4105,197.8205,159.4005)",759,circle
-180.7077488803,-85.5096366534,"rgb(220.1755,188.853,40.7065)",1049,
68.9738656294,-64.759895554,"rgb(249.1095,250.8945,20.5275)",1337,
25.5012191887,-235.5427329596,"rgb(71.485,70.9495,235.1355)",1439,
-104.6150637044,115.0704234252,"rgb(49.4105,197.8205,159.4005)",821,
-34.6873617845,26.0152431565,"rgb(7.565,180.5825,208.165)",208,
27.4099573231,-60.3942655336,"rgb(61.761,38.352,168.3765)",224,
286.2717551781,109.6238832076,"rgb(39.27,150.501,235.059)",387,
221.5549623908,-136.9213135083,"rgb(71.485,70.9495,235.1355)",1262,
-107.9909552125,-8.1793956868,"rgb(220.1755,188.853,40.7065)",382,
242.7938773065,-19.3157633286,"rgb(39.27,150.501,235.059)",1222,
58.0323379957,25.5365391332,"rgb(49.4105,197.8205,159.4005)",366,
-5.0443898552,25.028687731,"rgb(71.485,70.9495,235.1355)",1394,
57.1794323061,-69.190393386,"rgb(128.622,203.8215,88.74)",525,
-16.397284664,-2.4041036957,"rgb(62.2285,111.1375,254.7025)",295,
-9.9315478573,-13.1903215367,"rgb(128.622,203.8215,88.74)",377,
119.1758086228,50.2165830023,"rgb(128.622,203.8215,88.74)",925,
112.722759184,87.4612535232,"rgb(220.1755,188.853,40.7065)",710,
113.3753930744,88.7418638092,"rgb(7.565,180.5825,208.165)",528,
53.7197706886,-69.0922257591,"rgb(61.761,38.352,168.3765)",1247,
-96.5989538148,6.1887272904,"rgb(62.2285,111.1375,254.7025)",878,
57.3790921063,-97.1293634892,"rgb(249.1095,250.8945,20.5275)",825,
130.4188231332,-89.0800593189,"rgb(71.485,70.9495,235.1355)",1376,
39.1115016249,-0.5479462483,"rgb(252.246,207.4595,48.076)",429,
82.7754407934,122.6104246628,"rgb(49.4105,197.8205,159.4005)",1136,
58.1508106707,-61.5732731003,"rgb(249.1095,250.8945,20.5275)",1131,
-24.2752739829,29.7103050208,"rgb(61.761,38.352,168.3765)",571,
23.5097173677,-18.0467521817,"rgb(7.565,180.5825,208.165)",852,
-62.9826243007,89.3884911052,"rgb(71.485,70.9495,235.1355)",114,
71.0716505406,-87.1251436042,"rgb(249.1095,250.8945,20.5275)",81,
