"Nedstrøms Svorkmo, x; Elvadalen, x; Syrstad, x; Nedstrøms Brattset, x; Oppstrøms Brattset, x","Nedstrøms Svorkmo, y","Elvadalen, y","Syrstad, y","Nedstrøms Brattset, y","Oppstrøms Brattset, y"
4d6544,180ebe,aac24f,4a80a0,3fea7e,7546da
2018-01-10 21:00:00,51.58,4.75,48.28,28.77,2.63
2018-01-10 22:00:00,51.6,4.7,48.42,29.51,2.63
2018-01-10 23:00:00,51.86,4.75,48.58,28.35,2.63
2018-01-11,51.4,4.78,48.44,28.52,2.63
2018-01-11 01:00:00,51.26,4.85,48.29,27.65,2.63
2018-01-11 02:00:00,51.7,4.84,48.28,27.44,2.63
2018-01-11 03:00:00,51.16,4.66,48.13,28.29,2.63
2018-01-11 04:00:00,51.34,4.61,48.27,28.05,2.63
2018-01-11 05:00:00,51.42,4.58,48.28,28.51,2.63
2018-01-11 06:00:00,51.3,4.56,48.13,28.2,2.63
2018-01-11 07:00:00,51.08,4.58,47.85,27.96,2.63
2018-01-11 08:00:00,50.86,4.58,47.68,29.6,2.63
2018-01-11 09:00:00,50.27,4.57,47.09,29.34,2.63
2018-01-11 10:00:00,50.2,4.57,47.06,29.04,2.63
2018-01-11 11:00:00,50.38,4.58,47.21,29.15,2.63
2018-01-11 12:00:00,51.18,4.54,47.94,29.41,2.63
2018-01-11 13:00:00,50.94,4.57,47.97,29.23,2.63
2018-01-11 14:00:00,50.55,4.5,47.83,28.41,2.63
2018-01-11 15:00:00,51.02,4.46,47.97,28.17,2.63
2018-01-11 16:00:00,51.43,4.46,48.55,27.87,2.63
2018-01-11 17:00:00,51.3,4.42,48.87,27.1,2.63
2018-01-11 18:00:00,51.06,4.42,48.75,27.7,2.63
2018-01-11 19:00:00,51.32,4.42,48.74,28.09,2.63
2018-01-11 20:00:00,51.38,4.44,48.74,27.99,2.63
2018-01-11 21:00:00,50.76,4.46,48.59,27.78,2.63
2018-01-11 22:00:00,50.58,4.46,48.0,26.29,2.63
2018-01-11 23:00:00,50.09,4.46,47.68,24.07,2.63
2018-01-12,50.08,4.4,47.52,24.21,2.63
2018-01-12 01:00:00,48.04,4.38,45.0,26.59,2.63
2018-01-12 02:00:00,46.66,4.38,43.44,23.09,2.63
2018-01-12 03:00:00,46.86,4.38,43.34,23.76,2.63
2018-01-12 04:00:00,46.86,4.38,43.34,23.54,2.63
2018-01-12 05:00:00,46.61,4.4,42.92,23.27,2.63
2018-01-12 06:00:00,45.08,4.42,41.52,26.04,2.63
2018-01-12 07:00:00,44.06,4.42,41.52,27.4,2.63
2018-01-12 08:00:00,42.97,4.42,41.52,28.72,2.63
2018-01-12 09:00:00,44.89,4.42,41.52,28.0,2.63
2018-01-12 10:00:00,47.06,4.43,42.83,28.35,2.63
2018-01-12 11:00:00,45.97,4.39,42.62,29.63,2.63
2018-01-12 12:00:00,46.47,4.42,42.75,28.83,2.63
2018-01-12 13:00:00,46.02,4.42,42.76,29.47,2.63
2018-01-12 14:00:00,47.39,4.42,43.87,28.99,2.63
2018-01-12 15:00:00,49.79,4.4,46.05,28.55,2.63
2018-01-12 16:00:00,50.73,4.39,47.88,28.0,2.63
2018-01-12 17:00:00,50.61,4.38,48.26,28.09,2.63
2018-01-12 18:00:00,50.87,4.38,48.57,27.43,2.63
2018-01-12 19:00:00,50.54,4.38,48.58,27.61,2.52
