"RC_LOSSER_1, x; RC_LOSSER_2, x; RC_LOSSER_3, x; RC_LOSSER_4, x","RC_LOSSER_1, y","RC_LOSSER_2, y","RC_LOSSER_3, y","RC_LOSSER_4, y"
e92546,0ab56a,d9491e,480215,070157
2016-07-18,-60.0,-40.0,-30.0,-10.0
2016-07-19,-30.0,0.0,0.0,-30.0
2016-07-20,-60.0,-10.0,-120.0,0.0
2016-07-21,-80.0,-10.0,0.0,-50.0
2016-07-22,-80.0,0.0,-100.0,-40.0
2016-07-23,0.0,0.0,0.0,0.0
2016-07-24,0.0,0.0,0.0,0.0
2016-07-25,-40.0,0.0,-10.0,-50.0
2016-07-26,-70.0,-10.0,-40.0,-30.0
2016-07-27,-10.0,-10.0,0.0,30.0
2016-07-28,-100.0,0.0,-10.0,-40.0
2016-07-29,-60.0,0.0,-70.0,-40.0
2016-07-30,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0
2016-08-01,-50.0,-50.0,-90.0,0.0
2016-08-02,-20.0,-10.0,10.0,-20.0
2016-08-03,-20.0,-20.0,0.0,-10.0
2016-08-04,-90.0,-30.0,0.0,-40.0
2016-08-05,-80.0,-40.0,20.0,-30.0
2016-08-06,0.0,0.0,0.0,0.0
2016-08-07,0.0,0.0,0.0,0.0
2016-08-08,-130.0,-20.0,0.0,0.0
2016-08-09,-110.0,-10.0,0.0,-10.0
2016-08-10,-40.0,0.0,-20.0,-30.0
2016-08-11,-110.0,-110.0,0.0,-10.0
2016-08-12,-40.0,0.0,-10.0,-20.0
2016-08-13,-10.0,0.0,0.0,-10.0
2016-08-14,0.0,0.0,0.0,0.0
2016-08-15,-70.0,-120.0,-10.0,-90.0
2016-08-16,-30.0,0.0,0.0,-40.0
2016-08-17,-230.0,-50.0,0.0,-10.0
2016-08-18,-60.0,-30.0,0.0,-30.0
2016-08-19,-50.0,-30.0,-10.0,0.0
2016-08-20,0.0,0.0,0.0,0.0
2016-08-21,0.0,0.0,0.0,0.0
2016-08-22,-20.0,-30.0,-60.0,0.0
2016-08-23,-20.0,-50.0,-20.0,-20.0
2016-08-24,-10.0,-20.0,-20.0,-10.0
2016-08-25,-20.0,-30.0,20.0,-10.0
2016-08-26,0.0,-30.0,-50.0,-30.0
2016-08-27,0.0,0.0,0.0,0.0
2016-08-28,0.0,0.0,0.0,0.0
2016-08-29,-20.0,-10.0,-100.0,-30.0
2016-08-30,-10.0,-50.0,-50.0,-40.0
2016-08-31,-30.0,-10.0,-80.0,-20.0
2016-09-01,-10.0,-10.0,-110.0,-10.0
2016-09-02,-30.0,-30.0,-130.0,20.0
2016-09-03,0.0,0.0,0.0,0.0
2016-09-04,0.0,0.0,0.0,0.0
2016-09-05,-40.0,-30.0,-40.0,-20.0
2016-09-06,0.0,-20.0,-10.0,-10.0
2016-09-07,-10.0,0.0,10.0,-10.0
2016-09-08,-40.0,-10.0,-10.0,-20.0
2016-09-09,-10.0,-10.0,-20.0,-40.0
2016-09-10,0.0,0.0,0.0,0.0
2016-09-11,0.0,0.0,0.0,0.0
2016-09-12,-70.0,0.0,-10.0,-20.0
2016-09-13,-20.0,0.0,-40.0,-20.0
2016-09-14,0.0,-70.0,-40.0,-40.0
2016-09-15,-60.0,-40.0,-40.0,0.0
2016-09-16,20.0,-60.0,-30.0,-10.0
2016-09-17,0.0,0.0,0.0,0.0
2016-09-18,0.0,0.0,0.0,0.0
2016-09-19,-40.0,-50.0,-20.0,-90.0
2016-09-20,0.0,-40.0,0.0,-10.0
2016-09-21,20.0,10.0,-40.0,0.0
2016-09-22,-10.0,-40.0,0.0,-60.0
2016-09-23,-20.0,-110.0,-60.0,-110.0
2016-09-24,0.0,0.0,0.0,0.0
2016-09-25,0.0,0.0,0.0,0.0
2016-09-26,-30.0,-30.0,-60.0,-300.0
2016-09-27,-40.0,-160.0,0.0,-40.0
2016-09-28,-10.0,-30.0,10.0,-10.0
2016-09-29,-30.0,-70.0,10.0,0.0
2016-09-30,-30.0,-50.0,-10.0,-10.0
2016-10-01,0.0,0.0,0.0,0.0
2016-10-02,0.0,0.0,0.0,0.0
2016-10-03,-10.0,-60.0,0.0,-40.0
2016-10-04,-10.0,0.0,0.0,-20.0
2016-10-05,-120.0,-30.0,-50.0,-20.0
2016-10-06,-310.0,-220.0,-20.0,0.0
2016-10-07,-270.0,-80.0,-20.0,-20.0
2016-10-08,0.0,0.0,0.0,0.0
2016-10-09,0.0,0.0,0.0,0.0
2016-10-10,-400.0,-70.0,-30.0,-20.0
2016-10-11,-160.0,-20.0,-60.0,-20.0
2016-10-12,-20.0,-70.0,-30.0,-10.0
2016-10-13,-10.0,-200.0,-20.0,-70.0
2016-10-14,-200.0,-60.0,-20.0,-70.0
2016-10-15,0.0,0.0,0.0,0.0
2016-10-16,0.0,0.0,0.0,0.0
2016-10-17,0.0,-10.0,-30.0,-10.0
2016-10-18,-20.0,-10.0,-10.0,-30.0
2016-10-19,-20.0,-10.0,-10.0,-10.0
2016-10-20,0.0,-60.0,-40.0,-60.0
2016-10-21,-20.0,-40.0,-10.0,-20.0
2016-10-22,0.0,0.0,0.0,0.0
2016-10-23,0.0,0.0,0.0,0.0
2016-10-24,0.0,-50.0,40.0,-10.0
2016-10-25,-20.0,0.0,0.0,-20.0
2016-10-26,-10.0,-80.0,-40.0,-10.0
2016-10-27,-10.0,-80.0,-10.0,-90.0
2016-10-28,-40.0,-50.0,-50.0,0.0
2016-10-29,0.0,0.0,0.0,0.0
2016-10-30,0.0,0.0,0.0,0.0
2016-10-31,-20.0,-40.0,-30.0,-80.0
2016-11-01,-170.0,0.0,-60.0,-50.0
2016-11-02,-10.0,-30.0,-40.0,0.0
2016-11-03,-50.0,-170.0,-30.0,0.0
2016-11-04,-20.0,-20.0,-10.0,0.0
2016-11-05,0.0,0.0,0.0,0.0
2016-11-06,0.0,0.0,0.0,0.0
2016-11-07,0.0,-20.0,-30.0,-30.0
2016-11-08,-10.0,-30.0,-20.0,-30.0
2016-11-09,-40.0,10.0,0.0,-100.0
2016-11-10,10.0,-160.0,-20.0,-20.0
2016-11-11,-70.0,-180.0,10.0,-40.0
2016-11-12,0.0,0.0,0.0,0.0
2016-11-13,0.0,0.0,0.0,0.0
2016-11-14,0.0,-20.0,-10.0,-60.0
2016-11-15,-40.0,-50.0,-10.0,0.0
2016-11-16,-70.0,-20.0,-10.0,-10.0
2016-11-17,-30.0,-150.0,-40.0,-20.0
2016-11-18,-60.0,-280.0,-10.0,-10.0
2016-11-19,0.0,0.0,0.0,0.0
2016-11-20,0.0,0.0,0.0,0.0
2016-11-21,0.0,0.0,0.0,0.0
2016-11-22,-40.0,-50.0,-10.0,0.0
2016-11-23,-60.0,-50.0,0.0,-20.0
2016-11-24,-230.0,-30.0,-20.0,-20.0
2016-11-25,0.0,-80.0,-190.0,-60.0
2016-11-26,0.0,0.0,0.0,0.0
2016-11-27,0.0,0.0,0.0,0.0
2016-11-28,-50.0,-30.0,-20.0,-10.0
2016-11-29,10.0,0.0,0.0,0.0
2016-11-30,-10.0,-110.0,-42.0,-40.0
2016-12-01,-20.0,-160.0,-130.0,-20.0
2016-12-02,-10.0,-30.0,-20.0,-30.0
2016-12-03,0.0,0.0,0.0,0.0
2016-12-04,0.0,0.0,0.0,0.0
2016-12-05,-20.0,-290.0,0.0,-30.0
2016-12-06,-150.0,-40.0,0.0,-20.0
2016-12-07,0.0,-50.0,0.0,0.0
