"RC_LASTERE_1, x; RC_LASTERE_2, x; RC_LASTERE_3, x; RC_LASTERE_4, x","RC_LASTERE_1, y","RC_LASTERE_2, y","RC_LASTERE_3, y","RC_LASTERE_4, y"
aa1f27,997023,227563,4a35f3,cef842
2016-07-18,-30.0,-30.0,-20.0,-80.0
2016-07-19,-70.0,-100.0,-90.0,-40.0
2016-07-20,-20.0,-30.0,-20.0,-120.0
2016-07-21,-90.0,-370.0,-80.0,-30.0
2016-07-22,-70.0,-50.0,-70.0,-310.0
2016-07-23,0.0,0.0,0.0,0.0
2016-07-24,0.0,0.0,0.0,0.0
2016-07-25,-60.0,-40.0,-10.0,-30.0
2016-07-26,-40.0,-20.0,-60.0,-50.0
2016-07-27,-120.0,-10.0,-190.0,-10.0
2016-07-28,-210.0,-250.0,-50.0,-50.0
2016-07-29,-220.0,-270.0,-380.0,-30.0
2016-07-30,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0
2016-08-01,-340.0,-130.0,-110.0,-3590.0
2016-08-02,-390.0,-40.0,-860.0,-240.0
2016-08-03,-60.0,-300.0,-40.0,-30.0
2016-08-04,-410.0,-430.0,-980.0,-470.0
2016-08-05,-40.0,-110.0,-120.0,-170.0
2016-08-06,0.0,-10.0,0.0,0.0
2016-08-07,0.0,0.0,0.0,0.0
2016-08-08,-50.0,-220.0,-10.0,-30.0
2016-08-09,-580.0,-280.0,-110.0,-20.0
2016-08-10,-10.0,-90.0,-20.0,-30.0
2016-08-11,-160.0,-30.0,-210.0,-30.0
2016-08-12,-30.0,-220.0,-180.0,-30.0
2016-08-13,0.0,-30.0,0.0,0.0
2016-08-14,0.0,0.0,0.0,0.0
2016-08-15,-210.0,-260.0,-30.0,-40.0
2016-08-16,-220.0,-30.0,-10.0,-20.0
2016-08-17,-40.0,-60.0,-100.0,-20.0
2016-08-18,-570.0,-160.0,-60.0,-20.0
2016-08-19,-40.0,-60.0,-40.0,-330.0
2016-08-20,-10.0,-10.0,0.0,0.0
2016-08-21,0.0,0.0,0.0,0.0
2016-08-22,-60.0,-50.0,-310.0,-30.0
2016-08-23,-90.0,-20.0,-60.0,-30.0
