"OP, x; OTHER, x; UL, x; RL, x; AVG, x","OP, y","OTHER, y","UL, y","RL, y","AVG, y"
8b6518,2c8849,4984f7,7aad1f,654dd5,13c8a6
2016-07-18,0.0,-60.0,-140.0,-160.0,-227.7433862434
2016-07-19,-10.0,-288.0,-60.0,-300.0,-227.7433862434
2016-07-20,90.0,-50.0,-190.0,-190.0,-227.7433862434
2016-07-21,-30.0,-130.0,-140.0,-570.0,-227.7433862434
2016-07-22,-50.0,-12.0,-220.0,-500.0,-227.7433862434
2016-07-23,0.0,0.0,0.0,0.0,-227.7433862434
2016-07-24,0.0,0.0,0.0,0.0,-227.7433862434
2016-07-25,-10.0,-6.0,-100.0,-140.0,-227.7433862434
2016-07-26,-80.0,-6.0,-150.0,-170.0,-227.7433862434
2016-07-27,-30.0,-80.0,10.0,-330.0,-227.7433862434
2016-07-28,-40.0,0.0,-150.0,-560.0,-227.7433862434
2016-07-29,-30.0,-10.0,-170.0,-900.0,-227.7433862434
2016-07-30,0.0,0.0,0.0,0.0,-227.7433862434
2016-07-31,0.0,0.0,0.0,0.0,-227.7433862434
2016-08-01,0.0,-110.0,-190.0,-4170.0,-227.7433862434
2016-08-02,-170.0,-368.0,-40.0,-1530.0,-227.7433862434
2016-08-03,-20.0,-180.0,-50.0,-430.0,-227.7433862434
2016-08-04,-50.0,-706.0,-160.0,-2290.0,-227.7433862434
2016-08-05,-60.0,-180.0,-130.0,-440.0,-227.7433862434
2016-08-06,0.0,-10.0,0.0,-10.0,-227.7433862434
2016-08-07,0.0,0.0,0.0,0.0,-227.7433862434
2016-08-08,-50.0,-720.0,-150.0,-310.0,-227.7433862434
2016-08-09,-30.0,-90.0,-130.0,-990.0,-227.7433862434
2016-08-10,-10.0,-19.0,-90.0,-150.0,-227.7433862434
2016-08-11,-30.0,0.0,-230.0,-430.0,-227.7433862434
2016-08-12,-190.0,-90.0,-70.0,-460.0,-227.7433862434
2016-08-13,0.0,0.0,-20.0,-30.0,-227.7433862434
2016-08-14,0.0,0.0,0.0,0.0,-227.7433862434
2016-08-15,-180.0,-1320.0,-290.0,-540.0,-227.7433862434
2016-08-16,-60.0,-66.0,-70.0,-280.0,-227.7433862434
2016-08-17,220.0,-136.0,-290.0,-220.0,-227.7433862434
2016-08-18,-180.0,-456.0,-120.0,-810.0,-227.7433862434
2016-08-19,0.0,0.0,-90.0,-470.0,-227.7433862434
2016-08-20,0.0,0.0,0.0,-20.0,-227.7433862434
2016-08-21,0.0,0.0,0.0,0.0,-227.7433862434
2016-08-22,-90.0,-330.0,-110.0,-450.0,-227.7433862434
2016-08-23,0.0,-1.0,-110.0,-200.0,-227.7433862434
2016-08-24,50.0,-342.0,-60.0,-210.0,-227.7433862434
2016-08-25,-100.0,-846.0,-40.0,-1680.0,-227.7433862434
2016-08-26,-50.0,0.0,-110.0,-530.0,-227.7433862434
2016-08-27,0.0,0.0,0.0,0.0,-227.7433862434
