"Link Error, x; Suggestion, x; No Video, x; No Audio, x","Link Error, y","Suggestion, y","No Video, y","No Audio, y"
4184ea,7944be,b28cab,a10b49,e0dbba
2017-12-28,,1,,
2017-12-24,,1,,
2017-12-23,,1,,
2017-10-27,,1,,
2017-10-03,,1,,
2017-09-30,,1,,
2017-09-29,,1,,
2017-09-26,,1,1,
2017-08-30,,1,,
2017-08-01,2,1,,
2017-07-27,3,1,,
2017-07-19,,1,,
2017-07-17,3,1,,
2017-07-15,1,2,,
2017-07-13,,1,,
2017-07-12,,1,,1
2017-07-10,,2,,1
2017-07-09,1,3,,1
2017-07-08,,1,,
2017-07-07,1,1,,
2017-06-29,,3,,1
2017-06-27,3,1,1,1
2017-06-25,2,1,,
2017-06-17,2,2,,1
2017-06-15,3,1,,
2017-06-13,3,1,1,1
2017-06-12,1,1,1,2
2017-06-10,1,1,,1
2017-06-06,1,2,,1
2017-06-04,2,1,,
2017-06-02,2,1,1,
2017-05-31,1,2,,
2017-05-30,1,2,,1
2017-05-29,4,2,,
2017-05-26,1,1,,1
2017-05-25,4,1,,
2017-05-24,2,2,1,
2017-05-21,1,1,1,
2017-05-20,3,1,,1
2017-05-19,1,1,1,1
2017-05-18,1,3,,1
2017-05-17,1,2,,
2017-05-15,2,2,,2
2017-05-14,4,1,,
2017-05-11,5,1,,
2017-05-07,,4,1,1
2017-05-06,2,1,,1
2017-05-05,,3,,
2017-04-22,,1,,
2017-04-17,1,1,,1
2017-04-16,3,2,,
2017-04-14,,2,2,
2017-04-13,3,1,,1
2017-04-08,3,4,1,1
2017-04-07,5,1,1,1
2017-04-06,5,1,,2
2017-04-04,3,3,1,1
2017-04-03,3,1,1,6
2017-04-02,6,4,1,
2017-04-01,2,2,1,
2017-03-31,4,2,3,2
2017-03-30,5,1,2,2
2017-03-28,4,2,,5
2017-03-26,2,2,1,1
2017-03-25,1,4,,
2017-03-23,2,2,,3
2017-03-22,4,4,1,4
2017-03-21,4,2,,5
2017-03-20,3,3,,
2017-03-19,4,3,,
2017-03-18,5,3,,2
2017-03-15,10,1,,3
2017-03-12,5,1,,
2017-03-11,2,1,,1
2017-03-07,4,3,1,1
2017-03-06,,2,,1
2017-03-03,6,1,,
2017-03-02,3,2,,
2017-02-27,4,1,,2
2017-02-24,7,3,1,3
2017-02-23,7,2,,4
2017-02-22,12,1,,1
2017-02-18,4,2,,2
2017-02-17,7,1,,5
2017-02-16,,4,,1
2017-02-15,1,1,,1
2017-02-14,4,2,,
2017-02-13,7,4,,
2017-02-12,7,5,,
2017-02-11,6,3,1,2
2017-02-09,2,4,,1
2017-02-08,8,1,1,1
2017-02-07,5,6,1,8
2017-02-05,7,4,2,1
2017-02-04,8,1,,2
2017-02-03,5,1,1,4
2017-02-02,4,1,,2
2017-01-31,9,1,,2
2017-01-30,9,1,1,1
2017-01-29,2,2,1,
2017-01-28,5,2,,1
2017-01-27,5,1,,
2017-01-26,4,3,,
2017-01-25,12,4,1,
2017-01-24,3,2,,1
2017-01-23,6,2,,
2017-01-22,3,4,1,1
2017-01-21,5,2,1,1
2017-01-20,5,3,1,1
2017-01-19,5,4,1,6
2017-01-18,6,5,1,
2017-01-17,9,9,,1
2017-01-16,5,1,1,2
2017-01-15,7,4,1,1
2017-01-14,2,2,1,1
2017-01-13,3,6,2,3
2017-01-12,9,1,1,2
2017-01-11,4,3,,
2017-01-10,4,8,,1
2017-01-09,10,4,,2
2017-01-07,6,4,,
2017-01-06,3,3,1,
2017-01-05,6,2,,3
2017-01-04,5,3,2,1
2017-01-03,3,1,,1
2017-01-02,11,1,,
2016-12-31,3,2,,
2016-12-30,9,4,1,
2016-12-29,7,6,,1
2016-12-28,12,4,3,1
2016-12-27,4,2,,
2016-12-26,8,1,,1
2016-12-25,3,6,3,3
2016-12-24,9,2,,2
2016-12-23,6,4,,2
2016-12-22,13,3,,
2016-12-21,8,5,,3
2016-12-20,11,2,,1
2016-12-19,17,3,1,
2016-12-18,12,5,1,5
2016-12-16,15,2,1,7
2016-12-15,7,7,1,1
