x,y
2d75a2,c8cb06
2018-01-13 01:00:00,538.58
2018-01-13 02:00:00,531.82
2018-01-13 03:00:00,537.82
2018-01-13 04:00:00,548.91
2018-01-13 05:00:00,564.52
2018-01-13 06:00:00,589.02
2018-01-13 07:00:00,630.57
2018-01-13 08:00:00,652.65
2018-01-13 09:00:00,642.1
2018-01-13 10:00:00,638.96
2018-01-13 11:00:00,650.5
2018-01-13 12:00:00,651.44
2018-01-13 13:00:00,643.33
2018-01-13 14:00:00,640.16
2018-01-13 15:00:00,645.49
2018-01-13 16:00:00,651.25
2018-01-13 17:00:00,648.34
2018-01-13 18:00:00,637.68
2018-01-13 19:00:00,634.39
2018-01-13 20:00:00,618.96
2018-01-13 21:00:00,616.28
2018-01-13 22:00:00,621.39
2018-01-13 23:00:00,615.65
2018-01-14 00:00:00,602.57
