"Forecast, x; Realized production, x","Forecast, y","Realized production, y"
b64c45,90ca3d,d69c9f
2018-01-11 01:00:00,480.53,483.20486
2018-01-11 02:00:00,480.61,487.771855
2018-01-11 03:00:00,486.04,495.884003
2018-01-11 04:00:00,500.63,511.261418
2018-01-11 05:00:00,525.7,530.034377
2018-01-11 06:00:00,564.46,578.080293
2018-01-11 07:00:00,619.84,644.055494
2018-01-11 08:00:00,643.64,672.256751
2018-01-11 09:00:00,621.75,630.12118
2018-01-11 10:00:00,603.5,595.852952
2018-01-11 11:00:00,579.45,597.315998
2018-01-11 12:00:00,548.97,588.792973
2018-01-11 13:00:00,536.39,592.82641
2018-01-11 14:00:00,533.49,593.044708
2018-01-11 15:00:00,542.43,590.48099
2018-01-11 16:00:00,551.0,593.702997
2018-01-11 17:00:00,558.03,585.071378
2018-01-11 18:00:00,565.22,577.011133
2018-01-11 19:00:00,572.26,592.327946
2018-01-11 20:00:00,566.27,567.613188
2018-01-11 21:00:00,543.31,549.688996
2018-01-11 22:00:00,522.98,541.398728
2018-01-11 23:00:00,503.02,531.837107
2018-01-12 00:00:00,485.91,516.78624
