Column 0,Column 1,Column 2,Column 3,Column 4
dabae6,860206,180ca6,58cc9c,e686b8
14.97,21.51,20.43,19.33,13
14.93,21.54,20.42,19.40,14
14.96,21.50,20.47,19.36,15
14.97,21.51,20.45,19.35,16
14.88,21.55,20.41,19.36,17
14.89,21.51,20.41,19.32,18
14.91,21.56,20.41,19.41,19
14.87,21.52,20.44,19.31,20
14.91,21.51,20.47,19.35,21
14.91,21.58,20.44,19.31,22
14.88,21.56,20.42,19.30,23
14.94,21.55,20.47,19.34,24
14.93,21.57,20.45,19.30,25
14.86,21.59,20.42,19.35,26
14.92,21.51,20.43,19.32,27
14.93,21.54,20.45,19.39,28
14.91,21.56,20.46,19.24,29
14.90,21.56,20.46,19.34,30
14.93,21.53,20.41,19.28,31
14.92,21.52,20.40,19.34,32
14.85,21.53,20.42,19.32,33
14.85,21.53,20.45,19.34,34
14.85,21.57,20.43,19.35,35
14.85,21.54,20.49,19.31,36
14.85,21.55,20.43,19.32,37
14.85,21.57,20.42,19.34,38
20.10,21.57,20.42,19.36,39
20.00,21.57,20.48,19.31,40
20.06,21.53,20.46,19.34,41
20.01,21.55,20.45,19.35,42
20.04,21.60,20.42,19.35,43
20.06,21.58,20.46,19.34,44
20.03,21.58,20.46,19.33,45
20.05,21.58,20.45,19.36,46
20.06,21.52,20.45,19.36,47
20.09,21.54,20.49,19.31,48
20.00,21.53,20.46,19.35,49
20.06,21.55,20.41,19.33,50
20.10,21.53,20.44,19.35,51
20.12,21.56,20.45,19.37,52
20.05,21.60,20.48,19.35,53
20.02,21.49,20.41,19.40,54
20.07,21.57,20.43,19.29,55
20.06,21.56,20.45,19.35,56
20.03,21.54,20.50,19.37,57
20.04,21.51,20.45,19.31,58
20.02,21.60,20.45,19.32,59
20.08,21.54,20.46,19.31,60
19.97,21.53,20.48,19.31,61
19.97,21.55,20.41,19.34,62
20.01,21.52,20.46,19.28,63
20.03,21.54,20.46,19.30,64
20.06,21.56,20.42,19.34,65
20.05,21.58,20.48,19.32,66
20.09,21.54,20.46,19.25,67
20.03,21.62,20.47,19.30,68
20.00,21.55,20.49,19.33,69
20.04,21.59,20.49,19.35,70
20.08,21.55,20.46,19.35,71
20.02,21.51,20.50,19.38,72
20.08,21.55,20.42,19.36,73
20.04,21.62,20.47,19.40,74
19.99,21.56,20.44,19.41,75
20.02,21.58,20.46,19.35,76
20.01,21.59,20.44,19.33,77
20.00,21.58,20.44,19.37,78
20.00,21.65,20.47,19.40,79
20.12,21.59,20.45,19.43,80
20.03,21.51,20.43,19.37,81
20.03,21.53,20.46,19.37,82
20.02,21.57,20.49,19.34,83
19.98,21.56,20.44,19.41,84
19.98,21.60,20.40,19.39,85
19.99,21.55,20.45,19.41,86
20.01,21.56,20.42,19.43,87
20.01,21.58,20.42,19.32,88
20.06,21.55,20.46,19.41,89
20.00,21.52,20.40,19.40,90
20.03,21.58,20.44,19.39,91
20.00,21.55,20.46,19.38,92
20.07,21.55,20.43,19.31,93
20.06,21.58,20.45,19.40,94
20.05,21.56,20.43,19.38,95
20.04,21.59,20.45,19.37,96
20.01,21.57,20.42,19.40,97
19.96,21.56,20.41,19.35,98
20.02,21.55,20.45,19.38,99
20.00,21.61,20.50,19.37,100
19.96,21.56,20.48,19.40,101
19.99,21.62,20.48,19.41,102
20.05,21.54,20.42,19.39,103
20.00,21.60,20.44,19.43,104
20.01,21.62,20.44,19.38,105
20.01,21.59,20.51,19.42,106
20.06,21.64,20.44,19.43,107
20.02,21.56,20.44,19.43,108
19.97,21.59,20.46,19.36,109
20.04,21.57,20.46,19.39,110
19.98,21.55,20.49,19.39,111
20.05,21.57,20.50,19.42,112
20.00,21.60,20.46,19.42,113
19.97,21.60,20.45,19.41,114
19.99,21.65,20.47,19.45,115
19.99,21.56,20.46,19.41,116
20.00,21.58,20.46,19.39,117
20.00,21.58,20.50,19.45,118
20.02,21.62,20.48,19.40,119
19.96,21.62,20.42,19.50,120
20.08,21.66,20.49,19.53,121
20.02,21.62,20.46,19.51,122
20.03,21.61,20.48,19.46,123
20.00,21.63,20.50,19.52,124
20.06,21.64,20.42,19.49,125
20.05,21.62,20.46,19.49,126
20.04,21.61,20.50,19.47,127
20.02,21.60,20.46,19.47,128
19.99,21.65,20.47,19.46,129
20.06,21.63,20.47,19.49,130
20.00,21.64,20.50,19.45,131
20.01,21.61,20.49,19.47,132
20.00,21.60,20.49,19.48,133
20.01,21.60,20.51,19.50,134
19.99,21.61,20.48,19.46,135
20.00,21.57,20.48,19.44,136
20.04,21.63,20.49,19.49,137
19.98,21.63,20.47,19.45,138
20.03,21.65,20.48,19.48,139
20.02,21.60,20.47,19.46,140
20.04,21.58,20.48,19.51,141
20.06,21.66,20.48,19.45,142
20.06,21.67,20.45,19.47,143
20.00,21.59,20.48,19.42,144
20.04,21.62,20.50,19.42,145
20.01,21.63,20.51,19.47,146
20.00,21.64,20.49,19.50,147
20.06,21.62,20.47,19.53,148
20.02,21.64,20.43,19.47,149
19.94,21.55,20.51,19.46,150
20.07,21.62,20.47,19.48,151
20.11,21.62,20.49,19.48,152
20.04,21.66,20.52,19.43,153
20.09,21.64,20.46,19.41,154
20.06,21.59,20.48,19.39,155
19.99,21.60,20.46,19.49,156
20.04,21.61,20.53,19.50,157
20.05,21.65,20.51,19.52,158
19.99,21.61,20.49,19.45,159
19.99,21.58,20.48,19.49,160
20.04,21.61,20.45,19.47,161
19.98,21.69,20.50,19.52,162
20.08,21.62,20.56,19.49,163
19.97,21.64,20.49,19.56,164
20.05,21.66,20.53,19.48,165
19.98,21.61,20.56,19.43,166
20.10,21.64,20.52,19.51,167
20.10,21.64,20.56,19.47,168
20.06,21.65,20.48,19.48,169
20.00,21.63,20.45,19.45,170
20.02,21.59,20.47,19.50,171
20.12,21.68,20.56,19.47,172
20.03,21.67,20.52,19.48,173
20.09,21.58,20.48,19.46,174
20.01,21.64,20.46,19.53,175
20.03,21.66,20.50,19.44,176
20.08,21.69,20.55,19.47,177
20.08,21.62,20.53,19.46,178
20.01,21.63,20.43,19.49,179
20.06,21.66,20.50,19.43,180
20.09,21.64,20.46,19.52,181
19.99,21.61,20.48,19.44,182
20.02,21.61,20.51,19.51,183
20.05,21.67,20.50,19.48,184
20.01,21.63,20.54,19.48,185
20.04,21.59,20.48,19.49,186
20.05,21.63,20.48,19.48,187
20.00,21.62,20.43,19.46,188
19.99,21.65,20.47,19.45,189
20.05,21.61,20.46,19.44,190
20.02,21.60,20.44,19.51,191
20.04,21.62,20.47,19.45,192
20.07,21.62,20.47,19.44,193
20.01,21.65,20.51,19.48,194
20.00,21.57,20.54,19.46,195
20.03,21.67,20.51,19.43,196
20.06,21.63,20.45,19.43,197
19.99,21.65,20.45,19.44,198
20.04,21.54,20.47,19.43,199
20.07,21.63,20.49,19.44,200
19.98,21.60,20.54,19.52,201
19.99,21.62,20.51,19.44,202
19.99,21.64,20.49,19.45,203
20.01,21.62,20.51,19.45,204
20.00,21.64,20.47,19.50,205
20.06,21.62,20.51,19.43,206
20.00,21.55,20.52,19.46,207
20.02,21.66,20.53,19.47,208
20.01,21.66,20.52,19.43,209
19.98,21.62,20.47,19.48,210
19.99,21.61,20.52,19.45,211
20.02,21.65,20.49,19.43,212
19.98,21.64,20.54,19.47,213
19.96,21.63,20.47,19.44,214
20.03,21.64,20.50,19.47,215
20.00,21.58,20.48,19.48,216
19.98,21.65,20.50,19.49,217
20.02,21.59,20.50,19.43,218
20.00,21.62,20.48,19.48,219
20.03,21.70,20.52,19.47,220
19.98,21.53,20.50,19.43,221
20.01,21.62,20.52,19.52,222
20.03,21.60,20.51,19.45,223
19.96,21.68,20.59,19.43,224
20.02,21.64,20.53,19.46,225
20.03,21.62,20.52,19.50,226
19.95,21.61,20.49,19.47,227
19.96,21.68,20.49,19.49,228
20.07,21.61,20.49,19.40,229
20.00,21.61,20.49,19.49,230
20.01,21.67,20.54,19.47,231
19.98,21.60,20.42,19.47,232
19.94,21.60,20.52,19.45,233
20.03,21.66,20.58,19.45,234
20.02,21.55,20.46,19.44,235
19.99,21.62,20.48,19.51,236
20.01,21.64,20.46,19.44,237
20.05,21.61,20.58,19.46,238
20.06,21.60,20.49,19.44,239
19.98,21.61,20.55,19.45,240
20.04,21.61,20.56,19.53,241
19.98,21.70,20.48,19.45,242
19.99,21.59,20.46,19.42,243
19.97,21.63,20.51,19.47,244
19.99,21.60,20.51,19.42,245
19.92,21.61,20.52,19.44,246
19.95,21.70,20.53,19.49,247
20.02,21.65,20.48,19.47,248
19.96,21.60,20.52,19.43,249
20.05,21.60,20.49,19.47,250
20.01,21.59,20.48,19.44,251
20.03,21.67,20.57,19.48,252
20.01,21.62,20.54,19.44,253
20.01,21.59,20.49,19.43,254
19.97,21.65,20.52,19.41,255
19.98,21.68,20.48,19.41,256
20.00,21.62,20.51,19.41,257
20.00,21.61,20.56,19.42,258
20.03,21.62,20.45,19.42,259
19.94,21.65,20.46,19.45,260
19.98,21.59,20.48,19.45,261
20.01,21.61,20.51,19.47,262
19.93,21.60,20.50,19.48,263
19.95,21.62,20.50,19.39,264
19.96,21.66,20.49,19.43,265
19.97,21.65,20.56,19.48,266
19.99,21.66,20.53,19.43,267
19.97,21.65,20.56,19.43,268
20.05,21.64,20.53,19.42,269
20.02,21.64,20.52,19.50,270
19.96,21.59,20.53,19.42,271
20.02,21.63,20.47,19.52,272
19.99,21.65,20.51,19.47,273
19.98,21.64,20.53,19.40,274
20.00,21.58,20.55,19.46,275
20.00,21.58,20.54,19.41,276
20.04,21.63,20.48,19.42,277
20.00,21.62,20.56,19.46,278
19.94,21.63,20.45,19.46,279
19.96,21.62,20.53,19.43,280
20.07,21.59,20.50,19.49,281
19.97,21.68,20.56,19.46,282
20.01,21.57,20.47,19.45,283
20.00,21.60,20.53,19.44,284
20.03,21.62,20.56,19.48,285
19.99,21.58,20.55,19.45,286
20.01,21.65,20.54,19.45,287
20.00,21.65,20.45,19.46,288
19.96,21.60,20.53,19.37,289
19.99,21.66,20.50,19.43,290
20.03,21.62,20.57,19.42,291
19.96,21.62,20.51,19.43,292
19.99,21.60,20.57,19.45,293
19.97,21.59,20.52,19.46,294
19.96,21.65,20.50,19.45,295
19.97,21.62,20.46,19.45,296
19.96,21.63,20.57,19.47,297
19.94,21.62,20.58,19.43,298
19.90,21.63,20.55,19.45,299
19.90,21.67,20.52,19.43,300
19.97,21.60,20.49,19.42,301
19.95,21.66,20.49,19.49,302
20.01,21.58,20.51,19.42,303
19.99,21.62,20.53,19.41,304
19.99,21.58,20.52,19.42,305
19.92,21.64,20.52,19.44,306
19.93,21.63,20.52,19.46,307
19.97,21.64,20.52,19.48,308
19.95,21.63,20.59,19.48,309
19.95,21.58,20.51,19.44,310
19.92,21.58,20.53,19.47,311
19.97,21.68,20.48,19.50,312
19.95,21.63,20.53,19.48,313
19.95,21.62,20.47,19.46,314
19.94,21.63,20.53,19.46,315
19.94,21.67,20.53,19.43,316
19.92,21.58,20.52,19.46,317
19.94,21.62,20.51,19.39,318
19.90,21.64,20.46,19.48,319
19.94,21.59,20.52,19.45,320
19.94,21.61,20.59,19.45,321
19.90,21.63,20.49,19.46,322
19.96,21.60,20.53,19.47,323
19.91,21.64,20.48,19.43,324
19.95,21.60,20.51,19.46,325
19.87,21.60,20.54,19.41,326
19.93,21.66,20.47,19.45,327
19.91,21.62,20.52,19.45,328
19.94,21.63,20.49,19.48,329
19.93,21.63,20.54,19.45,330
19.95,21.66,20.53,19.41,331
19.97,21.67,20.53,19.42,332
19.91,21.64,20.52,19.49,333
19.99,21.57,20.48,19.44,334
19.98,21.63,20.51,19.40,335
19.97,21.59,20.54,19.38,336
19.94,21.62,20.48,19.42,337
19.91,21.66,20.48,19.41,338
19.90,21.62,20.56,19.40,339
19.95,21.67,20.47,19.46,340
19.92,21.61,20.53,19.43,341
19.96,21.59,20.55,19.42,342
19.90,21.63,20.49,19.45,343
19.87,21.64,20.54,19.39,344
19.90,21.57,20.50,19.43,345
19.94,21.65,20.50,19.42,346
19.92,21.62,20.52,19.42,347
19.88,21.68,20.52,19.44,348
19.89,21.63,20.50,19.42,349
19.93,21.58,20.52,19.41,350
19.93,21.60,20.48,19.45,351
19.89,21.62,20.47,19.40,352
19.87,21.61,20.53,19.46,353
19.90,21.61,20.54,19.47,354
19.87,21.61,20.46,19.44,355
19.86,21.66,20.52,19.45,356
19.90,21.62,20.52,19.45,357
19.90,21.56,20.51,19.47,358
19.87,21.67,20.59,19.40,359
19.86,21.57,20.50,19.40,360
19.93,21.65,20.52,19.48,361
19.87,21.65,20.46,19.45,362
19.95,21.62,20.49,19.42,363
19.90,21.68,20.53,19.43,364
19.90,21.61,20.56,19.40,365
19.90,21.68,20.46,19.41,366
19.90,21.62,20.52,19.44,367
19.91,21.66,20.55,19.41,368
19.88,21.62,20.51,19.47,369
19.87,21.60,20.54,19.38,370
19.89,21.61,20.54,19.42,371
19.85,21.65,20.55,19.44,372
19.90,21.59,20.47,19.40,373
19.90,21.59,20.53,19.44,374
19.88,21.62,20.50,19.39,375
19.92,21.63,20.48,19.43,376
19.87,21.64,20.49,19.40,377
19.91,21.61,20.55,19.36,378
19.89,21.62,20.51,19.41,379
19.90,21.61,20.49,19.43,380
19.87,21.62,20.51,19.41,381
19.88,21.63,20.51,19.45,382
19.91,21.66,20.53,19.47,383
19.89,21.58,20.51,19.40,384
19.85,21.61,20.54,19.40,385
19.87,21.57,20.51,19.45,386
19.92,21.63,20.53,19.45,387
19.91,21.64,20.51,19.41,388
19.86,21.60,20.49,19.42,389
19.93,21.69,20.52,19.39,390
19.91,21.62,20.56,19.44,391
19.89,21.62,20.53,19.42,392
19.90,21.63,20.56,19.41,393
19.90,21.61,20.53,19.41,394
19.92,21.63,20.52,19.40,395
19.90,21.59,20.53,19.45,396
19.83,21.63,20.56,19.39,397
19.91,21.61,20.57,19.42,398
19.87,21.63,20.57,19.39,399
19.91,21.69,20.50,19.46,400
19.85,21.64,20.51,19.45,401
19.89,21.66,20.52,19.44,402
19.88,21.68,20.51,19.40,403
