"SDP, x","SDP, y","SDP, text","SDP, color","La Jornada, x","La Jornada, y","La Jornada, text","La Jornada, color","El Universal, x","El Universal, y","El Universal, text","El Universal, color","Animal Politico, x","Animal Politico, y","Animal Politico, text","Animal Politico, color","El Financiero, x","El Financiero, y","El Financiero, text","El Financiero, color"
7bdbe5,aff02d,86336f,1bbaf9,168dc1,141a8b,d23be7,e170a3,d023b8,4b56cd,f061de,168e88,ef6877,f20523,7870f7,26a11d,9448a3,32f0b1,6aadcc,7ff7b6
2018-01-11T00:00:00,14597,"Título: Si AMLO gana habrá una devaluación de al menos el 10%, dice el PRI <br> Fuente: Sdp","rgb(166,206,227)",2018-01-10T00:00:00,4431,Título: Meade designa a Lozano como uno de sus voceros <br> Fuente: La Jornada,"rgb(31,120,180)",2018-01-10T20:28:43-06:00,21886,"Título: Imagen de niño chino que llega ""congelado"" a la escuela conmueve al mundo <br> Fuente: El Universal","rgb(178,223,138)",2018-01-11T14:41:12-06:00,3071,Título: Constructora demanda a ciudadano por denunciar corrupción en Hidalgo <br> Fuente: Animal Politico,"rgb(51,160,44)",2018-01-10T13:52:34,4803,Título: Mexicanos en riesgo de ser expulsados de Harvard ante falta de pago <br> Fuente: El Financiero,"rgb(251,154,153)"
2018-01-11T00:00:00,11649,Título: Llaman 'roba maridos' a bailarina de Venga la alegría <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-10T01:30:39-06:00,18497,Título: Americanistas dan bienvenida y roban en aeropuerto capitalino <br> Fuente: El Universal,"rgb(178,223,138)",2018-01-09T12:09:24-06:00,2570,Título: Por error en número de cuenta no se depositaron 700 mdp a Chihuahua: Hacienda <br> Fuente: Animal Politico,"rgb(51,160,44)",2018-01-11T14:22:52,2604,Título: Walmart cierra 63 Sam's Club en todo EU <br> Fuente: El Financiero,"rgb(251,154,153)"
2018-01-10T00:00:00,9815,Título: Morena postula a Sergio Mayer como diputado federal <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-09T21:19:06-06:00,15400,Título: Registran sismo de 7.6 grados en Honduras <br> Fuente: El Universal,"rgb(178,223,138)",,,,,2018-01-10T11:25:33,2497,Título: EU pone a 5 entidades mexicanas en lista de 'no viajar' <br> Fuente: El Financiero,"rgb(251,154,153)"
2018-01-11T00:00:00,9811,Título: Denuncian a Meade ante PGR por presunto desvío de recursos <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-11T00:42:50-06:00,11304,Título: Sale Callo de Hacha del aire; agradece a los “chairos” <br> Fuente: El Universal,"rgb(178,223,138)",,,,,2018-01-09T21:28:15,2422,Título: Terremoto magnitud 7.8 sacude a Honduras y se siente en Chetumal <br> Fuente: El Financiero,"rgb(251,154,153)"
2018-01-10T00:00:00,6972,Título: Presumió de viajar por el mundo... con el mismo fondo de baño <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-11T01:13:00-06:00,5522,Título: Le dan dos años de cárcel por robar 2 cervezas de una tienda <br> Fuente: El Universal,"rgb(178,223,138)",,,,,2018-01-10T15:51:03,2291,"Título: Inflación ""tira"" al salario contractual a su peor nivel en 21 años <br> Fuente: El Financiero","rgb(251,154,153)"
2018-01-10T00:00:00,5560,Título: Nombra Morena a Lilly Téllez coordinadora de organización en Sonora <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-10T18:13:32-06:00,4672,Título: Detienen a custodios por dispararle a perro pitbull <br> Fuente: El Universal,"rgb(178,223,138)",,,,,,,,
2018-01-10T00:00:00,5534,Título: Callo de Hacha confirma fracaso en radio y anuncia fin de transmisiones <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-09T18:32:06-06:00,4237,Título: ​Mujer en Argentina da golpiza a su hija por una tablet <br> Fuente: El Universal,"rgb(178,223,138)",,,,,,,,
2018-01-10T00:00:00,5275,"Título: Mujer Luna Bella es la 'pornstar' más deseada por los mexicanos, según PornHub <br> Fuente: Sdp","rgb(166,206,227)",,,,,2018-01-10T10:52:00-06:00,4191,Título: Ya puedes saber quién ve la foto de perfil de tu Whatsapp <br> Fuente: El Universal,"rgb(178,223,138)",,,,,,,,
2018-01-11T00:00:00,5215,Título: Lo asesinan cuando evitaba violación de su hermana <br> Fuente: Sdp,"rgb(166,206,227)",,,,,2018-01-11T04:06:28-06:00,4184,"Título: Bimbo, Alpura, Lala y Marlboro aumentan precios en tienditas <br> Fuente: El Universal","rgb(178,223,138)",,,,,,,,
