"LIKE, x; LOVE, x; SAD, x; HAHA, x; ANGRY, x; WOW, x","LIKE, y","LOVE, y","SAD, y",text,"HAHA, y","ANGRY, y","WOW, y"
e66500,e5fa73,1c66f7,a3d224,9e750d,293212,774840,9c8ea4
Nombra Morena a Lilly Téllez coordinadora de organización en Sonora,1338,191,4,SDP,160,16,41
Denuncian a Meade ante PGR por presunto desvío de recursos,1284,150,2,SDP,235,39,40
"Encuesta Facebook: AMLO amplía su ventaja; Meade, segundo; Anaya, sube",1277,263,1,SDP,179,9,21
Ya puedes saber quién ve la foto de perfil de tu Whatsapp,1034,12,23,el_universal,301,26,354
Llaman 'roba maridos' a bailarina de Venga la alegría,964,16,7,SDP,438,43,282
Registran sismo de 7.6 grados en Honduras,923,6,200,el_universal,7,0,614
"Mujer Luna Bella es la 'pornstar' más deseada por los mexicanos, según PornHub",833,50,11,SDP,816,5,35
Le dan dos años de cárcel por robar 2 cervezas de una tienda,692,10,54,el_universal,272,547,175
Callo de Hacha confirma fracaso en radio y anuncia fin de transmisiones,629,224,10,SDP,869,2,16
Sale Callo de Hacha del aire; agradece a los “chairos”,609,138,20,el_universal,931,9,43
"Imagen de niño chino que llega ""congelado"" a la escuela conmueve al mundo",557,20,570,el_universal,91,11,501
Presumió de viajar por el mundo... con el mismo fondo de baño,490,7,6,SDP,1230,0,17
Morena postula a Sergio Mayer como diputado federal,471,21,42,SDP,744,399,73
Mexicanos en riesgo de ser expulsados de Harvard ante falta de pago,457,2,139,el_financiero,82,777,293
Lo asesinan cuando evitaba violación de su hermana,421,2,403,SDP,3,882,39
Americanistas dan bienvenida y roban en aeropuerto capitalino,398,9,10,el_universal,1184,110,39
​Mujer en Argentina da golpiza a su hija por una tablet,396,7,58,el_universal,38,1120,131
Meade designa a Lozano como uno de sus voceros,344,10,8,la_jornada,997,356,35
Detienen a custodios por dispararle a perro pitbull,341,5,256,el_universal,11,1106,31
"Si AMLO gana habrá una devaluación de al menos el 10%, dice el PRI",288,14,2,SDP,1287,143,16
