"60-90 dias, x; 30-60 días, x; 0-30 días, x","60-90 dias, y","60-90 dias, color","30-60 días, y","30-60 días, color","0-30 días, y","0-30 días, color"
6a7be2,e26836,4129ab,5ffb46,962f7c,c22295,2f0611
AG,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
AI,0.3333333333,"rgba(179,226,205,1)",0.6666666667,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
BB,0.3846153846,"rgba(179,226,205,1)",0.3846153846,"rgba(253,205,172,1)",0.2307692308,"rgba(203,213,232,1)"
BS,1.0,"rgba(179,226,205,1)",0.0,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
BZ,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
DM,0.0,"rgba(179,226,205,1)",1.0,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
DO,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
GY,0.125,"rgba(179,226,205,1)",0.625,"rgba(253,205,172,1)",0.25,"rgba(203,213,232,1)"
JM,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
KY,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
PA,0.9827586207,"rgba(179,226,205,1)",0.0172413793,"rgba(253,205,172,1)",0.0,"rgba(203,213,232,1)"
TT,0.4090909091,"rgba(179,226,205,1)",0.5454545455,"rgba(253,205,172,1)",0.0454545455,"rgba(203,213,232,1)"
VC,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)",0,"rgba(203,213,232,1)"
