x,y,color
491ae4,dfc6b2,63a603
14yMedio,4,"rgba(179,226,205,1)"
Antigua Observer,13,"rgba(179,226,205,1)"
Cayman News Service,57,"rgba(179,226,205,1)"
Cuba Debate,84,"rgba(179,226,205,1)"
Diario Libre,249,"rgba(179,226,205,1)"
El Heraldo,123,"rgba(179,226,205,1)"
El Nuevo Diario,114,"rgba(179,226,205,1)"
El Períodico de Guatemala ,68,"rgba(179,226,205,1)"
El Siglo,1,"rgba(179,226,205,1)"
El día,79,"rgba(179,226,205,1)"
Grenada Star ,29,"rgba(179,226,205,1)"
Guyana Chronicle,36,"rgba(179,226,205,1)"
Guyana Times,31,"rgba(179,226,205,1)"
Inews Guyana,33,"rgba(179,226,205,1)"
Jamaica Observer,234,"rgba(179,226,205,1)"
La Hora,18,"rgba(179,226,205,1)"
La Nación ,123,"rgba(179,226,205,1)"
La Prensa,156,"rgba(179,226,205,1)"
La Tribuna,40,"rgba(179,226,205,1)"
La prensa,84,"rgba(179,226,205,1)"
Listin Diario,156,"rgba(179,226,205,1)"
Now Grenada,6,"rgba(179,226,205,1)"
Panamá América,69,"rgba(179,226,205,1)"
Prensa Libre,6,"rgba(179,226,205,1)"
República,29,"rgba(179,226,205,1)"
Santa Lucia News Online,82,"rgba(179,226,205,1)"
Siglo.21,5,"rgba(179,226,205,1)"
St. Kitts & Nevis Observer,8,"rgba(179,226,205,1)"
TVN Noticias,8,"rgba(179,226,205,1)"
Telemundo Puerto Rico,55,"rgba(179,226,205,1)"
Teletica,29,"rgba(179,226,205,1)"
The Bahamas Journal,10,"rgba(179,226,205,1)"
The Gleaner,146,"rgba(179,226,205,1)"
The Guardian,12,"rgba(179,226,205,1)"
"The New York Times, Anguilla",82,"rgba(179,226,205,1)"
The Star,38,"rgba(179,226,205,1)"
The Voice,39,"rgba(179,226,205,1)"
The freeport news,18,"rgba(179,226,205,1)"
Thea Nassau Guardian,29,"rgba(179,226,205,1)"
Tribune 242,10,"rgba(179,226,205,1)"
