"periodicos, x; gacetas, x","periodicos, y","periodicos, color","gacetas, y","gacetas, color"
bf61ed,5368e1,e0b8cb,8953fb,517395
BCN,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
BCS,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
CAM,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
CDMX,1,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
CHH,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
CHP,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
COA,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
COL,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
DUR,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
GTO,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
GUE,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
HID,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
JAL,8,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
MEX,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
MIC,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
MOR,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
NLE,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
OAX,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
PUE,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
QUE,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
ROO,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
SIN,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
SLP,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
SON,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
TAB,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
TAM,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
TLA,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
VER,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
YUC,1,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
ZAC,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
