"El Universal, x","El Universal, y","El Universal, text","El Universal, color","La Jornada, x","La Jornada, y","La Jornada, text","La Jornada, color","Animal Politico, x","Animal Politico, y","Animal Politico, text","Animal Politico, color","Publimetro, x; Sdp, x; El Economista, x","Publimetro, y","Publimetro, text","Publimetro, color","El Financiero, x","El Financiero, y","El Financiero, text","El Financiero, color","Sdp, y","Sdp, text","Sdp, color","El Economista, y","El Economista, text","El Economista, color"
5a62ab,05d693,402a26,d81fdf,086095,0c8c94,51d357,11e08c,2ac098,990ca7,7ffa80,b335c1,7bbc39,39626b,2b3f38,7eeb2a,846898,7e74f2,694f28,6f9017,b2156c,bff031,b41ceb,76740b,572c8a,2dd5c0
2018-01-10T20:28:43-06:00,430,"Título: Imagen de niño chino que llega ""congelado"" a la escuela conmueve al mundo <br> Fuente: El Universal","rgb(166,206,227)",2018-01-11T00:00:00,81,Título: Dejaré este mundo “sin lamentarlo”: Alain Delon <br> Fuente: La Jornada,"rgb(31,120,180)",2018-01-10T18:15:14-06:00,91,Título: Una facultad de la UNAM tendrá por primera vez baños mixtos <br> Fuente: Animal Politico,"rgb(178,223,138)",2018-01-11T00:00:00,106,Título: Mhoni Vidente: los horóscopos del fin de semana <br> Fuente: Publimetro,"rgb(51,160,44)",2018-01-10T16:57:57,90,Título: Urge detener el nepotismo en México y en Veracruz: AMLO <br> Fuente: El Financiero,"rgb(251,154,153)",63,Título: Denuncian a Meade ante PGR por presunto desvío de recursos <br> Fuente: Sdp,"rgb(227,26,28)",101,Título: Denuncia a Meade y Rosario Robles en PGR por “Estafa Maestra” <br> Fuente: El Economista,"rgb(253,191,111)"
2018-01-11T09:29:29-06:00,215,"Título: Fallece el guitarrista Eddie Clarke, último miembro de Motörhead <br> Fuente: El Universal","rgb(166,206,227)",2018-01-11T00:00:00,78,Título: Del Toro gana Mejor Director ahora en los premios de la Crítica <br> Fuente: La Jornada,"rgb(31,120,180)",2018-01-11T06:00:08-06:00,50,Título: Plan anticrimen coordinado por Osorio Chong deja 96 mil homicidios <br> Fuente: Animal Politico,"rgb(178,223,138)",,,,,2018-01-10T21:02:06,53,Título: Excluye EU zonas turísticas en 'Informe para viajeros' <br> Fuente: El Financiero,"rgb(251,154,153)",,,,,,
2018-01-11T21:24:42-06:00,156,Título: Atropellan a puma en carretera de Aguascalientes <br> Fuente: El Universal,"rgb(166,206,227)",2018-01-11T00:00:00,75,"Título: Arremete AMLO contra ""nepotismo"" de Yunes Linares <br> Fuente: La Jornada","rgb(31,120,180)",2018-01-10T14:12:36-06:00,42,"Título: Tras años de asilo político, Ecuador otorga ciudadanía a Julian Assange <br> Fuente: Animal Politico","rgb(178,223,138)",,,,,2018-01-11T20:39:16,53,Título: Del Toro gana como Mejor Director en Critics Choice Awards <br> Fuente: El Financiero,"rgb(251,154,153)",,,,,,
2018-01-11T00:42:50-06:00,156,Título: Sale Callo de Hacha del aire; agradece a los “chairos” <br> Fuente: El Universal,"rgb(166,206,227)",2018-01-12T00:00:00,73,Título: La UNAM ya cuenta con dos nuevos futuros astronautas <br> Fuente: La Jornada,"rgb(31,120,180)",,,,,,,,,2018-01-11T18:35:54,53,Título: Los 10 autos más robados con violencia en México <br> Fuente: El Financiero,"rgb(251,154,153)",,,,,,
2018-01-10T18:55:23-06:00,131,Título: Video. Hombre ebrio roba tanque de guerra y choca contra tienda en Rusia <br> Fuente: El Universal,"rgb(166,206,227)",2018-01-11T00:00:00,66,"Título: ""Tenemos que reconstruir a México"", dice Solalinde <br> Fuente: La Jornada","rgb(31,120,180)",,,,,,,,,2018-01-10T19:55:24,49,Título: ¿Viajar de la CDMX a GDL en 38 mins? Musk y Branson lo harán posible <br> Fuente: El Financiero,"rgb(251,154,153)",,,,,,
2018-01-12T08:36:07-06:00,131,"Título: ""La Mano Peluda"" llega a su fin tras 22 años al aire <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T18:31:41-06:00,124,"Título: Lilly Téllez, Sergio Mayer y María Rojo, algunos candidatos de Morena <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-10T12:19:26-06:00,113,Título: FES Iztacala instala baños mixtos en apoyo a la diversidad <br> Fuente: El Universal,"rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
2018-01-11T19:11:34-06:00,110,"Título: Robert De Niro llama ""nuestro bebé en jefe"" a Donald Trump <br> Fuente: El Universal","rgb(166,206,227)",,,,,,,,,,,,,,,,,,,,,,
