"𝜈 = 0.0, x; 𝜈 = 0.1, x; 𝜈 = 0.2, x; 𝜈 = 0.3, x; 𝜈 = 0.4, x; 𝜈 = 0.5, x; 𝜈 = 0.6, x; 𝜈 = 0.7, x; 𝜈 = 0.8, x; 𝜈 = 0.9, x; 𝜈 = 1.0, x; 𝜈 = 1.1, x; 𝜈 = 1.2, x; 𝜈 = 1.3, x; 𝜈 = 1.4, x; 𝜈 = 1.5, x; 𝜈 = 1.6, x; 𝜈 = 1.7, x; 𝜈 = 1.8, x; 𝜈 = 1.9, x; 𝜈 = 2.0, x; 𝜈 = 2.1, x; 𝜈 = 2.2, x; 𝜈 = 2.3, x; 𝜈 = 2.4, x; 𝜈 = 2.5, x; 𝜈 = 2.6, x; 𝜈 = 2.7, x; 𝜈 = 2.8, x; 𝜈 = 2.9, x; 𝜈 = 3.0, x; 𝜈 = 3.1, x; 𝜈 = 3.2, x; 𝜈 = 3.3, x; 𝜈 = 3.4, x; 𝜈 = 3.5, x; 𝜈 = 3.6, x; 𝜈 = 3.7, x; 𝜈 = 3.8, x; 𝜈 = 3.9, x; 𝜈 = 4.0, x; 𝜈 = 4.1, x; 𝜈 = 4.2, x; 𝜈 = 4.3, x; 𝜈 = 4.4, x; 𝜈 = 4.5, x; 𝜈 = 4.6, x; 𝜈 = 4.7, x; 𝜈 = 4.8, x; 𝜈 = 4.9, x","𝜈 = 0.0, y","𝜈 = 0.1, y","𝜈 = 0.2, y","𝜈 = 0.3, y","𝜈 = 0.4, y","𝜈 = 0.5, y","𝜈 = 0.6, y","𝜈 = 0.7, y","𝜈 = 0.8, y","𝜈 = 0.9, y","𝜈 = 1.0, y","𝜈 = 1.1, y","𝜈 = 1.2, y","𝜈 = 1.3, y","𝜈 = 1.4, y","𝜈 = 1.5, y","𝜈 = 1.6, y","𝜈 = 1.7, y","𝜈 = 1.8, y","𝜈 = 1.9, y","𝜈 = 2.0, y","𝜈 = 2.1, y","𝜈 = 2.2, y","𝜈 = 2.3, y","𝜈 = 2.4, y","𝜈 = 2.5, y","𝜈 = 2.6, y","𝜈 = 2.7, y","𝜈 = 2.8, y","𝜈 = 2.9, y","𝜈 = 3.0, y","𝜈 = 3.1, y","𝜈 = 3.2, y","𝜈 = 3.3, y","𝜈 = 3.4, y","𝜈 = 3.5, y","𝜈 = 3.6, y","𝜈 = 3.7, y","𝜈 = 3.8, y","𝜈 = 3.9, y","𝜈 = 4.0, y","𝜈 = 4.1, y","𝜈 = 4.2, y","𝜈 = 4.3, y","𝜈 = 4.4, y","𝜈 = 4.5, y","𝜈 = 4.6, y","𝜈 = 4.7, y","𝜈 = 4.8, y","𝜈 = 4.9, y"
a1bf8d,60e470,00b8f0,835b7d,53c178,fe2eee,3c8926,214b4c,d07ad3,41ba06,662fc2,6bbc44,374497,890a78,e60b44,2d1c79,b2acc0,d27442,e34698,462e00,728b49,bd5b45,a36cb3,d32691,8caf7b,6b70c7,31dded,561e5a,fb4014,298192,8e0d66,dcdcb7,ed1b26,43c944,f91daa,0f9015,c66b83,c2b7ab,1b5a9f,50de52,febc16,cdfb79,2b95a2,0deff8,633961,c19979,eda62a,cac2e9,311688,2ea647,96cac0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0009999998,0.0019999987,0.0029999955,0.0039999893,0.0049999792,0.005999964,0.0069999428,0.0079999147,0.0089998785,0.0099998333,0.0109997782,0.011999712,0.0129996338,0.0139995427,0.0149994375,0.0159993173,0.0169991812,0.017999028,0.0189988569,0.0199986667,0.0209984565,0.0219982254,0.0229979722,0.0239976961,0.0249973959,0.0259970708,0.0269967196,0.0279963415,0.0289959353,0.0299955002,0.0309950351,0.0319945389,0.0329940108,0.0339934497,0.0349928546,0.0359922245,0.0369915584,0.0379908553,0.0389901143,0.0399893342,0.0409885141,0.0419876531,0.0429867501,0.043985804,0.044984814,0.045983779,0.0469826981,0.0479815701,0.0489803942
0.02,0.0,0.0019999987,0.0039999893,0.005999964,0.0079999147,0.0099998333,0.011999712,0.0139995427,0.0159993173,0.017999028,0.0199986667,0.0219982254,0.0239976961,0.0259970708,0.0279963415,0.0299955002,0.0319945389,0.0339934497,0.0359922245,0.0379908553,0.0399893342,0.0419876531,0.043985804,0.045983779,0.0479815701,0.0499791693,0.0519765685,0.0539737598,0.0559707353,0.0579674868,0.0599640065,0.0619602863,0.0639563183,0.0659520944,0.0679476068,0.0699428473,0.0719378081,0.0739324812,0.0759268585,0.0779209321,0.079914694,0.0819081362,0.0839012508,0.0858940299,0.0878864653,0.0898785492,0.0918702736,0.0938616305,0.0958526119,0.09784321
0.03,0.0,0.0029999955,0.005999964,0.0089998785,0.011999712,0.0149994375,0.017999028,0.0209984565,0.0239976961,0.0269967196,0.0299955002,0.0329940108,0.0359922245,0.0389901143,0.0419876531,0.044984814,0.0479815701,0.0509778944,0.0539737598,0.0569691395,0.0599640065,0.0629583338,0.0659520944,0.0689452615,0.0719378081,0.0749297073,0.0779209321,0.0809114556,0.0839012508,0.086890291,0.0898785492,0.0928659985,0.0958526119,0.0988383627,0.101823224,0.1048071688,0.1077901704,0.1107722019,0.1137532364,0.1167332471,0.1197122073,0.12269009,0.1256668685,0.1286425161,0.1316170058,0.134590311,0.1375624049,0.1405332607,0.1435028517,0.1464711512
0.04,0.0,0.0039999893,0.0079999147,0.011999712,0.0159993173,0.0199986667,0.0239976961,0.0279963415,0.0319945389,0.0359922245,0.0399893342,0.043985804,0.0479815701,0.0519765685,0.0559707353,0.0599640065,0.0639563183,0.0679476068,0.0719378081,0.0759268585,0.079914694,0.0839012508,0.0878864653,0.0918702736,0.0958526119,0.0998334166,0.103812624,0.1077901704,0.1117659922,0.1157400256,0.1197122073,0.1236824735,0.1276507609,0.1316170058,0.1355811449,0.1395431146,0.1435028517,0.1474602928,0.1514153744,0.1553680335,0.1593182066,0.1632658307,0.1672108425,0.1711531789,0.1750927769,0.1790295734,0.1829635055,0.1868945101,0.1908225244,0.1947474856
0.05,0.0,0.0049999792,0.0099998333,0.0149994375,0.0199986667,0.0249973959,0.0299955002,0.0349928546,0.0399893342,0.044984814,0.0499791693,0.054972275,0.0599640065,0.0649542388,0.0699428473,0.0749297073,0.079914694,0.0848976828,0.0898785492,0.0948571686,0.0998334166,0.1048071688,0.1097783008,0.1147466884,0.1197122073,0.1246747334,0.1296341426,0.134590311,0.1395431146,0.1444924297,0.1494381325,0.1543800993,0.1593182066,0.164252331,0.1691823491,0.1741081376,0.1790295734,0.1839465335,0.188858895,0.193766535,0.1986693308,0.2035671599,0.2084598998,0.2133474283,0.2182296231,0.2231063621,0.2279775235,0.2328429855,0.2377026264,0.2425563248
0.06,0.0,0.005999964,0.011999712,0.017999028,0.0239976961,0.0299955002,0.0359922245,0.0419876531,0.0479815701,0.0539737598,0.0599640065,0.0659520944,0.0719378081,0.0779209321,0.0839012508,0.0898785492,0.0958526119,0.101823224,0.1077901704,0.1137532364,0.1197122073,0.1256668685,0.1316170058,0.1375624049,0.1435028517,0.1494381325,0.1553680335,0.1612923412,0.1672108425,0.1731233242,0.1790295734,0.1849293776,0.1908225244,0.1967088016,0.2025879973,0.2084598998,0.2143242979,0.2201809802,0.2260297361,0.2318703549,0.2377026264,0.2435263407,0.249341288,0.2551472591,0.2609440449,0.2667314367,0.2725092262,0.2782772054,0.2840351667,0.2897829028
0.07,0.0,0.0069999428,0.0139995427,0.0209984565,0.0279963415,0.0349928546,0.0419876531,0.0489803942,0.0559707353,0.0629583338,0.0699428473,0.0769239337,0.0839012508,0.0908744568,0.09784321,0.1048071688,0.1117659922,0.118719339,0.1256668685,0.1326082405,0.1395431146,0.1464711512,0.1533920107,0.1603053541,0.1672108425,0.1741081376,0.1809969014,0.1878767965,0.1947474856,0.2016086321,0.2084598998,0.2153009531,0.2221314566,0.2289510758,0.2357594764,0.2425563248,0.249341288,0.2561140335,0.2628742295,0.2696215448,0.2763556486,0.283076211,0.2897829028,0.2964753952,0.3031533605,0.3098164712,0.3164644011,0.3230968242,0.3297134156,0.3363138512
0.08,0.0,0.0079999147,0.0159993173,0.0239976961,0.0319945389,0.0399893342,0.0479815701,0.0559707353,0.0639563183,0.0719378081,0.079914694,0.0878864653,0.0958526119,0.103812624,0.1117659922,0.1197122073,0.1276507609,0.1355811449,0.1435028517,0.1514153744,0.1593182066,0.1672108425,0.1750927769,0.1829635055,0.1908225244,0.1986693308,0.2065034224,0.2143242979,0.2221314566,0.2299243991,0.2377026264,0.2454656409,0.2532129456,0.2609440449,0.2686584437,0.2763556486,0.2840351667,0.2916965067,0.2993391783,0.3069626922,0.3145665606,0.3221502969,0.3297134156,0.3372554329,0.3447758658,0.3522742333,0.3597500553,0.3672028534,0.3746321507,0.3820374716
