x,y
a2a4fb,4db9d8
04-01-2018_22:42:01,51
04-01-2018_22:44:02,50
04-01-2018_22:46:01,50
04-01-2018_22:48:01,51
04-01-2018_22:50:01,50
04-01-2018_22:52:01,51
04-01-2018_22:54:01,53
04-01-2018_22:56:01,50
04-01-2018_22:58:01,52
04-01-2018_23:00:01,50
04-01-2018_23:02:01,50
04-01-2018_23:04:01,50
04-01-2018_23:06:01,51
04-01-2018_23:08:01,51
04-01-2018_23:10:01,50
04-01-2018_23:12:01,50
04-01-2018_23:14:01,50
04-01-2018_23:16:01,50
04-01-2018_23:18:01,50
04-01-2018_23:20:01,50
04-01-2018_23:22:01,50
04-01-2018_23:24:01,61
04-01-2018_23:26:01,65
04-01-2018_23:28:01,61
04-01-2018_23:30:01,53
04-01-2018_23:32:01,54
04-01-2018_23:34:01,53
04-01-2018_23:36:01,54
04-01-2018_23:38:01,55
04-01-2018_23:40:01,59
04-01-2018_23:42:01,67
04-01-2018_23:44:01,56
04-01-2018_23:46:01,53
04-01-2018_23:48:01,52
04-01-2018_23:50:01,52
04-01-2018_23:52:01,50
04-01-2018_23:54:01,65
04-01-2018_23:56:01,69
04-01-2018_23:58:01,54
05-01-2018_00:00:01,53
05-01-2018_00:02:01,52
05-01-2018_00:04:01,51
05-01-2018_00:06:01,54
05-01-2018_00:08:01,50
05-01-2018_00:10:01,50
05-01-2018_00:12:01,50
05-01-2018_00:14:01,51
05-01-2018_00:16:01,51
05-01-2018_00:18:01,53
05-01-2018_00:20:01,50
05-01-2018_00:22:01,75
05-01-2018_00:24:01,55
05-01-2018_00:26:01,52
05-01-2018_00:28:01,59
05-01-2018_00:30:01,79
05-01-2018_00:32:02,69
05-01-2018_00:34:01,56
05-01-2018_00:36:01,54
05-01-2018_00:38:01,52
05-01-2018_00:40:01,52
05-01-2018_00:41:01,52
05-01-2018_00:42:01,51
05-01-2018_00:43:02,52
05-01-2018_00:44:01,51
05-01-2018_00:45:01,54
05-01-2018_00:46:01,51
05-01-2018_00:47:01,51
05-01-2018_00:48:01,51
05-01-2018_00:49:01,50
05-01-2018_00:50:01,50
05-01-2018_00:51:01,51
05-01-2018_00:52:01,51
05-01-2018_00:53:01,52
05-01-2018_00:54:01,54
05-01-2018_00:55:01,51
05-01-2018_00:56:01,52
05-01-2018_00:57:01,52
05-01-2018_00:58:02,51
05-01-2018_00:59:01,51
05-01-2018_01:00:01,52
05-01-2018_01:01:01,51
05-01-2018_01:02:01,51
05-01-2018_01:03:01,54
05-01-2018_01:04:01,51
05-01-2018_01:05:01,51
05-01-2018_01:06:01,54
05-01-2018_01:07:01,53
05-01-2018_01:08:01,52
05-01-2018_01:09:01,53
05-01-2018_01:10:01,53
05-01-2018_01:11:01,52
05-01-2018_01:12:01,56
05-01-2018_01:13:01,52
05-01-2018_01:14:01,52
05-01-2018_01:15:01,53
05-01-2018_01:16:01,52
05-01-2018_01:17:01,53
05-01-2018_01:18:01,52
05-01-2018_01:19:01,51
05-01-2018_01:20:01,51
05-01-2018_01:21:01,54
05-01-2018_01:22:01,51
05-01-2018_01:23:01,52
05-01-2018_01:24:01,52
05-01-2018_01:25:01,51
05-01-2018_01:26:01,50
05-01-2018_01:27:01,52
05-01-2018_01:28:01,50
05-01-2018_01:29:01,51
05-01-2018_01:30:01,52
05-01-2018_01:31:01,51
05-01-2018_01:32:01,51
05-01-2018_01:33:01,55
05-01-2018_01:34:01,50
05-01-2018_01:35:01,51
05-01-2018_01:36:01,54
05-01-2018_01:37:01,51
05-01-2018_01:38:01,51
05-01-2018_01:39:01,54
05-01-2018_01:40:01,51
05-01-2018_01:41:01,52
05-01-2018_01:42:01,52
05-01-2018_01:43:01,51
05-01-2018_01:44:01,51
05-01-2018_01:45:01,54
05-01-2018_01:46:01,51
05-01-2018_01:47:01,52
05-01-2018_01:48:01,52
05-01-2018_01:49:01,51
05-01-2018_01:50:01,51
05-01-2018_01:51:01,53
05-01-2018_01:52:01,51
05-01-2018_01:53:01,51
05-01-2018_01:54:01,51
05-01-2018_01:55:01,51
05-01-2018_01:56:01,52
05-01-2018_01:57:01,51
05-01-2018_01:58:01,51
05-01-2018_01:59:01,51
05-01-2018_02:00:02,55
05-01-2018_02:01:01,52
05-01-2018_02:02:01,51
05-01-2018_02:03:01,53
05-01-2018_02:04:01,53
05-01-2018_02:05:01,52
05-01-2018_02:06:01,53
05-01-2018_02:07:01,52
05-01-2018_02:08:01,52
05-01-2018_02:09:01,52
05-01-2018_02:10:01,51
05-01-2018_02:11:01,51
05-01-2018_02:12:01,51
05-01-2018_02:13:01,51
05-01-2018_02:14:01,52
05-01-2018_02:15:01,52
05-01-2018_02:16:01,51
05-01-2018_02:17:01,52
05-01-2018_02:18:01,54
05-01-2018_02:19:01,51
05-01-2018_02:20:01,52
05-01-2018_02:21:01,52
05-01-2018_02:22:01,50
05-01-2018_02:23:01,51
05-01-2018_02:24:01,51
05-01-2018_02:25:01,51
05-01-2018_02:26:01,50
05-01-2018_02:27:01,54
05-01-2018_02:28:02,57
05-01-2018_02:29:01,54
05-01-2018_02:30:01,53
05-01-2018_02:31:01,52
05-01-2018_02:32:01,52
05-01-2018_02:33:01,52
05-01-2018_02:34:01,52
05-01-2018_02:35:01,51
05-01-2018_02:36:01,52
05-01-2018_02:37:01,51
05-01-2018_02:38:01,50
05-01-2018_02:39:01,54
05-01-2018_02:40:01,52
05-01-2018_02:41:01,51
05-01-2018_02:42:01,54
05-01-2018_02:43:01,52
05-01-2018_02:44:01,51
05-01-2018_02:45:01,53
05-01-2018_02:46:01,51
05-01-2018_02:47:01,51
05-01-2018_02:48:01,51
05-01-2018_02:49:01,51
05-01-2018_02:50:01,52
05-01-2018_02:51:01,54
05-01-2018_02:52:01,52
05-01-2018_02:53:01,52
05-01-2018_02:54:01,52
05-01-2018_02:55:01,52
05-01-2018_02:56:01,51
05-01-2018_02:57:01,52
05-01-2018_02:58:01,52
05-01-2018_02:59:01,51
05-01-2018_03:00:01,51
05-01-2018_03:01:01,51
05-01-2018_03:02:01,51
05-01-2018_03:03:01,51
05-01-2018_03:04:01,51
05-01-2018_03:05:01,51
05-01-2018_03:06:01,51
05-01-2018_03:07:01,51
05-01-2018_03:08:01,51
05-01-2018_03:09:01,52
05-01-2018_03:10:01,51
05-01-2018_03:11:01,51
05-01-2018_03:12:01,52
05-01-2018_03:13:01,51
05-01-2018_03:14:01,51
05-01-2018_03:15:01,52
05-01-2018_03:16:01,51
05-01-2018_03:17:01,51
05-01-2018_03:18:01,51
05-01-2018_03:19:01,50
05-01-2018_03:20:01,50
05-01-2018_03:21:01,54
05-01-2018_03:22:01,51
05-01-2018_03:23:01,50
05-01-2018_03:24:01,53
05-01-2018_03:25:01,52
05-01-2018_03:26:01,51
05-01-2018_03:27:01,51
05-01-2018_03:28:01,51
05-01-2018_03:29:01,51
05-01-2018_03:30:01,51
05-01-2018_03:31:01,52
05-01-2018_03:32:01,51
05-01-2018_03:33:01,52
05-01-2018_03:34:01,51
05-01-2018_03:35:01,50
05-01-2018_03:36:01,53
05-01-2018_03:37:01,51
05-01-2018_03:38:01,50
05-01-2018_03:39:01,52
05-01-2018_03:40:01,50
