"Br1301, x","Br1301, y","Br1601 10min medel, x","Br1601 10min medel, y","Br1602, x","Br1602, y","Br1301 (1), x","Br1301 (1), y","Br1601, x","Br1601, y","Br1602 (1), x","Br1602 (1), y"
451e16,0b9c65,048881,56a3fb,6e6224,177c95,58f057,d9920a,b6704f,2b9e90,4cd415,d5cff3
2017-12-12 20:30:10,0.0875737135,2017-12-12 20:10:00,0.0186524037,2017-12-12 20:16:05,-0.3132699634,2017-12-12 20:20:05,69.333,2017-12-12 20:20:10,96.834,2017-12-12 20:20:10,81.605
2017-12-12 21:00:10,0.0935737135,2017-12-12 20:20:00,0.0099524037,2017-12-12 20:17:05,-0.3192699634,2017-12-12 20:25:05,70.0,2017-12-12 20:25:05,96.678,2017-12-12 20:25:10,80.399
2017-12-12 21:30:10,0.0725737135,2017-12-12 20:30:00,0.0153524037,2017-12-12 20:18:05,-0.3352699634,2017-12-12 20:30:21,70.0,2017-12-12 20:30:10,97.0,2017-12-12 20:30:10,84.333
2017-12-12 22:00:10,0.0875737135,2017-12-12 20:40:00,0.0183524037,2017-12-12 20:19:05,-0.3132699634,2017-12-12 20:35:05,69.333,2017-12-12 20:35:05,96.834,2017-12-12 20:35:10,83.667
2017-12-12 22:30:10,0.0815737135,2017-12-12 20:50:00,0.0165524037,2017-12-12 20:20:10,-0.3132699634,2017-12-12 20:40:05,69.667,2017-12-12 20:40:10,97.325,2017-12-12 20:40:10,83.333
2017-12-12 23:00:10,0.0785737135,2017-12-12 21:00:00,0.0153524037,2017-12-12 20:21:05,-0.3382699634,2017-12-12 20:45:05,69.333,2017-12-12 20:45:05,97.0,2017-12-12 20:45:10,83.0
2017-12-12 23:30:10,0.0725737135,2017-12-12 21:10:00,0.0103524037,2017-12-12 20:22:05,-0.3352699634,2017-12-12 20:50:05,70.0,2017-12-12 20:50:10,97.0,2017-12-12 20:50:10,82.333
2017-12-13 00:00:10,0.0635737135,2017-12-12 21:20:00,0.0097524037,2017-12-12 20:23:05,-0.3252699634,2017-12-12 20:55:05,70.333,2017-12-12 20:55:05,96.678,2017-12-12 20:55:10,83.333
2017-12-13 00:30:10,0.0785737135,2017-12-12 21:30:00,0.0127524037,2017-12-12 20:24:05,-0.3222699634,2017-12-12 21:00:21,69.333,2017-12-12 21:00:10,96.834,2017-12-12 21:00:10,80.333
2017-12-13 01:00:10,0.0635737135,2017-12-12 21:40:00,0.0195524037,2017-12-12 20:25:10,-0.3072699634,2017-12-12 21:05:05,70.0,2017-12-12 21:05:05,97.325,2017-12-12 21:05:10,81.727
