"Br0701, x","Br0701, y","Br9101Ka, x","Br9101Ka, y","R94, x","R94, y","pumpens ung nivå, x","pumpens ung nivå, y","17095, x","17095, y"
eff26f,1af254,247894,118335,88f68b,ccf6cc,6ae00c,c1851e,a31ea8,47fd90
2017-11-07 20:28:36,15.8357253229,2017-11-07 20:28:36,19.9430510254,0.0,0.0,2017-11-07 21:19:41.634226,12.5,2017-05-16 14:30:00,18.63714125
2017-11-07 20:38:38,15.8624703587,2017-11-07 20:38:38,19.9258577881,,,2018-01-12 21:19:41.634236,12.5,2017-05-16 15:00:00,18.63835125
2017-11-07 20:48:40,15.8213473525,2017-11-07 20:48:40,19.9313877767,,,,,2017-05-16 15:30:00,18.64039125
2017-11-07 20:58:41,15.8363285944,2017-11-07 20:58:41,19.9267626953,,,,,2017-05-16 16:00:00,18.63719125
2017-11-07 21:08:43,15.8187331761,2017-11-07 21:08:43,19.938425944,,,,,2017-05-16 16:30:00,18.63873125
2017-11-07 21:18:45,15.8217495335,2017-11-07 21:18:45,19.9331975911,,,,,2017-05-16 17:00:00,18.63910125
2017-11-07 21:28:47,15.8186326309,2017-11-07 21:28:47,19.920931071,,,,,2017-05-16 17:30:00,18.63914125
2017-11-07 21:38:48,15.8247658909,2017-11-07 21:38:48,19.9273659668,,,,,2017-05-16 18:00:00,18.64035125
2017-11-07 21:48:50,15.8257713434,2017-11-07 21:48:50,19.9172108968,,,,,2017-05-16 18:30:00,18.64210125
2017-11-07 21:58:51,15.8271789769,2017-11-07 21:58:51,19.9046427409,,,,,2017-05-16 19:00:00,18.64210125
2017-11-07 22:08:53,15.8400487685,2017-11-07 22:08:53,19.9419450277,,,,,2017-05-16 19:30:00,18.64060125
2017-11-07 22:18:54,15.8116950088,2017-11-07 22:18:54,19.9292763265,,,,,2017-05-16 20:00:00,18.64085125
2017-11-07 22:28:56,15.8485951146,2017-11-07 22:28:56,19.9449613851,,,,,2017-05-16 20:30:00,18.64235125
2017-11-07 22:38:58,15.8600572728,2017-11-07 22:38:58,19.9149989014,,,,,2017-05-16 21:00:00,18.64269125
2017-11-07 22:49:00,15.8354236872,2017-11-07 22:49:00,19.9275670573,,,,,2017-05-16 21:30:00,18.63890125
2017-11-07 22:59:02,15.8323067845,2017-11-07 22:59:02,19.930281779,,,,,2017-05-16 22:00:00,18.63802125
2017-11-07 23:09:04,15.820744081,2017-11-07 23:09:04,19.9498881022,,,,,2017-05-16 22:30:00,18.63860125
2017-11-07 23:19:05,15.8230566217,2017-11-07 23:19:05,19.9236457926,,,,,2017-05-16 23:00:00,18.63860125
2017-11-07 23:29:07,15.8201408096,2017-11-07 23:29:07,19.9287736003,,,,,2017-05-16 23:30:00,18.64073125
2017-11-07 23:39:09,15.8314018773,2017-11-07 23:39:09,19.9141945394,,,,,2017-05-17 00:00:00,18.63994125
2017-11-07 23:49:11,15.8093824681,2017-11-07 23:49:11,19.927868693,,,,,2017-05-17 00:30:00,18.63969125
2017-11-07 23:59:13,15.8232577122,2017-11-07 23:59:13,19.9250534261,,,,,2017-05-17 01:00:00,18.64002125
2017-11-08 00:09:14,15.8170239069,2017-11-08 00:09:14,19.9155016276,,,,,2017-05-17 01:30:00,18.64123125
2017-11-08 00:19:16,15.7995290338,2017-11-08 00:19:16,19.9057487386,,,,,2017-05-17 02:00:00,18.64185125
2017-11-08 00:29:18,15.8176271784,2017-11-08 00:29:18,19.911178182,,,,,2017-05-17 02:30:00,18.64244125
2017-11-08 00:39:20,15.8286871556,2017-11-08 00:39:20,19.9215343424,,,,,2017-05-17 03:00:00,18.64127125
2017-11-08 00:49:21,15.8114939183,2017-11-08 00:49:21,19.9210316162,,,,,2017-05-17 03:30:00,18.64190125
2017-11-08 00:59:22,15.8118960993,2017-11-08 00:59:22,19.9367166748,,,,,2017-05-17 04:00:00,18.64135125
2017-11-08 01:09:23,15.8232577122,2017-11-08 01:09:23,19.9171103516,,,,,2017-05-17 04:30:00,18.63906125
2017-11-08 01:19:25,15.8095835586,2017-11-08 01:19:25,19.9242490641,,,,,2017-05-17 05:00:00,18.64319125
2017-11-08 01:29:29,15.8103879206,2017-11-08 01:29:29,19.9346052246,,,,,2017-05-17 05:30:00,18.64139125
2017-11-08 01:39:30,15.8273800674,2017-11-08 01:39:30,19.9291757812,,,,,2017-05-17 06:00:00,18.64135125
2017-11-08 01:49:33,15.8201408096,2017-11-08 01:49:33,19.939632487,,,,,2017-05-17 06:30:00,18.63823125
2017-11-08 01:59:35,15.8271789769,2017-11-08 01:59:35,19.908362915,,,,,2017-05-17 07:00:00,18.63919125
2017-11-08 02:09:37,15.8075726536,2017-11-08 02:09:37,19.9314883219,,,,,2017-05-17 07:30:00,18.64123125
2017-11-08 02:19:38,15.8332116917,2017-11-08 02:19:38,19.9386270345,,,,,2017-05-17 08:00:00,18.63919125
2017-11-08 02:29:40,15.8174260879,2017-11-08 02:29:40,19.9263605143,,,,,2017-05-17 08:30:00,18.64031125
2017-11-08 02:39:41,15.8230566217,2017-11-08 02:39:41,19.9258577881,,,,,2017-05-17 09:00:00,18.64027125
2017-11-08 02:49:42,15.8566387344,2017-11-08 02:49:42,19.9236457926,,,,,2017-05-17 09:30:00,18.63835125
