"F-bland dygnsmedel fr drift-db, x","F-bland dygnsmedel fr drift-db, y","F-bland dygnsmedel fr månadsrapport, x","F-bland dygnsmedel fr månadsrapport, y","Br9901 momentant, x","Br9901 momentant, y","17098+17099(Br1701+Br1702), x","17098+17099(Br1701+Br1702), y","17097(Br1703), x","17097(Br1703), y"
0e78f3,e6f2af,cd3e5b,de51d9,95e613,a457b6,e1e1c5,d824d2,b27689,ca3cbd
2016-01-01 00:00:00,3.5444579784,2013-09-30 00:00:00,3.480062724,2016-12-12 14:30:00,2.22224,2017-06-14 12:13:12,-2.0,2017-07-10 09:17:08,0.3250633464
2016-01-02 00:00:00,3.5351013966,2013-10-01 00:00:00,,2016-12-12 14:33:00,0.0,2017-06-14 12:23:13,-2.0,2017-07-18 10:40:00,0.3250633464
2016-01-03 00:00:00,3.5832341358,2013-10-02 00:00:00,,2016-12-12 14:35:00,0.0,2017-06-14 12:33:15,-2.0,2017-07-19 07:45:00,0.393939394
2016-01-04 00:00:00,3.4946853858,2013-10-03 00:00:00,,2016-12-27 08:26:07,2.22224,2017-06-14 12:43:17,-2.0,2017-08-01 13:06:06,0.3963356459
2016-01-05 00:00:00,3.3685177932,2013-10-04 00:00:00,,2016-12-27 09:29:38,4.1667,2017-06-14 12:53:19,-2.0,2017-08-14 13:09:42,0.3613977369
2016-01-06 00:00:00,3.7922594676,2013-10-05 00:00:00,,2016-12-27 10:29:48,4.1667,2017-06-14 13:03:20,-2.0,2017-08-28 09:30:56,0.1537852055
2016-01-07 00:00:00,3.6171874074,2013-10-06 00:00:00,,2016-12-27 13:17:36,4.1667,2017-06-14 13:13:22,-2.0,2017-09-11 11:01:43,0.0617260073
2016-01-08 00:00:00,3.4098022068,2013-10-07 00:00:00,,2016-12-27 15:02:37,4.1667,2017-06-14 13:23:23,-2.0,2017-09-14 13:11:41,-0.0337081177
2016-01-09 00:00:00,3.6790173534,2013-10-08 00:00:00,,2016-12-28 07:08:31,4.1667,2017-06-14 13:33:25,-2.0,2017-09-26 10:25:25,0.2356781688
2016-01-10 00:00:00,3.853606875,2013-10-09 00:00:00,,2016-12-28 09:27:53,4.1667,2017-06-14 13:43:26,-2.0,2017-10-09 11:09:52,0.2096162335
2016-01-11 00:00:00,3.6333925926,2013-10-10 00:00:00,,2016-12-28 13:44:47,4.1667,2017-06-14 13:53:28,-2.0,2017-10-30 10:31:25,0.2290169434
2016-01-12 00:00:00,3.5397314892,2013-10-11 00:00:00,,2016-12-29 08:11:25,4.1667,2017-06-14 14:03:29,-2.0,2017-12-20 08:18:25,0.3042001446
2016-01-13 00:00:00,3.2237339892,2013-10-12 00:00:00,,2017-01-02 07:24:08,4.1667,2017-06-14 14:13:30,0.3562336328,,
2016-01-14 00:00:00,3.4771300926,2013-10-13 00:00:00,,2017-01-04 10:38:08,4.1667,2017-06-14 14:17:08,0.3541101172,,
2016-01-15 00:00:00,3.7174076466,2013-10-14 00:00:00,,2017-01-05 11:07:09,4.72226,2017-06-14 14:19:10,0.3556544922,,
2016-01-16 00:00:00,3.5517888426,2013-10-15 00:00:00,,2017-01-09 11:32:51,4.72226,2017-06-14 14:21:11,0.3556544922,,
2016-01-17 00:00:00,3.8221615818,2013-10-16 00:00:00,,2017-01-10 10:19:31,4.72226,2017-06-14 14:23:12,0.3558475391,,
2016-01-18 00:00:00,3.8402955324,2013-10-17 00:00:00,,2017-01-11 13:12:00,4.72226,2017-06-14 14:25:14,0.3560405859,,
