"Br9901, x","Br9901, y","Br9102, x","Br9102, y","Br9901 manuellt, x","Br9901 manuellt, y","Br9102 manuellt, x","Br9102 manuellt, y","ök. brunnsfilter Br9901, x; ök. brunnsfilter Br9102, x","ök. brunnsfilter Br9901, y","ök. brunnsfilter Br9102, y"
b6fd86,1e21c1,0660d2,8b39f1,89ba98,39c774,5ff4de,b9df3c,39485e,a34a08,1cc75a
2017-11-07 20:18:57,15.8120506575,2017-11-07 20:18:57,16.4733532292,2017-12-20 08:29:29,18.58421,2017-12-20 08:20:43,18.62741,2017-11-07 21:18:36.220459,11.96421,13.96
2017-11-07 20:29:00,15.8097381169,2017-11-07 20:29:00,16.4717445052,,,,,2018-01-12 21:18:36.220469,11.96421,13.96
2017-11-07 20:39:01,15.8081293929,2017-11-07 20:39:01,16.470035236,,,,,,,
2017-11-07 20:49:02,15.8056157617,2017-11-07 20:49:02,16.4695325098,,,,,,,
2017-11-07 20:59:03,15.8066212142,2017-11-07 20:59:03,16.4678232406,,,,,,,
2017-11-07 21:09:04,15.8058168522,2017-11-07 21:09:04,16.4683259668,,,,,,,
2017-11-07 21:19:07,15.804509764,2017-11-07 21:19:07,16.4676221501,,,,,,,
2017-11-07 21:29:09,15.8044092187,2017-11-07 21:29:09,16.4676221501,,,,,,,
2017-11-07 21:39:10,15.8023983138,2017-11-07 21:39:10,16.4654101546,,,,,,,
2017-11-07 21:49:11,15.7988792301,2017-11-07 21:49:11,16.4648068831,,,,,,,
2017-11-07 21:59:13,15.8018955876,2017-11-07 21:59:13,16.4642036116,,,,,,,
2017-11-07 22:09:14,15.8001863184,2017-11-07 22:09:14,16.4633992497,,,,,,,
2017-11-07 22:19:15,15.7985775944,2017-11-07 22:19:15,16.4621927067,,,,,,,
2017-11-07 22:29:19,15.7998846826,2017-11-07 22:29:19,16.4619916162,,,,,,,
2017-11-07 22:39:20,15.7979743229,2017-11-07 22:39:20,16.4615894352,,,,,,,
2017-11-07 22:49:21,15.7988792301,2017-11-07 22:49:21,16.4607850732,,,,,,,
2017-11-07 22:59:22,15.7976726872,2017-11-07 22:59:22,16.4605839827,,,,,,,
2017-11-07 23:09:24,15.794756875,2017-11-07 23:09:24,16.4601818018,,,,,,,
2017-11-07 23:19:25,15.7965666894,2017-11-07 23:19:25,16.4592768945,,,,,,,
2017-11-07 23:29:27,15.7954606917,2017-11-07 23:29:27,16.4588747135,,,,,,,
2017-11-07 23:39:28,15.7958628727,2017-11-07 23:39:28,16.4591763493,,,,,,,
2017-11-07 23:49:30,15.7924443343,2017-11-07 23:49:30,16.4585730778,,,,,,,
2017-11-07 23:59:31,15.7945557845,2017-11-07 23:59:31,16.4576681706,,,,,,,
2017-11-08 00:09:32,16.8604359521,2017-11-08 00:09:32,16.5538899723,,,,,,,
2017-11-08 00:19:34,16.8938169743,2017-11-08 00:19:34,16.5837519108,,,,,,,
2017-11-08 00:29:36,16.9147303857,2017-11-08 00:29:36,16.6013473291,,,,,,,
2017-11-08 00:39:37,16.9309181706,2017-11-08 00:39:37,16.6153231185,,,,,,,
2017-11-08 00:49:38,16.9446928695,2017-11-08 00:49:38,16.6263830957,,,,,,,
2017-11-08 00:59:39,16.9558533919,2017-11-08 00:59:39,16.6363370752,,,,,,,
2017-11-08 01:09:41,16.9673155501,2017-11-08 01:09:41,16.6461905094,,,,,,,
2017-11-08 01:19:42,16.9766662581,2017-11-08 01:19:42,16.6542341292,,,,,,,
2017-11-08 01:29:44,16.9848104232,2017-11-08 01:29:44,16.6612722965,,,,,,,
2017-11-08 01:39:45,16.9927534977,2017-11-08 01:39:45,16.6685115544,,,,,,,
2017-11-08 01:49:46,16.9991883935,2017-11-08 01:49:46,16.6743431787,,,,,,,
2017-11-08 01:59:48,17.0061260156,2017-11-08 01:59:48,16.680576984,,,,,,,
2017-11-08 02:09:49,17.0116560042,2017-11-08 02:09:49,16.6856042464,,,,,,,
2017-11-08 02:19:50,17.0166832666,2017-11-08 02:19:50,16.6906315088,,,,,,,
2017-11-08 02:29:52,17.0218110742,2017-11-08 02:29:52,16.6950554997,,,,,,,
2017-11-08 02:39:53,17.0257323389,2017-11-08 02:39:53,16.6984740381,,,,,,,
2017-11-08 02:49:54,17.0296536035,2017-11-08 02:49:54,16.702495848,,,,,,,
2017-11-08 02:59:56,17.0367923161,2017-11-08 02:59:56,16.7091318343,,,,,,,
2017-11-08 03:09:57,17.0399092188,2017-11-08 03:09:57,16.7119471012,,,,,,,
2017-11-08 03:19:58,17.0428250309,2017-11-08 03:19:58,16.7145612777,,,,,,,
2017-11-08 03:30:00,17.0454392074,2017-11-08 03:30:00,16.7164716374,,,,,,,
2017-11-08 03:40:02,17.0482544743,2017-11-08 03:40:02,16.7197896305,,,,,,,
2017-11-08 03:50:03,17.0517735579,2017-11-08 03:50:03,16.7234092594,,,,,,,
2017-11-08 04:00:04,17.0544882796,2017-11-08 04:00:04,16.7257218001,,,,,,,
2017-11-08 04:10:07,17.0580073633,2017-11-08 04:10:07,16.7287381575,,,,,,,
2017-11-08 04:20:09,17.0604204492,2017-11-08 04:20:09,16.731352334,,,,,,,
2017-11-08 04:30:10,17.0622302637,2017-11-08 04:30:10,16.7331621484,,,,,,,
2017-11-08 04:40:11,17.0651460758,2017-11-08 04:40:11,16.7357763249,,,,,,,
2017-11-08 04:50:13,17.0674586165,2017-11-08 04:50:13,16.7388932275,,,,,,,
2017-11-08 05:00:14,17.0699722477,2017-11-08 05:00:14,16.7405019515,,,,,,,
2017-11-08 05:10:15,17.0731896956,2017-11-08 05:10:15,16.7436188542,,,,,,,
2017-11-08 05:20:17,17.0755022363,2017-11-08 05:20:17,16.7457303044,,,,,,,
2017-11-08 05:30:19,17.0787196842,2017-11-08 05:30:19,16.748847207,,,,,,,
2017-11-08 05:40:20,17.0795240462,2017-11-08 05:40:20,16.749651569,,,,,,,
2017-11-08 05:50:21,17.0801273177,2017-11-08 05:50:21,16.7505564762,,,,,,,
2017-11-08 06:00:23,17.0822387679,2017-11-08 06:00:23,16.7524668359,,,,,,,
2017-11-08 06:10:24,17.0838474919,2017-11-08 06:10:24,16.7543771956,,,,,,,
2017-11-08 06:20:25,17.0859589421,2017-11-08 06:20:25,16.7557848291,,,,,,,
2017-11-08 06:30:27,17.0880703922,2017-11-08 06:30:27,16.7578962793,,,,,,,
2017-11-08 06:40:28,17.0902823877,2017-11-08 06:40:28,16.7601082747,,,,,,,
2017-11-08 06:50:30,17.0914889307,2017-11-08 06:50:30,16.7608120915,,,,,,,
2017-11-08 07:00:31,16.0247038558,2017-11-08 07:00:31,16.664690835,,,,,,,
2017-11-08 07:10:32,15.9942386458,2017-11-08 07:10:32,16.6372419824,,,,,,,
2017-11-08 07:20:33,15.9766432275,2017-11-08 07:20:33,16.6212552881,,,,,,,
2017-11-08 07:30:35,15.9616619857,2017-11-08 07:30:35,16.6093909489,,,,,,,
2017-11-08 07:40:37,15.9517080062,2017-11-08 07:40:37,16.6008446029,,,,,,,
2017-11-08 07:50:38,15.9396425765,2017-11-08 07:50:38,16.5925998926,,,,,,,
2017-11-08 08:00:39,15.9315989567,2017-11-08 08:00:39,16.5839530013,,,,,,,
2017-11-08 08:10:41,15.9265716943,2017-11-08 08:10:41,16.5799311914,,,,,,,
2017-11-08 08:20:42,15.9181258936,2017-11-08 08:20:42,16.5744012028,,,,,,,
2017-11-08 08:30:44,15.9134002669,2017-11-08 08:30:44,16.5686701237,,,,,,,
2017-11-08 08:40:45,15.9094790023,2017-11-08 08:40:45,16.5638439518,,,,,,,
2017-11-08 08:50:47,15.9042506494,2017-11-08 08:50:47,16.5595205062,,,,,,,
2017-11-08 09:00:48,15.8997261133,2017-11-08 09:00:48,16.5563030583,,,,,,,
2017-11-08 09:10:49,15.8966092106,2017-11-08 09:10:49,16.5534877913,,,,,,,
2017-11-08 09:20:51,15.8931906722,2017-11-08 09:20:51,16.5518790674,,,,,,,
2017-11-08 09:30:52,15.8887666813,2017-11-08 09:30:52,16.5477567122,,,,,,,
2017-11-08 09:40:54,15.8870574121,2017-11-08 09:40:54,16.545243081,,,,,,,
2017-11-08 09:50:55,15.8835383285,2017-11-08 09:50:55,16.5438354476,,,,,,,
2017-11-08 10:00:56,15.881728514,2017-11-08 10:00:56,16.5402158187,,,,,,,
2017-11-08 10:10:58,15.8762990706,2017-11-08 10:10:58,16.537903278,,,,,,,
2017-11-08 10:20:59,15.8740870752,2017-11-08 10:20:59,16.5324738346,,,,,,,
2017-11-08 10:31:01,16.9207631006,2017-11-08 10:31:01,16.6124073063,,,,,,,
2017-11-08 10:41:02,16.9634948307,2017-11-08 10:41:02,16.6513183171,,,,,,,
2017-11-08 10:51:04,16.9867207829,2017-11-08 10:51:04,16.671226276,,,,,,,
2017-11-08 11:01:06,15.99795882,2017-11-08 11:01:06,16.6436768783,,,,,,,
2017-11-08 11:11:08,15.9387376693,2017-11-08 11:11:08,16.5899857162,,,,,,,
2017-11-08 11:21:10,15.9224493392,2017-11-08 11:21:10,16.5748033838,,,,,,,
2017-11-08 11:31:12,15.9114899072,2017-11-08 11:31:12,16.5662570378,,,,,,,
2017-11-08 11:41:13,15.9051555566,2017-11-08 11:41:13,16.5605259587,,,,,,,
2017-11-08 11:51:14,15.8975141178,2017-11-08 11:51:14,16.5533872461,,,,,,,
