"countB, x","countB, y","mS/m ADC8, x","mS/m ADC8, y"
64d949,10c8a2,8e1e18,158feb
2017-11-07 20:28:36,1.2354409337,2017-11-07 20:28:36,61.2454842122
2017-11-07 20:38:37,1.2354409337,2017-11-07 20:38:38,40.175222168
2017-11-07 20:48:40,1.2331674994,2017-11-07 20:48:40,40.3903889974
2017-11-07 20:58:41,1.2357737124,2017-11-07 20:58:41,38.8078068034
2017-11-07 21:08:43,1.2333886968,2017-11-07 21:08:43,37.4635168457
2017-11-07 21:18:45,1.2343853745,2017-11-07 21:18:45,34.6261299642
2017-11-07 21:28:47,1.2343853951,2017-11-07 21:28:47,40.811673584
2017-11-07 21:38:48,1.2352745444,2017-11-07 21:38:48,35.9533272298
2017-11-07 21:48:50,1.2335548097,2017-11-07 21:48:50,36.1524068197
2017-11-07 21:58:51,1.2352745444,2017-11-07 21:58:51,38.2578243001
2017-11-07 22:08:53,1.2333886968,2017-11-07 22:08:53,34.3918595378
2017-11-07 22:18:54,1.2341098189,2017-11-07 22:18:54,45.4729512533
2017-11-07 22:28:56,1.2342192822,2017-11-07 22:28:56,34.4049304199
2017-11-07 22:38:58,1.2347176004,2017-11-07 22:38:58,36.2811047363
2017-11-07 22:49:00,1.2345514875,2017-11-07 22:49:00,35.0142346191
2017-11-07 22:59:02,1.2352159599,2017-11-07 22:59:02,37.8023543294
2017-11-07 23:09:04,1.2338870356,2017-11-07 23:09:04,41.5878828939
2017-11-07 23:19:05,1.2364392698,2017-11-07 23:19:05,33.72625
2017-11-07 23:29:07,1.2345514875,2017-11-07 23:29:07,35.8035148112
2017-11-07 23:39:09,1.234883734,2017-11-07 23:39:09,43.5857169596
2017-11-07 23:49:11,1.2350498263,2017-11-07 23:49:11,30.2936352539
2017-11-07 23:59:12,1.237437606,2017-11-07 23:59:13,41.8543277995
2017-11-08 00:09:14,1.2342192616,2017-11-08 00:09:14,42.0101729329
2017-11-08 00:19:16,1.2360465247,2017-11-08 00:19:16,52.8941959635
2017-11-08 00:29:18,1.2365448429,2017-11-08 00:29:18,38.0939355469
2017-11-08 00:39:19,1.2371048273,2017-11-08 00:39:20,34.3757722982
2017-11-08 00:49:21,1.2340531486,2017-11-08 00:49:21,62.3414274089
2017-11-08 00:59:22,1.2364392698,2017-11-08 00:59:22,69.3142403158
2017-11-08 01:09:23,1.2362728805,2017-11-08 01:09:23,31.4820800781
2017-11-08 01:19:25,1.2358803911,2017-11-08 01:19:25,50.5132845052
2017-11-08 01:29:29,1.2337748491,2017-11-08 01:29:29,92.6196232096
2017-11-08 01:39:30,1.2369384379,2017-11-08 01:39:30,37.4232987467
2017-11-08 01:49:32,1.2360465041,2017-11-08 01:49:33,33.4226033529
2017-11-08 01:59:35,1.2344941993,2017-11-08 01:59:35,39.80622111
2017-11-08 02:09:36,1.2372712166,2017-11-08 02:09:37,58.9651180013
2017-11-08 02:19:38,1.2338870356,2017-11-08 02:19:38,33.2024092611
2017-11-08 02:29:40,1.2358803911,2017-11-08 02:29:40,64.632853597
2017-11-08 02:39:41,1.2352745444,2017-11-08 02:39:41,31.0276155599
2017-11-08 02:49:42,1.234608987,2017-11-08 02:49:42,61.3751875814
2017-11-08 02:59:44,1.2330564915,2017-11-08 02:59:44,38.7293815104
2017-11-08 03:09:45,1.2341098189,2017-11-08 03:09:45,41.9478348796
2017-11-08 03:19:46,1.2356073024,2017-11-08 03:19:46,34.8071114095
2017-11-08 03:29:47,1.2352745444,2017-11-08 03:29:47,45.6428727214
2017-11-08 03:39:49,1.235049847,2017-11-08 03:39:50,49.0413020833
2017-11-08 03:49:51,1.2342192616,2017-11-08 03:49:51,37.8023543294
2017-11-08 03:59:53,1.2350498263,2017-11-08 03:59:54,72.3265759277
2017-11-08 04:09:56,1.2328358245,2017-11-08 04:09:56,45.3080570475
2017-11-08 04:19:57,1.235108155,2017-11-08 04:19:57,47.0816752116
2017-11-08 04:29:58,1.2354409337,2017-11-08 04:29:58,34.2541125488
