"Trace 0, x","Trace 0, y","Trace 1, x","Trace 1, y",text
642d52,c0f293,4c3ca1,4d1429,94f7e4
-0.0602168382,-0.5394259641,-0.7789836659,-0.0110114342,井上氏
0.0221200432,-0.1275326786,-0.1519260904,0.0546074026,井上正春
,,-0.0787375718,-0.0043339591,井上正兼
-0.480071784,-0.0839525674,-0.6954629411,0.003579264,長府藩
0.0985936331,0.1617787887,-0.089704953,0.0363148108,井上正敦
,,-0.7251484466,0.0069545377,毛利氏
0.0083403349,-0.0190808823,-0.3890162475,0.0640473221,後鳥羽天皇
0.0742540795,-0.2846680052,-0.0585535887,0.0016380629,井上正定
,,-0.8447098123,0.0186685743,斎藤氏
0.2429578823,-0.0413784826,-0.7453981103,0.0147992076,毛利元就
0.0083403349,-0.0190808823,-0.2922660337,0.0270824359,源頼季
,,-0.8343909337,0.0427561446,高梨氏
-0.4149643,0.404164538,-0.5674683255,0.0727520256,安芸国
-0.1612282519,0.3034225779,-0.7700690682,0.040256105,小笠原氏
,,-0.5285670223,0.1008099987,越後国
0.0043638532,0.4280140463,-0.3325237563,0.0768010342,源義仲
0.0083403349,-0.0190808823,-0.6060077993,0.0513098865,甲斐国
,,-0.0584317532,-0.019304638,井上光明
-0.3636686736,-0.0872673339,-0.5361941719,-0.0009695038,武家
0.0083403349,-0.0190808823,-0.614495742,0.0131440212,上杉氏
,,-0.476384123,0.0287611036,永正
-0.5516429065,0.5904784993,-0.0589501906,-0.0095871923,井上正建
0.0985936331,0.1617787887,-0.2307068602,0.0171247964,信濃島津氏
,,-0.4105650924,0.0292345233,上杉定実
-0.5207738327,-0.3607548879,-0.6146228783,0.0067050782,織田信長
-0.1612282519,0.3034225779,-0.1465821685,0.0142166445,井上正甫
,,-0.2076924231,0.0119843607,井上正就
0.26203767,-0.4550590343,-0.3025205499,0.0242320974,井上正経
0.0083403349,-0.0190808823,-0.1011366494,-0.0224090732,井上正利
,,-0.5116635295,0.0165428103,承久の乱
-0.7152464416,0.0041350313,-0.5338545948,0.0368054674,応仁
0.0083403349,-0.0190808823,-0.4189053253,-0.0331089397,本貫
,,-0.1711997291,-0.0193525645,阿知使主
0.497206515,-0.8192194651,-0.0731196945,-0.0143484128,井上就兼
0.0221200432,-0.1275326786,-0.3170718754,0.0144547167,側用人
,,-0.3322242095,0.0902383029,文永
0.0170800685,0.4467519554,-0.7132697791,-0.0011558929,村上氏
-0.1612282519,0.3034225779,-0.548403275,-0.0188637118,尊卑分脈
,,-0.3066197344,-0.0149939769,忌寸
0.0083403349,-0.0190808823,-0.1339021337,0.0204129277,井上正民
-0.0805303053,0.1835911625,-0.2730086919,0.0220804792,掾
,,-0.0792553868,-0.0065111584,井上光俊
-0.5925677256,0.1639342913,-0.593446312,0.0464118549,徳川氏
-0.1514797685,0.14573513,-0.4906980433,0.0301486825,豊臣秀吉
,,-0.5156780867,0.0240354683,小早川隆景
0.0125479448,0.4437445051,-0.1953026948,-0.0447795681,平家物語
0.0985936331,0.1617787887,-0.0514995597,-0.0030879757,阿部定吉
,,-0.3675533046,0.0157049243,応永
-0.0530773392,-0.0409607195,-0.6746041041,0.0729746785,信濃国
-0.1612282519,0.3034225779,-0.289100842,0.0437180651,井上正岑
,,-0.719679796,-0.0358781559,清和源氏
-0.3854185016,0.5372998047,-0.5797044085,0.0140015019,源満仲
-0.1514797685,0.14573513,-0.1970828435,0.0075547027,井上正任
,,-0.5020318726,-0.0305131341,在庁官人
0.0504580455,-0.1663925564,-0.1590525482,0.0328227726,市原合戦
0.0221200432,-0.1275326786,-0.2222907933,-0.0304943327,井上馨
,,-0.4658041385,0.0380251093,本能寺の変
0.2493365025,0.1392764682,-0.657915203,0.0287651998,甲斐源氏
0.0985936331,0.1617787887,-0.1083892301,-0.0096534808,井上春忠
,,-0.1233659571,-0.0192250224,井上元盛
0.2108615337,-0.5037314865,-0.8002932284,-0.0334726169,長井氏
0.0221200432,-0.1275326786,-0.1615235642,-0.0050133655,井上正辰
,,-0.3209526242,0.1489503573,高井郡
-0.4975807085,-0.1887958062,-0.345181145,0.0599892929,平忠常の乱
0.0083403349,-0.0190808823,-0.6554208643,-0.0851343697,東漢氏
,,-0.3693175819,0.0444820068,横田河原の戦い
-0.542526723,0.181851324,-0.1464554343,0.0324866066,井真成
-0.1514797685,0.14573513,-0.3131250796,0.1172111627,文政
,,-0.5180143422,0.0276076766,源頼信
0.2264542262,0.2426153214,-0.8120332063,0.0439794369,海野氏
0.0221200432,-0.1275326786,-0.0672489338,0.0058633348,井上正廬
,,-0.0602318072,0.0001967673,井上就在
-0.2018574262,0.2287495999,-0.4770223947,0.0978075641,天正壬午の乱
-0.1612282519,0.3034225779,-0.1102881244,-0.0050171819,井上時利
,,-0.4692115279,-0.0183036537,信濃源氏
-0.3898833838,0.3901465766,-0.4937934328,0.0107189814,一条忠頼
-0.1612282519,0.3034225779,-0.4061167189,0.0669080793,長元
,,-0.1780732069,-0.0112590778,井上元兼
-0.108062766,0.3635466922,-0.3101166759,0.0603439485,源頼朝
-0.1612282519,0.3034225779,-0.1105287476,0.0136049798,井上正広
,,-0.0937578845,0.0065568522,井上正長
0.6415366062,-0.1873199826,-0.3180220342,-0.0029251411,毛利弘元
0.0083403349,-0.0190808823,-0.0979260532,0.0237134954,井上正之
,,-0.5986555999,0.2004084982,志紀郡
-0.3863293614,0.5663288448,-0.6460001686,0.1162523592,三河国
-0.1514797685,0.14573513,-0.6462999095,-0.0007229853,長尾氏
,,-0.3000840149,0.030377489,江戸時代
-0.3869965691,0.2013013119,-0.4937927605,0.022106892,甲州征伐
0.0083403349,-0.0190808823,-0.2423860296,-0.0082560763,栗田氏
,,-0.1132821894,0.0007782025,井上正巳
-0.0563490772,-0.3455589078,-0.1244620394,0.0051495431,井上元貞
0.0221200432,-0.1275326786,-0.3744749518,0.0210685081,大塔合戦
,,-0.0993429835,0.0274168723,井上正意
-0.2843306958,0.2669252346,-0.5212185922,0.0903651976,駿河国
-0.1612282519,0.3034225779,-0.0677581426,-0.0055462694,井上清秀
,,-0.1526318556,0.0031519037,井上正健
0.0675903563,0.6374783135,-0.6974497129,0.0443606039,武田氏
-0.1612282519,0.3034225779,-0.5832002091,0.1328047895,河内国
,,-0.3309219423,0.089395969,元暦
-0.4461491422,0.386899599,-0.1269771773,0.0172509835,井上正信
-0.1612282519,0.3034225779,-0.7110883845,0.0168518946,保科氏
,,-0.6516810075,0.054924049,織田氏
0.0083403349,-0.0190808823,-0.6954153238,0.0487696587,治承・寿永の乱
0.0148541279,-0.0502488256,-0.1763204473,-0.0141243551,須田満親
,,-0.1134239929,-0.0013899093,井上正直
-0.5201009163,-0.139003929,-0.3127334999,0.1717911028,善光寺
-0.1514797685,0.14573513,-0.0886068722,0.4521153972,宮島連絡船
,,-0.0416692412,0.2096643244,広島電鉄宮島線
-0.5208153266,-0.5191851235,0.1181408926,0.1468436017,合資会社
0.0985936331,0.1617787887,-0.0751263354,0.2613588967,鉄道省
,,-0.0014646324,0.0668021814,ななうら丸
0.1552245444,0.1136783302,0.1274404227,0.2934551121,完全子会社
0.0985936331,0.1617787887,-0.0863556672,0.3434239806,特別企画乗車券
,,-0.0658210625,0.1200358525,宮島駅
-0.192890503,-0.5618812025,0.0122858901,0.3495090333,公共企業体
0.0221200432,-0.1275326786,-0.0260964593,0.1192163282,鉄道の日記念・JR全線乗り放題きっぷ
,,-0.0611944193,0.4452030688,営業キロ
0.3548031681,0.8051044176,-0.0294634876,0.1849077247,JR西日本宮島フェリー
0.0221200432,-0.1275326786,0.0009085294,0.0657799595,みせん丸
,,-0.0053983884,0.6836766162,広島電鉄
-0.0246184855,0.2906913541,-0.0735809309,-0.1360696039,自動車
0.0083403349,-0.0190808823,-0.0228635544,0.0008986271,フェリー
,,-0.5058887187,0.4326925983,廿日市市
-0.2337615915,0.3650164876,-0.0004394906,0.0999196425,出資
-0.1612282519,0.3034225779,-0.0185374598,0.0672768874,大瀬戸丸
,,0.7249431428,-0.4339880525,鉄道連絡船
0.0617781744,-0.4207583302,0.073029511,0.318362403,株式会社
0.0221200432,-0.1275326786,-0.0666635498,0.3057924205,運輸省
,,-0.1514797685,0.14573513,明治
-0.7350195619,0.2945184017,-0.0212064986,0.0543531525,五十鈴丸
-0.1612282519,0.3034225779,-0.5934722822,0.1009717047,厳島神社
,,-0.2903703715,0.2127287281,佐伯郡
0.3330277591,-0.7863320412,-0.0112445215,0.3708815401,広島県
0.0221200432,-0.1275326786,-0.004434631,0.6654007212,ICOCA
,,-0.0743999174,0.4122619665,国鉄分割民営化
0.1273108391,0.1908737978,-0.0172930698,0.1664015091,広電宮島口駅
0.0221200432,-0.1275326786,-0.0216224159,0.2817676104,運賃
,,-0.0353283494,0.4232669632,鉄道国有法
0.0221200432,-0.1275326786,-0.0057809027,0.0228233883,みやじま丸
0.0643085756,-0.2530049437,-0.0069765854,0.1710091472,山陽汽船商社
,,-0.0008931201,0.2779242014,フルムーン夫婦グリーンパス
-0.0457409485,0.0609472308,-0.0703483674,0.3889433347,日本国有鉄道
0.0221200432,-0.1275326786,-0.109282304,0.5768451973,山陽本線
,,-0.0895650446,0.6794091707,乗車カード
0.5413304313,0.0431101685,-0.0631811016,0.216778757,厳島
0.0083403349,-0.0190808823,0.0626955081,0.1100319189,逓信省
,,0.0037881338,0.6433867544,PASPY
0.1496849241,0.4485427748,-0.0733605435,0.0625952876,航路
0.0985936331,0.1617787887,-0.1960600593,0.2446876641,実業家
,,-0.1612282519,0.3034225779,昭和
0.1227985219,0.13805986,-0.0831191971,0.3295034169,西日本旅客鉄道
0.0221200432,-0.1275326786,-0.1180826193,0.2329446339,広島市
,,-0.0565196906,0.5492484847,山陽鉄道
0.0038445903,-0.3559676988,-0.0201052556,0.1048006413,自動車検査証
0.0083403349,-0.0190808823,-0.0370363109,0.4231086176,JTBパブリッシング
,,0.0330869015,0.071087486,会社
0.1304327189,-0.462253919,-0.1413522737,0.2588087282,平成
0.0221200432,-0.1275326786,0.0624254568,0.124098565,事業譲渡
,,-0.1206351673,0.2770385924,宮島口駅
0.1982974533,-0.2107597276,-0.0502107962,0.2481989453,宮島松大汽船
0.0221200432,-0.1275326786,-0.0802370654,0.0934047289,宮島航路
,,-0.0365810389,0.6279179408,ICカード
0.1181888244,-0.2488878836,-0.0200910573,0.0899243417,宮島町
0.0083403349,-0.0190808823,0.0335884092,0.1510616699,大島連絡船
,,0.5865740249,-0.0665720832,怪獣映画
0.0083403349,-0.0190808823,0.1076751816,0.0018080727,惑星大怪獣ネガドン
-0.1658067273,-0.2594131328,0.0224338232,0.0980763137,八岐之大蛇の逆襲
,,0.3595366776,0.0904712143,大映
0.137243814,-0.2363773826,0.0894143741,0.029808496,佐藤勝
0.0221200432,-0.1275326786,0.4581822096,0.1781565313,着ぐるみ
,,0.2208337727,-0.0057482509,HAKAISHA
-0.4936477311,0.1367112158,0.2276318592,-0.0675913087,SFX
-0.1612282519,0.3034225779,0.1362346952,-0.0051141052,操演
,,0.1124581691,-0.0003736459,長髪大怪獣ゲハラ
0.0083403349,-0.0190808823,0.2061688152,0.000517294,ストップモーション・アニメーション
-0.1551288732,-0.3183022614,0.2404812251,-0.0362204999,コンピュータグラフィックス
,,0.0561082939,-0.0977888507,パニック
0.2955526492,-0.3538778534,0.7218294737,-0.1348158961,モスラ
0.0221200432,-0.1275326786,0.4932995039,0.0269188654,キングコング
,,0.1614948269,0.0334625017,アニマトロニクス
0.4029374673,0.0721894058,0.0631036204,-0.0395496436,原子怪獣現わる
0.0083403349,-0.0190808823,0.3246649219,0.0916753018,樋口真嗣
,,0.2664902038,-0.0013754142,岡本喜八
0.1589726496,-0.53633495,0.2297234509,-0.0256731198,B級映画
0.0083403349,-0.0190808823,0.0233888567,-0.0092989369,防衛庁
,,0.0354066092,0.1000122083,ゴジラvsビオランテ
0.1334482204,0.2881411767,0.2414460059,-0.0558598435,レイ・ハリーハウゼン
0.0083403349,-0.0190808823,0.0412247934,-0.0606163225,ヴェロキラプトル
,,0.0581957355,0.1228478654,古関裕而
0.1073014021,0.0228187395,0.2000530908,-0.0030180152,ゴジラの逆襲
-0.1612282519,0.3034225779,-0.3007990653,-0.1587360427,タコ
,,0.1610355987,0.0287008116,デスカッパ
0.567727422,-0.1656151094,0.0134095538,-0.0788108604,伊福部昭
0.0985936331,0.1617787887,0.1385252087,0.0384156675,大怪獣バラン
,,-0.0210727164,0.1144972462,フランケンシュタイン対地底怪獣
0.0017282064,0.2535958457,0.0553098353,-0.0194309039,クモンガ
0.0985936331,0.1617787887,0.5277267223,0.07250889,怪獣
,,0.1141595622,-0.0203891071,宇宙大怪獣ギララ
-0.1252126864,0.2743731462,0.6184334904,-0.2276736146,ジュラシック・パーク
0.0985936331,0.1617787887,0.048630179,-0.0450429677,モスラの歌
,,0.1245022781,-0.0989248471,プルガサリ
0.1775750971,-0.2826210502,0.0447596605,-0.4316071455,戦争
0.0221200432,-0.1275326786,0.2871956542,0.0456214938,キングコングの逆襲
,,0.606800566,0.4591365137,ウルトラシリーズ
0.0083403349,-0.0190808823,0.1725266091,0.1271942742,キングコング対ゴジラ
0.1520059259,-0.3926630975,0.2376072589,0.0885643959,地球防衛未亡人
,,0.1926548974,0.0101677531,獣人雪男
0.5884114156,0.2597992109,-0.0243918814,-0.1561829412,ブラキオサウルス
-0.1612282519,0.3034225779,0.1439951372,0.0307590017,空の大怪獣ラドン
,,0.3941101972,0.0116465884,特撮映画
-0.4263300882,0.1782182782,0.5309986579,0.0193134852,ガメラ
-0.1514797685,0.14573513,0.0696306416,0.0028087775,ビオランテ
,,0.072592712,-0.0064189105,ヤンガリー
0.0677699758,-0.2053832837,0.8259185903,0.1046567033,ウルトラQ
0.0083403349,-0.0190808823,0.0897124172,-0.0305109054,グエムル-漢江の怪物-
,,0.0673550053,0.0771424798,大巨獣ガッパ
0.0083403349,-0.0190808823,0.0561100825,-0.0101679442,カマキラス
-0.2117507142,-0.0004888765,-0.048659512,-0.2576827948,朝鮮民主主義人民共和国
,,0.0635615193,-0.0566271142,中野昭慶
-0.0156611023,-0.6533480469,0.045395088,-0.0012929061,深海獣レイゴー
0.0083403349,-0.0190808823,0.1671314692,0.0458964923,金子修介
,,0.4955037433,-0.0005502652,黒澤明
-0.2653878718,0.2884646372,0.3248557173,0.0868112858,東宝
0.0985936331,0.1617787887,0.313099637,0.0509568664,特撮
,,0.3066286205,0.0310562318,円谷英二
0.0849325672,0.2353181921,0.0416760661,0.0082605182,深海獣雷牙
0.0221200432,-0.1275326786,0.0687142482,0.0111795382,SF交響ファンタジー
,,0.496378282,-0.0823721379,ファンタジー
-0.5223185526,0.476312614,0.2441321927,0.0421496707,宇宙大怪獣ドゴラ
-0.1612282519,0.3034225779,0.0284615631,-0.0555482947,ティラノサウルス
,,0.0777771426,0.0742235761,キングギドラ
0.0065319791,0.7840485001,0.2988847436,-0.0361667227,ゴジラ
0.0083403349,-0.0190808823,0.2870814344,-0.0676106395,サイエンス・フィクション
,,0.1638582702,-0.4535943079,アルバセテ県
-0.0184721802,0.06359415,0.0502384851,-0.4186313287,スペイン
0.0083403349,-0.0190808823,0.0514520265,-0.1370929581,アルマンサ
,,-0.0346952687,-0.1362976211,平方キロメートル
-0.0677239297,0.2740551256,0.1177111827,-0.6224186686,スペイン社会労働党
-0.1612282519,0.3034225779,-0.0087447873,-0.2547507775,ワイン
,,0.0249254342,-0.0557768621,タラソーナ・デ・ラ・マンチャ
-0.5496841972,0.1561506248,0.1043049781,-0.3419409131,ムニシピオ
-0.1514797685,0.14573513,0.1494814609,-0.4901753544,アンダルシア州
,,0.0802075259,-0.1629354447,ラ・マンチャ
0.0221200432,-0.1275326786,0.1239375763,-0.3501734655,バレンシア州
0.3123363296,-0.7351797424,0.02433117,-0.0409797074,ラ・ロダ
