"sell, x; buy, x","sell, y","buy, y"
7ba40f,a4e04c,223702
1515315600000,2904170,2893963
1515319200000,2907659,2874926
1515322800000,3056621,2871428
1515326400000,2988753,2968550
1515330000000,2994335,2971827
1515333600000,2995204,2978755
1515337200000,2972238,2949166
1515340800000,2974551,2959604
1515344400000,3002493,2976518
1515348000000,3005007,2987672
1515351600000,3002406,2989628
1515355200000,2998431,2991803
1515358800000,3070965,3056618
1515362400000,3029282,3022263
1515366000000,3033405,3022777
1515369600000,3024389,3017584
1515373200000,2993886,2985442
1515376800000,3013556,3013968
1515380400000,3027869,3019813
1515384000000,3035024,3021423
1515387600000,3069926,3068258
1515391200000,3170089,3149860
1515394800000,3053972,3032518
1515398400000,3048567,3030174
1515402000000,3038842,3016809
1515405600000,3053729,3018348
1515409200000,3036726,3009929
1515412800000,3035253,3011772
1515416400000,3031150,3006388
1515420000000,3031484,3017791
1515423600000,3027158,3015631
1515427200000,3048359,3016795
1515430800000,3080842,3128315
1515434400000,3053736,3045192
1515438000000,3127101,3124309
1515441600000,3226581,3240716
1515445200000,3184444,3176658
1515448800000,3154885,3128477
1515452400000,3133580,3131975
1515456000000,3145217,3117955
1515459600000,3155978,3138659
1515463200000,3156144,3145384
1515466800000,3128874,3128672
1515470400000,3142550,3136240
1515474000000,3104641,3099634
1515477600000,3155380,3127757
1515481200000,3177562,3146409
1515484800000,3169642,3147969
1515488400000,3309094,3210992
