x,y,color
03535b,0e539c,aeee95
animal_politico,1,"rgba(179,226,205,1)"
el_universal,1,"rgba(179,226,205,1)"
publimetro,1,"rgba(179,226,205,1)"
el_financiero,1,"rgba(179,226,205,1)"
el_economista,1,"rgba(179,226,205,1)"
SDP,1,"rgba(179,226,205,1)"
la_razon,1,"rgba(179,226,205,1)"
la_jornada,1,"rgba(179,226,205,1)"
milenio,1,"rgba(179,226,205,1)"
aristegui,1,"rgba(179,226,205,1)"
excelsior,1,"rgba(179,226,205,1)"
sopitas,1,"rgba(179,226,205,1)"
notimex,1,"rgba(179,226,205,1)"
reforma,1,"rgba(179,226,205,1)"
new_york_times,1,"rgba(179,226,205,1)"
the_washington_post,1,"rgba(179,226,205,1)"
el_tiempo,1,"rgba(179,226,205,1)"
el_pais,1,"rgba(179,226,205,1)"
le_monde,1,"rgba(179,226,205,1)"
the_guardian,1,"rgba(179,226,205,1)"
ap,1,"rgba(179,226,205,1)"
reuters,1,"rgba(179,226,205,1)"
bloomberg,1,"rgba(179,226,205,1)"
