x,y
dd05e8,d74994
1981-02-18,9960.03
1981-02-19,9940.47
1981-02-20,9944.43
1981-02-23,9906.85
1981-02-24,9926.83
1981-02-25,9952.56
1981-02-26,9972.17
1981-02-27,10023.33
1981-03-02,10018.49
1981-03-03,10007.59
1981-03-04,10000.03
1981-03-05,9995.83
1981-03-06,10070.06
1981-03-09,10114.25
1981-03-10,10061.81
1981-03-11,10082.09
1981-03-12,10271.66
1981-03-13,10310.85
1981-03-16,10367.42
1981-03-17,10322.83
1981-03-18,10324.46
1981-03-19,10305.52
1981-03-20,10341.16
1981-03-23,10421.15
1981-03-24,10416.44
1981-03-25,10552.55
1981-03-26,10528.34
1981-03-27,10445.82
1981-03-30,10424.48
1981-03-31,10501.58
1981-04-01,10516.59
1981-04-02,10523.62
1981-04-03,10497.71
1981-04-06,10428.98
1981-04-07,10404.71
1981-04-08,10388.75
1981-04-09,10387.52
1981-04-10,10378.89
1981-04-13,10261.33
1981-04-14,10209.91
1981-04-15,10286.61
1981-04-16,10307.71
1981-04-17,10307.71
1981-04-20,10188.4
1981-04-21,10198.83
1981-04-22,10164.99
1981-04-23,10113.27
1981-04-24,10186.45
1981-04-27,10239.77
1981-04-28,10201.39
1981-04-29,10170.67
1981-04-30,10336.18
1981-05-01,10348.63
1981-05-04,10239.98
1981-05-05,10249.84
1981-05-06,10284.01
1981-05-07,10348.85
1981-05-08,10353.63
1981-05-11,10250.09
1981-05-12,10291.31
1981-05-13,10293.86
1981-05-14,10339.87
1981-05-15,10388.44
1981-05-18,10387.18
1981-05-19,10369.28
1981-05-20,10370.56
1981-05-21,10361.61
1981-05-22,10354.25
1981-05-25,10354.25
1981-05-26,10407.02
1981-05-27,10432.3
1981-05-28,10392.7
1981-05-29,10705.74
1981-06-01,10636.46
1981-06-02,10522.07
1981-06-03,10498.46
1981-06-04,10512.51
1981-06-05,10567.17
1981-06-08,10565.9
1981-06-09,10560.46
1981-06-10,10571.32
1981-06-11,10638.12
1981-06-12,10625.97
1981-06-15,10591.52
1981-06-16,10497.58
1981-06-17,10585.42
1981-06-18,10506.48
1981-06-19,10556.95
1981-06-22,10546.08
1981-06-23,10633.33
1981-06-24,10590.51
1981-06-25,10621.79
1981-06-26,10632.95
1981-06-29,10612.8
1981-06-30,10273.93
1981-07-01,10217.62
1981-07-02,10194.65
1981-07-03,10194.65
1981-07-06,10172.04
1981-07-07,10229.93
1981-07-08,10209.83
1981-07-09,10254.76
1981-07-10,10266.95
1981-07-13,10292.79
1981-07-14,10318.27
1981-07-15,10357.16
1981-07-16,10370.69
1981-07-17,10387.03
1981-07-20,10330.24
1981-07-21,10336.38
1981-07-22,10302.97
1981-07-23,10302.53
1981-07-24,10335.8
1981-07-27,10362
1981-07-28,10341.18
1981-07-29,10341.85
1981-07-30,10359.94
1981-07-31,10135.55
1981-08-03,10131.65
1981-08-04,10173.09
1981-08-05,10239.32
1981-08-06,10258.2
1981-08-07,10254.2
1981-08-10,10290.36
1981-08-11,10351.99
1981-08-12,10350.08
1981-08-13,10388.73
1981-08-14,10376.75
1981-08-17,10352.03
1981-08-18,10305.74
1981-08-19,10304.34
1981-08-20,10323.7
1981-08-21,10291.67
1981-08-24,10148.82
1981-08-25,10123.65
1981-08-26,10147.06
1981-08-27,10093.46
1981-08-28,10107.05
1981-08-31,9657.07
1981-09-01,9653.18
1981-09-02,9676.42
1981-09-03,9588.71
1981-09-04,9563.55
1981-09-07,9563.55
1981-09-08,9475.98
1981-09-09,9482.8
1981-09-10,9553.91
1981-09-11,9586.2
1981-09-14,9571.58
1981-09-15,9513.75
1981-09-16,9511.88
1981-09-17,9535.69
1981-09-18,9538.24
1981-09-21,9572.3
1981-09-22,9541.41
1981-09-23,9527.38
1981-09-24,9525.83
1981-09-25,9496.77
1981-09-28,9506.28
1981-09-29,9503.52
1981-09-30,9208.13
1981-10-01,9223.4
1981-10-02,9256.57
1981-10-05,9297.22
1981-10-06,9304.92
1981-10-07,9318.66
1981-10-08,9324.66
1981-10-09,9371.36
1981-10-12,9371.36
1981-10-13,9370.54
1981-10-14,9374.1
1981-10-15,9376.86
1981-10-16,9369.47
1981-10-19,9367.54
1981-10-20,9361.97
1981-10-21,9346.55
1981-10-22,9346.78
1981-10-23,9361.83
1981-10-26,9345.46
1981-10-27,9354.16
1981-10-28,9366.49
1981-10-29,9407.37
1981-10-30,9844.31
1981-11-02,9871.62
1981-11-03,9871.62
1981-11-04,9912.96
1981-11-05,9903.74
1981-11-06,9925.8
1981-11-09,10067.35
1981-11-10,10062.54
1981-11-11,10062.54
1981-11-12,10201.22
1981-11-13,10181.54
1981-11-16,10241.14
1981-11-17,10211.23
1981-11-18,10279.5
1981-11-19,10281.56
1981-11-20,10291.2
1981-11-23,10189.8
1981-11-24,10349.15
1981-11-25,10420.54
1981-11-26,10420.54
1981-11-27,10448.29
1981-11-30,10392.14
1981-12-01,10317.11
1981-12-02,10265.87
1981-12-03,10287.12
1981-12-04,10413.04
1981-12-07,10277.68
1981-12-08,10284.31
1981-12-09,10230.34
1981-12-10,10142.38
1981-12-11,10156.41
1981-12-14,10236.37
1981-12-15,10274.47
1981-12-16,10272.18
1981-12-17,10212.68
1981-12-18,10278.97
1981-12-21,10171.88
1981-12-22,10134.08
1981-12-23,10070.49
1981-12-24,10115.98
1981-12-25,10115.98
1981-12-28,10140.22
1981-12-29,10092.88
1981-12-30,10109.65
1981-12-31,10173.22
1982-01-01,10173.22
1982-01-04,10114.35
1982-01-05,10026.09
1982-01-06,9978.76
1982-01-07,9966.98
1982-01-08,10033.82
1982-01-11,9936.67
1982-01-12,9988.53
1982-01-13,9931.02
1982-01-14,9987.96
1982-01-15,9950.13
1982-01-18,10000.44
1982-01-19,9980.61
1982-01-20,9978.72
1982-01-21,10022.53
1982-01-22,10006.4
1982-01-25,10029.71
1982-01-26,10057.91
1982-01-27,10068.98
1982-01-28,10152.29
1982-01-29,10180.19
1982-02-01,10026.71
1982-02-02,10066.9
1982-02-03,10024.07
1982-02-04,9991.48
1982-02-05,10030.08
1982-02-08,9950.76
1982-02-09,9931.83
1982-02-10,9982.92
1982-02-11,10017.31
1982-02-12,10017.31
1982-02-15,10017.31
1982-02-16,10091.6
1982-02-17,10096.87
1982-02-18,10191.73
1982-02-19,10207.33
1982-02-22,10366.81
1982-02-23,10346.51
1982-02-24,10384.67
1982-02-25,10359.74
1982-02-26,10323.27
1982-03-01,10400.24
1982-03-02,10460.29
1982-03-03,10489.25
1982-03-04,10523.54
1982-03-05,10532.27
1982-03-08,10510.51
1982-03-09,10507.66
1982-03-10,10490.56
1982-03-11,10422.34
1982-03-12,10423.51
1982-03-15,10446.87
1982-03-16,10458.32
1982-03-17,10478.7
1982-03-18,10483.1
1982-03-19,10467.18
1982-03-22,10546.2
1982-03-23,10555.97
1982-03-24,10496.32
1982-03-25,10505.6
1982-03-26,10458.44
1982-03-29,10408.58
1982-03-30,10405.34
1982-03-31,10443.18
1982-04-01,10481.94
1982-04-02,10483.35
1982-04-05,10468.72
1982-04-06,10467.18
1982-04-07,10475.32
1982-04-08,10558.38
1982-04-09,10558.38
1982-04-12,10632.2
1982-04-13,10634.35
1982-04-14,10596.84
1982-04-15,10633.53
1982-04-16,10701.79
1982-04-19,10727.43
1982-04-20,10703.67
1982-04-21,10717.43
1982-04-22,10719.26
1982-04-23,10729.68
1982-04-26,10749.71
1982-04-27,10747.31
1982-04-28,10722.12
1982-04-29,10688.6
1982-04-30,10697.17
1982-05-03,10675.57
1982-05-04,10699.16
1982-05-05,10720.24
1982-05-06,10809.9
1982-05-07,10836.37
1982-05-10,10840.86
1982-05-11,10851.38
1982-05-12,10801.93
1982-05-13,10788.41
1982-05-14,10839.42
1982-05-17,10812.03
1982-05-18,10817.78
1982-05-19,10807.66
1982-05-20,10870.04
1982-05-21,10871.16
1982-05-24,10874.97
1982-05-25,10869.16
1982-05-26,10849.06
1982-05-27,10828.74
1982-05-28,10829.56
1982-05-31,10829.56
1982-06-01,10746.4
1982-06-02,10766.82
1982-06-03,10758.76
1982-06-04,10726.07
1982-06-07,10766.54
1982-06-08,10752.68
1982-06-09,10754.83
1982-06-10,10754.66
1982-06-11,10795.04
1982-06-14,10697.87
1982-06-15,10706.29
1982-06-16,10691.29
1982-06-17,10622.05
1982-06-18,10580.89
1982-06-21,10597.31
1982-06-22,10587.16
1982-06-23,10565.84
1982-06-24,10583.49
1982-06-25,10578.08
1982-06-28,10604.68
1982-06-29,10641.1
1982-06-30,10712.06
1982-07-01,10724.02
1982-07-02,10688.8
1982-07-05,10688.8
1982-07-06,10711.58
1982-07-07,10739.26
1982-07-08,10841.42
1982-07-09,10896.43
1982-07-12,10958.92
1982-07-13,10900.59
1982-07-14,10876.81
1982-07-15,10924.86
1982-07-16,11026.4
1982-07-19,11049.71
1982-07-20,11102.54
1982-07-21,11083.46
1982-07-22,11136.03
1982-07-23,11123.53
1982-07-26,11030.29
1982-07-27,11041.16
1982-07-28,10995.21
1982-07-29,11037.45
1982-07-30,11088.16
1982-08-02,11207.08
1982-08-03,11172.68
1982-08-04,11166.29
1982-08-05,11153.54
1982-08-06,11098.13
1982-08-09,11157.68
1982-08-10,11167.7
1982-08-11,11174.52
1982-08-12,11244.51
1982-08-13,11330.12
1982-08-16,11428.85
1982-08-17,11601.54
1982-08-18,11666.54
1982-08-19,11673.27
1982-08-20,11771.58
1982-08-23,11697.23
1982-08-24,11753.72
1982-08-25,11747.96
1982-08-26,11714.92
1982-08-27,11596.35
1982-08-30,11595.39
1982-08-31,11616.79
1982-09-01,11656.86
1982-09-02,11702.48
1982-09-03,11788.13
1982-09-06,11788.13
1982-09-07,11776.37
1982-09-08,11781.05
1982-09-09,11771
1982-09-10,11691.57
1982-09-13,11755.44
1982-09-14,11787.49
1982-09-15,11759.52
1982-09-16,11791.32
1982-09-17,11832.95
1982-09-20,11864.39
1982-09-21,11983.93
1982-09-22,12000.1
1982-09-23,12048.43
1982-09-24,11986.84
1982-09-27,12031.9
1982-09-28,12081.68
1982-09-29,12077.35
1982-09-30,12091.06
1982-10-01,12172.76
1982-10-04,12082.36
1982-10-05,12095.17
1982-10-06,12167.04
1982-10-07,12423.33
1982-10-08,12479.08
1982-10-11,12479.08
1982-10-12,12673.94
1982-10-13,12735.71
1982-10-14,12655.28
1982-10-15,12574.22
1982-10-18,12670.92
1982-10-19,12691.96
1982-10-20,12655.97
1982-10-21,12652.13
1982-10-22,12593.49
1982-10-25,12470.09
1982-10-26,12539.07
1982-10-27,12516.96
1982-10-28,12586.08
1982-10-29,12607.86
1982-11-01,12681.06
1982-11-02,12685.76
1982-11-03,12775.09
1982-11-04,12809.56
1982-11-05,12822.15
1982-11-08,12805.04
1982-11-09,12890.32
1982-11-10,12931.93
1982-11-11,12931.93
1982-11-12,12887.18
1982-11-15,12836.36
1982-11-16,12768.97
1982-11-17,12809.29
1982-11-18,12921.13
1982-11-19,12925.31
1982-11-22,12917.94
1982-11-23,12918.18
1982-11-24,12894.2
1982-11-25,12894.2
1982-11-26,12921.77
1982-11-29,12793.63
1982-11-30,12872.94
1982-12-01,12884.59
1982-12-02,12919.81
1982-12-03,13022.8
1982-12-06,13041.43
1982-12-07,13020.36
1982-12-08,12978.71
1982-12-09,12981.07
1982-12-10,12926.65
1982-12-13,12964.04
1982-12-14,13039.78
1982-12-15,13009.87
1982-12-16,12924.31
1982-12-17,12907.95
1982-12-20,12878.59
1982-12-21,12995.67
1982-12-22,12988.27
1982-12-23,13023.63
1982-12-24,13023.63
1982-12-27,13059.12
1982-12-28,13065.97
1982-12-29,13036.43
1982-12-30,13051.62
1982-12-31,13127.25
1983-01-03,13164.17
1983-01-04,13132.6
1983-01-05,13128.49
1983-01-06,13120.22
1983-01-07,13135.03
1983-01-10,13142.13
1983-01-11,13164.33
1983-01-12,13175.33
1983-01-13,13201.51
1983-01-14,13188.33
1983-01-17,13196.04
1983-01-18,13171.76
1983-01-19,13111.29
1983-01-20,13109.17
1983-01-21,13021.17
1983-01-24,12975.4
1983-01-25,13015.67
1983-01-26,12942.29
1983-01-27,12956.33
1983-01-28,12955.95
1983-01-31,13186.43
1983-02-01,13171.08
1983-02-02,13148.96
1983-02-03,13137.84
1983-02-04,13188.41
1983-02-07,13195.16
1983-02-08,13167.47
1983-02-09,13172.87
1983-02-10,13303.24
1983-02-11,13337.99
1983-02-14,13384.4
