x,y
ab663e,6918c5
0,8
1,4
630,4
20,3
711,3
9,3
8,3
671,3
128,3
469,3
3,3
2,3
967,2
105,2
774,2
588,2
39,2
278,2
52,2
26,2
655,2
872,2
236,2
322,2
747,2
101,2
390,2
123,2
461,2
28,2
471,2
525,2
22,2
707,2
798,2
804,2
216,2
456,2
371,2
245,2
922,2
909,2
12,2
10,2
183,2
844,2
592,2
80,2
81,2
450,2
641,2
807,2
98,2
868,2
214,2
158,2
212,2
131,2
179,2
790,2
369,2
488,2
418,2
73,2
383,2
662,2
783,2
228,2
118,2
457,2
30,2
379,2
869,2
172,2
362,2
827,2
297,2
152,2
187,2
861,2
43,2
1129,1
11,1
810,1
895,1
730,1
620,1
683,1
801,1
413,1
619,1
313,1
268,1
621,1
648,1
526,1
165,1
191,1
993,1
507,1
568,1
24,1
787,1
308,1
117,1
530,1
831,1
134,1
1136,1
853,1
913,1
985,1
699,1
952,1
726,1
852,1
215,1
146,1
819,1
34,1
161,1
694,1
356,1
651,1
564,1
714,1
1025,1
554,1
850,1
611,1
170,1
784,1
44,1
673,1
209,1
54,1
742,1
404,1
401,1
210,1
206,1
106,1
736,1
253,1
478,1
1123,1
805,1
802,1
737,1
377,1
1120,1
124,1
1139,1
720,1
86,1
261,1
252,1
1031,1
232,1
764,1
835,1
155,1
29,1
1034,1
780,1
389,1
364,1
704,1
6,1
916,1
535,1
605,1
733,1
197,1
127,1
13,1
946,1
500,1
150,1
110,1
4,1
314,1
614,1
180,1
591,1
15,1
451,1
645,1
716,1
959,1
840,1
304,1
766,1
509,1
590,1
602,1
16,1
82,1
219,1
99,1
402,1
866,1
415,1
156,1
803,1
386,1
169,1
192,1
845,1
1124,1
799,1
266,1
1158,1
822,1
66,1
341,1
49,1
1096,1
834,1
108,1
1112,1
167,1
927,1
667,1
203,1
121,1
149,1
246,1
271,1
885,1
293,1
87,1
1127,1
175,1
164,1
1050,1
776,1
555,1
745,1
339,1
430,1
199,1
190,1
1016,1
767,1
1104,1
62,1
772,1
95,1
452,1
154,1
910,1
384,1
830,1
55,1
237,1
138,1
984,1
50,1
35,1
280,1
503,1
226,1
615,1
583,1
358,1
25,1
290,1
727,1
196,1
686,1
497,1
61,1
1202,1
504,1
462,1
330,1
429,1
458,1
881,1
1135,1
559,1
5,1
607,1
775,1
205,1
396,1
463,1
438,1
1094,1
1080,1
1072,1
137,1
353,1
879,1
102,1
725,1
815,1
318,1
231,1
735,1
871,1
723,1
567,1
400,1
566,1
67,1
1101,1
421,1
958,1
263,1
320,1
633,1
979,1
256,1
1116,1
181,1
326,1
722,1
1022,1
485,1
608,1
923,1
715,1
553,1
965,1
928,1
761,1
595,1
321,1
1028,1
771,1
551,1
889,1
378,1
329,1
1091,1
915,1
669,1
275,1
981,1
1051,1
368,1
660,1
198,1
340,1
982,1
806,1
71,1
305,1
650,1
148,1
597,1
668,1
147,1
221,1
41,1
781,1
1045,1
825,1
48,1
841,1
779,1
574,1
586,1
249,1
1066,1
23,1
90,1
678,1
480,1
363,1
343,1
1188,1
1069,1
681,1
227,1
818,1
315,1
195,1
211,1
778,1
523,1
729,1
217,1
316,1
374,1
233,1
160,1
459,1
130,1
273,1
136,1
426,1
14,1
