"Skaarup Moellebaek flow (m3/s), x","Skaarup Moellebaek flow (m3/s), y","Skaarup Moellebaek vandstand (m), x","Skaarup Moellebaek vandstand (m), y"
6f8544,afba94,738936,6eaed6
2017-05-19 08:35:35,0.1105949756,2017-05-19 08:25:35,0.1677481
2017-05-19 08:40:35,0.1104258907,2017-05-19 08:30:35,0.1677481
2017-05-19 08:45:35,0.1102605833,2017-05-19 08:35:35,0.1653859
2017-05-19 08:50:35,0.1100993293,2017-05-19 08:40:35,0.1653859
2017-05-19 09:05:35,0.1099424051,2017-05-19 08:45:35,0.1653859
2017-05-19 09:10:35,0.1097900867,2017-05-19 08:50:35,0.1658099
2017-05-19 09:15:35,0.1096426503,2017-05-19 09:05:35,0.1637035
2017-05-19 09:20:35,0.1095003722,2017-05-19 09:10:35,0.1637035
2017-05-19 09:25:35,0.1093635283,2017-05-19 09:15:35,0.1637035
2017-05-19 09:30:35,0.1092323949,2017-05-19 09:20:35,0.1629732
2017-05-19 09:35:35,0.1091072481,2017-05-19 09:25:35,0.1629732
2017-05-19 09:40:35,0.1089883641,2017-05-19 09:30:35,0.1629732
2017-05-19 09:45:35,0.1088760191,2017-05-19 09:35:35,0.1650621
2017-05-19 09:50:35,0.1087704891,2017-05-19 09:40:35,0.1650621
2017-05-19 09:56:22,0.1086720504,2017-05-19 09:45:35,0.1650621
2017-05-19 10:00:35,0.1085809791,2017-05-19 09:50:35,0.162946
2017-05-19 10:05:35,0.1084975513,2017-05-19 09:56:22,0.162946
2017-05-19 10:10:35,0.1084220432,2017-05-19 10:00:35,0.162946
2017-05-19 10:15:35,0.108354731,2017-05-19 10:05:35,0.162946
2017-05-19 10:20:35,0.1082958908,2017-05-19 10:10:35,0.1628361
2017-05-19 10:25:35,0.1082457988,2017-05-19 10:15:35,0.1628361
2017-05-19 10:30:35,0.1082047311,2017-05-19 10:20:35,0.1628361
2017-05-19 10:35:35,0.1081729638,2017-05-19 10:25:35,0.1634536
2017-05-19 10:40:35,0.1081507732,2017-05-19 10:30:35,0.1634536
2017-05-19 10:45:35,0.1081384353,2017-05-19 10:35:35,0.1634536
2017-05-19 10:50:35,0.1081362264,2017-05-19 10:40:35,0.1644504
2017-05-19 10:55:35,0.1082610958,2017-05-19 10:45:35,0.1644504
2017-05-19 11:00:35,0.1084375295,2017-05-19 10:50:35,0.1644504
2017-05-19 11:05:35,0.1089377408,2017-05-19 10:55:35,0.1656845
2017-05-19 11:10:35,0.1092959209,2017-05-19 11:00:35,0.1656845
2017-05-19 11:15:35,0.1089134349,2017-05-19 11:05:35,0.1656845
2017-05-19 11:20:35,0.1085117325,2017-05-19 11:10:35,0.1658138
2017-05-19 11:25:35,0.1084989869,2017-05-19 11:15:35,0.1658138
2017-05-19 11:30:35,0.1090569602,2017-05-19 11:20:35,0.1658138
2017-05-19 11:35:35,0.1096285165,2017-05-19 11:25:35,0.1664352
2017-05-19 11:40:35,0.1099239008,2017-05-19 11:30:35,0.1664352
2017-05-19 11:45:35,0.1097547555,2017-05-19 11:35:35,0.1664352
2017-05-19 11:50:35,0.109569852,2017-05-19 11:40:35,0.1660248
2017-05-19 11:55:35,0.1096045803,2017-05-19 11:45:35,0.1660248
2017-05-19 12:00:35,0.1096963615,2017-05-19 11:50:35,0.1660248
2017-05-19 12:05:35,0.1097427098,2017-05-19 11:55:35,0.1648812
2017-05-19 12:10:35,0.1103318891,2017-05-19 12:00:35,0.1648812
2017-05-19 12:15:35,0.1107553637,2017-05-19 12:05:35,0.1648812
2017-05-19 12:20:35,0.1110866449,2017-05-19 12:10:35,0.165064
2017-05-19 12:25:35,0.1101645718,2017-05-19 12:15:35,0.165064
2017-05-19 12:30:35,0.1093395534,2017-05-19 12:20:35,0.165064
2017-05-19 12:35:35,0.1087433848,2017-05-19 12:25:35,0.1653529
2017-05-19 12:40:35,0.1086213209,2017-05-19 12:30:35,0.1653529
2017-05-19 12:45:35,0.1085387461,2017-05-19 12:35:35,0.1653529
2017-05-19 12:50:35,0.1081846676,2017-05-19 12:40:35,0.1651467
2017-05-19 12:55:35,0.1077836309,2017-05-19 12:45:35,0.1651467
2017-05-19 13:00:35,0.1073716039,2017-05-19 12:50:35,0.1651467
2017-05-19 13:05:35,0.1071776186,2017-05-19 12:55:35,0.1639437
2017-05-19 13:10:35,0.1069683068,2017-05-19 13:00:35,0.1639437
2017-05-19 13:15:35,0.1067972524,2017-05-19 13:05:35,0.1639437
2017-05-19 13:30:35,0.1067684737,2017-05-19 13:10:35,0.1622467
2017-05-19 13:35:35,0.1067859867,2017-05-19 13:15:35,0.1622467
2017-05-19 13:40:35,0.1068635139,2017-05-19 13:30:35,0.1617566
2017-05-19 13:45:35,0.1067594318,2017-05-19 13:35:35,0.1617566
2017-05-19 13:50:35,0.1067892699,2017-05-19 13:40:35,0.1616205
2017-05-19 13:55:35,0.1068354944,2017-05-19 13:45:35,0.1616205
2017-05-19 14:00:35,0.1067284614,2017-05-19 13:50:35,0.1616205
