"Hoelbaekken Flow (m3/s), x","Hoelbaekken Flow (m3/s), y","Hoelbakken vandstand /10 (m), x","Hoelbakken vandstand /10 (m), y"
571642,77c719,353873,e9f90b
2017-07-04 12:36:35,0.0216069959,2017-07-04 12:36:35,0.02371608
2017-07-04 12:54:28,0.021743414,2017-07-04 12:54:28,0.02371608
2017-07-04 12:56:35,0.0218783146,2017-07-04 12:56:35,0.0238498
2017-07-04 13:06:35,0.0220117056,2017-07-04 13:06:35,0.02376296
2017-07-04 13:16:35,0.0221435948,2017-07-04 13:16:35,0.02379349
2017-07-04 13:26:35,0.0222739901,2017-07-04 13:26:35,0.02379495
2017-07-04 13:36:35,0.0224028994,2017-07-04 13:36:35,0.02381586
2017-07-04 13:46:35,0.0225303306,2017-07-04 13:46:35,0.02375615
2017-07-04 13:56:35,0.0226562915,2017-07-04 13:56:35,0.02379767
2017-07-04 14:06:35,0.0227807901,2017-07-04 14:06:35,0.02375712
2017-07-04 14:16:35,0.0229038341,2017-07-04 14:16:35,0.02374467
2017-07-04 14:26:35,0.0230254314,2017-07-04 14:26:35,0.02371822
2017-07-04 14:36:35,0.02314559,2017-07-04 14:36:35,0.02373485
2017-07-04 14:46:35,0.0232643177,2017-07-04 14:46:35,0.02372863
2017-07-04 14:56:35,0.0233816223,2017-07-04 14:56:35,0.02367893
2017-07-04 15:06:35,0.0234975117,2017-07-04 15:06:35,0.02363585
2017-07-04 15:16:35,0.0236119939,2017-07-04 15:16:35,0.02363313
2017-07-04 15:26:35,0.0237250766,2017-07-04 15:26:35,0.02364422
2017-07-04 15:36:35,0.0238367678,2017-07-04 15:36:35,0.02366026
2017-07-04 15:46:35,0.0239470752,2017-07-04 15:46:35,0.02366435
2017-07-04 15:56:35,0.0240560069,2017-07-04 15:56:35,0.02368983
2017-07-04 16:06:35,0.0241635706,2017-07-04 16:06:35,0.02366065
2017-07-04 16:16:35,0.0242697743,2017-07-04 16:16:35,0.023652
2017-07-04 16:26:35,0.0243746257,2017-07-04 16:26:35,0.02361203
2017-07-04 16:36:35,0.0244781328,2017-07-04 16:36:35,0.02365025
2017-07-04 16:46:35,0.0245803035,2017-07-04 16:46:35,0.02362496
2017-07-04 16:56:35,0.0246811455,2017-07-04 16:56:35,0.02369119
2017-07-04 17:06:35,0.0247806669,2017-07-04 17:06:35,0.02369158
2017-07-04 17:16:35,0.0248788753,2017-07-04 17:16:35,0.02369634
2017-07-04 17:26:35,0.0249757789,2017-07-04 17:26:35,0.02363644
2017-07-04 17:36:35,0.0250713853,2017-07-04 17:36:35,0.0236802
2017-07-04 17:46:35,0.0251657024,2017-07-04 17:46:35,0.02370947
2017-07-04 17:56:35,0.0252587382,2017-07-04 17:56:35,0.02381226
2017-07-04 18:06:35,0.0253505005,2017-07-04 18:06:35,0.02372182
2017-07-04 18:16:35,0.0254409972,2017-07-04 18:16:35,0.02381557
2017-07-04 18:26:35,0.0255302361,2017-07-04 18:26:35,0.02382481
2017-07-04 18:36:35,0.0256182252,2017-07-04 18:36:35,0.02388102
2017-07-04 18:46:35,0.0257049722,2017-07-04 18:46:35,0.02391525
2017-07-04 18:56:35,0.0257904851,2017-07-04 18:56:35,0.02386458
2017-07-04 19:06:35,0.0258747717,2017-07-04 19:06:35,0.0237967
2017-07-04 19:16:35,0.02595784,2017-07-04 19:16:35,0.02374837
2017-07-04 19:26:35,0.0260396977,2017-07-04 19:26:35,0.02361271
2017-07-04 19:36:35,0.0261203527,2017-07-04 19:36:35,0.02363294
2017-07-04 19:46:35,0.0261998129,2017-07-04 19:46:35,0.02373339
2017-07-04 19:56:35,0.0262780863,2017-07-04 19:56:35,0.02374817
2017-07-04 20:06:35,0.0263551806,2017-07-04 20:06:35,0.02373223
2017-07-04 20:16:35,0.0264311037,2017-07-04 20:16:35,0.02365404
2017-07-04 20:26:35,0.0265058635,2017-07-04 20:26:35,0.02347763
2017-07-04 20:36:35,0.0265794679,2017-07-04 20:36:35,0.02354619
2017-07-04 20:46:35,0.0266519247,2017-07-04 20:46:35,0.02361183
2017-07-04 20:56:35,0.0267232418,2017-07-04 20:56:35,0.02354755
2017-07-04 21:06:35,0.0267934271,2017-07-04 21:06:35,0.02355232
2017-07-04 21:16:35,0.0268624885,2017-07-04 21:16:35,0.02359238
2017-07-04 21:26:35,0.0269304338,2017-07-04 21:26:35,0.02360075
2017-07-04 21:36:35,0.0269972709,2017-07-04 21:36:35,0.02360571
2017-07-04 21:46:35,0.0270630076,2017-07-04 21:46:35,0.02356895
2017-07-04 21:56:35,0.0271276519,2017-07-04 21:56:35,0.02358674
2017-07-04 22:06:35,0.0271912116,2017-07-04 22:06:35,0.02358489
2017-07-04 22:16:35,0.0272536945,2017-07-04 22:16:35,0.02358937
2017-07-04 22:26:35,0.0273151086,2017-07-04 22:26:35,0.02359258
2017-07-04 22:36:35,0.0273754617,2017-07-04 22:36:35,0.02358577
2017-07-04 22:46:35,0.0274347617,2017-07-04 22:46:35,0.02362068
2017-07-04 22:56:35,0.0274930165,2017-07-04 22:56:35,0.02361358
2017-07-04 23:06:35,0.0275502339,2017-07-04 23:06:35,0.02361281
2017-07-04 23:16:35,0.0276064218,2017-07-04 23:16:35,0.02365433
2017-07-04 23:26:35,0.0276615881,2017-07-04 23:26:35,0.02363692
