"Helleroed Kaer flow (m3/s), x","Helleroed Kaer flow (m3/s), y","Helleroed Kaer vanddybde / 10 (m), x","Helleroed Kaer vanddybde / 10 (m), y"
e0b5f3,4bed66,b6abd4,37d3d2
2017-07-21 08:36:35,0.0243456643,2017-07-21 08:26:50,0.01774252
2017-07-21 08:46:35,0.0235408329,2017-07-21 08:36:35,0.01782402
2017-07-21 08:56:35,0.0231304461,2017-07-21 08:46:35,0.01781342
2017-07-21 09:06:35,0.0229698604,2017-07-21 08:56:35,0.01779309
2017-07-21 09:16:35,0.0229144325,2017-07-21 09:06:35,0.0178493
2017-07-21 09:26:35,0.0228195189,2017-07-21 09:16:35,0.01794246
2017-07-21 09:36:35,0.0217847733,2017-07-21 09:26:35,0.01796046
2017-07-21 09:46:35,0.021184747,2017-07-21 09:36:35,0.01807132
2017-07-21 09:56:35,0.0203132029,2017-07-21 09:46:35,0.01808338
2017-07-21 10:06:35,0.020175322,2017-07-21 09:56:35,0.01803816
2017-07-21 10:16:35,0.02023277,2017-07-21 10:06:35,0.01812762
2017-07-21 10:26:35,0.0205621361,2017-07-21 10:16:35,0.01827418
2017-07-21 10:36:35,0.0216380461,2017-07-21 10:26:35,0.01836588
2017-07-21 10:46:35,0.0222951039,2017-07-21 10:36:35,0.01839243
2017-07-21 10:56:35,0.0234282131,2017-07-21 10:46:35,0.01846449
2017-07-21 11:06:35,0.0226861071,2017-07-21 10:56:35,0.01859004
2017-07-21 11:16:35,0.0226184188,2017-07-21 11:06:35,0.01881206
2017-07-21 11:26:35,0.0221712787,2017-07-21 11:16:35,0.01905741
2017-07-21 11:36:35,0.0220132037,2017-07-21 11:26:35,0.0192205
2017-07-21 11:46:35,0.0221484112,2017-07-21 11:36:35,0.019397
2017-07-21 11:56:35,0.0218431616,2017-07-21 11:46:35,0.01963867
2017-07-21 12:06:35,0.0217107817,2017-07-21 11:56:35,0.01973903
2017-07-21 12:16:35,0.0213335021,2017-07-21 12:06:35,0.01977656
