"Kilde Trindbak flow (m3/s), x","Kilde Trindbak flow (m3/s), y","Kilde Trindbak vandstand /50 (m), x","Kilde Trindbak vandstand /50 (m), y"
d1bfa6,7ba44b,13a324,bdefed
2017-07-12 10:16:35,0.0069519582,2017-07-12 10:16:35,0.004209656
2017-07-12 10:26:35,0.0069436924,2017-07-12 10:26:35,0.004205824
2017-07-12 10:36:35,0.0069355016,2017-07-12 10:36:35,0.004195748
2017-07-12 10:46:35,0.0069273853,2017-07-12 10:46:35,0.004204306
2017-07-12 10:56:35,0.0069193433,2017-07-12 10:56:35,0.004212496
2017-07-12 11:06:35,0.0069113753,2017-07-12 11:06:35,0.004214888
2017-07-12 11:16:35,0.0069034808,2017-07-12 11:16:35,0.004212962
2017-07-12 11:26:35,0.0068956595,2017-07-12 11:26:35,0.004216482
2017-07-12 11:36:35,0.006887911,2017-07-12 11:36:35,0.004224806
2017-07-12 11:46:35,0.0068802352,2017-07-12 11:46:35,0.00421199
2017-07-12 11:56:35,0.0068726314,2017-07-12 11:56:35,0.004208528
2017-07-12 12:06:35,0.0068650996,2017-07-12 12:06:35,0.004220858
2017-07-12 12:16:35,0.0068576392,2017-07-12 12:16:35,0.004212942
2017-07-12 12:26:35,0.00685025,2017-07-12 12:26:35,0.004219886
2017-07-12 12:36:35,0.0068429315,2017-07-12 12:36:35,0.004215704
2017-07-12 12:46:35,0.0068356836,2017-07-12 12:46:35,0.00421975
2017-07-12 12:56:35,0.0068285057,2017-07-12 12:56:35,0.004225332
2017-07-12 13:06:35,0.0068213976,2017-07-12 13:06:35,0.004237934
2017-07-12 13:16:35,0.0068143589,2017-07-12 13:16:35,0.004235756
2017-07-12 13:26:35,0.0068073893,2017-07-12 13:26:35,0.004222336
2017-07-12 13:36:35,0.0068004885,2017-07-12 13:36:35,0.004213526
2017-07-12 13:46:35,0.006793656,2017-07-12 13:46:35,0.004223446
2017-07-12 13:56:35,0.0067868916,2017-07-12 13:56:35,0.004222122
2017-07-12 14:06:35,0.0067801948,2017-07-12 14:06:35,0.00421763
2017-07-12 14:16:35,0.0067735655,2017-07-12 14:16:35,0.00420524
2017-07-12 14:26:35,0.0067670031,2017-07-12 14:26:35,0.004214362
2017-07-12 14:36:35,0.0067605074,2017-07-12 14:36:35,0.004223678
2017-07-12 14:46:35,0.006754078,2017-07-12 14:46:35,0.004233422
2017-07-12 14:56:35,0.0067477146,2017-07-12 14:56:35,0.004228112
2017-07-12 15:06:35,0.0067414168,2017-07-12 15:06:35,0.004233442
2017-07-12 15:16:35,0.0067351842,2017-07-12 15:16:35,0.004240484
2017-07-12 15:26:35,0.0067290167,2017-07-12 15:26:35,0.00423599
2017-07-12 15:36:35,0.0067229137,2017-07-12 15:36:35,0.004249838
2017-07-12 15:46:35,0.0067168749,2017-07-12 15:46:35,0.004246454
2017-07-12 15:56:35,0.0067109001,2017-07-12 15:56:35,0.00425081
2017-07-12 16:06:35,0.0067049888,2017-07-12 16:06:35,0.004246006
2017-07-12 16:16:35,0.0066991407,2017-07-12 16:16:35,0.004241494
2017-07-12 16:26:35,0.0066933555,2017-07-12 16:26:35,0.004247698
2017-07-12 16:36:35,0.0066876328,2017-07-12 16:36:35,0.004244354
2017-07-12 16:46:35,0.0066819723,2017-07-12 16:46:35,0.004245792
2017-07-12 16:56:35,0.0066763737,2017-07-12 16:56:35,0.004260964
2017-07-12 17:06:35,0.0066708365,2017-07-12 17:06:35,0.004255692
2017-07-12 17:16:35,0.0066653604,2017-07-12 17:16:35,0.004252814
2017-07-12 17:26:35,0.0066599452,2017-07-12 17:26:35,0.004248672
2017-07-12 17:36:35,0.0066545903,2017-07-12 17:36:35,0.004256684
2017-07-12 17:46:35,0.0066492957,2017-07-12 17:46:35,0.004272924
2017-07-12 17:56:35,0.0066440607,2017-07-12 17:56:35,0.004272536
2017-07-12 18:06:35,0.0066388852,2017-07-12 18:06:35,0.00426182
2017-07-12 18:16:35,0.0066337687,2017-07-12 18:16:35,0.004267402
2017-07-12 18:26:35,0.006628711,2017-07-12 18:26:35,0.004270766
2017-07-12 18:36:35,0.0066237117,2017-07-12 18:36:35,0.004276814
2017-07-12 18:46:35,0.0066187704,2017-07-12 18:46:35,0.004283272
2017-07-12 18:56:35,0.0066138867,2017-07-12 18:56:35,0.00428903
2017-07-12 19:06:35,0.0066090605,2017-07-12 19:06:35,0.004281832
2017-07-12 19:16:35,0.0066042912,2017-07-12 19:16:35,0.004269716
2017-07-12 19:26:35,0.0065995786,2017-07-12 19:26:35,0.0042653
2017-07-12 19:36:35,0.0065949223,2017-07-12 19:36:35,0.00427419
2017-07-12 19:46:35,0.0065903219,2017-07-12 19:46:35,0.004276562
2017-07-12 19:56:35,0.0065857772,2017-07-12 19:56:35,0.004275726
2017-07-12 20:06:35,0.0065812878,2017-07-12 20:06:35,0.004267032
2017-07-12 20:16:35,0.0065768533,2017-07-12 20:16:35,0.004266954
2017-07-12 20:26:35,0.0065724733,2017-07-12 20:26:35,0.00426182
2017-07-12 20:36:35,0.0065681476,2017-07-12 20:36:35,0.00426217
2017-07-12 20:46:35,0.0065638758,2017-07-12 20:46:35,0.00426287
2017-07-12 20:56:35,0.0065596576,2017-07-12 20:56:35,0.004255556
2017-07-12 21:06:35,0.0065554926,2017-07-12 21:06:35,0.00425896
2017-07-12 21:16:35,0.0065513804,2017-07-12 21:16:35,0.004248924
2017-07-12 21:26:35,0.0065473207,2017-07-12 21:26:35,0.004256178
2017-07-12 21:36:35,0.0065433132,2017-07-12 21:36:35,0.00426353
2017-07-12 21:46:35,0.0065393575,2017-07-12 21:46:35,0.004273936
2017-07-12 21:56:35,0.0065354533,2017-07-12 21:56:35,0.004282456
2017-07-12 22:06:35,0.0065316003,2017-07-12 22:06:35,0.004292102
2017-07-12 22:16:35,0.006527798,2017-07-12 22:16:35,0.004289866
2017-07-12 22:26:35,0.0065240462,2017-07-12 22:26:35,0.00429959
2017-07-12 22:36:35,0.0065203445,2017-07-12 22:36:35,0.004300408
